year,metric,full_mean,stable_mean,mean_diff_stable_minus_full
2019,avg_household_size_v2,2.366046511627907,2.3763157894736846,0.01026927784577758
2019,employment_population_ratio,58.86976744186047,58.40526315789474,-0.46450428396573074
2019,labor_force_participation_rate,62.018604651162796,61.59736842105263,-0.42123623011016775
2019,median_household_income,53954.232558139534,53788.42105263158,-165.81150550795428
2019,pct_age_18_24,24.04186046511628,23.565789473684212,-0.4760709914320671
2019,pct_age_65_plus,12.706976744186049,13.115789473684208,0.40881272949815894
2019,pct_age_under_18,18.072093023255814,18.289473684210527,0.21738066095471353
2019,pct_bachelors_or_higher,47.586046511627906,46.53421052631578,-1.051835985312124
2019,pct_black_non_hispanic,14.22813953488372,14.988947368421048,0.7608078335373278
2019,pct_family_households,48.96325581395349,49.35894736842105,0.395691554467561
2019,pct_hh_income_100k_plus,23.26279069767442,23.09736842105263,-0.16542227662178988
2019,pct_hh_income_25k_50k,21.016279069767442,21.357894736842102,0.3416156670746595
2019,pct_hh_income_50k_100k,25.646511627906975,25.660526315789472,0.014014687882497157
2019,pct_hh_income_under_25k,30.08837209302326,29.899999999999995,-0.18837209302326485
2019,pct_high_school_grad,20.967441860465115,21.618421052631575,0.65097919216646
2019,pct_hispanic,6.063023255813954,6.242631578947369,0.17960832313341513
2019,pct_households_with_65_plus,,,
2019,pct_households_with_own_children_under_18,21.20186046511628,21.30894736842105,0.10708690330477211
2019,pct_less_than_high_school,4.923255813953488,5.289473684210527,0.36621787025703956
2019,pct_nonfamily_households,51.03674418604651,50.64105263157895,-0.395691554467561
2019,pct_one_person_households,37.15348837209303,37.026315789473685,-0.1271725826193446
2019,pct_owner_occupied,49.798604651162805,49.80763157894737,0.009026927784567818
2019,pct_rent_burden_30_plus,45.56930232558139,45.081842105263156,-0.48746022031823344
2019,pct_rent_burden_50_plus,23.649767441860465,22.696315789473683,-0.9534516523867822
2019,pct_renter_occupied,50.2013953488372,50.19236842105263,-0.009026927784574923
2019,pct_senior_living_alone_households,8.553488372093023,8.778947368421052,0.22545899632802957
2019,pct_some_college_or_associate,26.50232558139535,26.542105263157893,0.03977968176254265
2019,pct_speak_language_other_than_english_at_home,18.090697674418603,18.623684210526314,0.5329865361077104
2019,pct_vacant_housing_units,11.704883720930233,11.869736842105263,0.16485312117502993
2019,pct_white_non_hispanic,65.48,64.1892105263158,-1.2907894736841996
2019,poverty_rate,24.381395348837213,24.489473684210527,0.1080783353733139
2019,total_population,4881.906976744186,4603.368421052632,-278.5385556915544
2019,unemployment_rate,5.065116279069767,5.163157894736842,0.09804161566707492
2021,avg_household_size_v2,2.303125,2.342894736842105,0.03976973684210483
2021,employment_population_ratio,58.64166666666667,57.93157894736842,-0.7100877192982509
2021,labor_force_participation_rate,61.800000000000004,60.94736842105262,-0.8526315789473813
2021,median_household_income,60749.46808510638,60321.57894736842,-427.8891377379623
2021,pct_age_18_24,23.952083333333334,23.192105263157895,-0.7599780701754391
2021,pct_age_65_plus,13.118749999999999,13.681578947368417,0.562828947368418
2021,pct_age_under_18,17.685416666666665,18.499999999999996,0.8145833333333314
2021,pct_bachelors_or_higher,49.37708333333333,48.86052631578948,-0.5165570175438532
2021,pct_black_non_hispanic,12.667291666666666,14.075000000000001,1.4077083333333356
2021,pct_family_households,49.04895833333333,50.44263157894736,1.393673245614032
2021,pct_hh_income_100k_plus,26.947916666666668,26.66578947368421,-0.2821271929824576
2021,pct_hh_income_25k_50k,20.352083333333333,20.144736842105264,-0.20734649122806914
2021,pct_hh_income_50k_100k,25.21875,26.09210526315789,0.8733552631578902
2021,pct_hh_income_under_25k,27.493749999999995,27.107894736842102,-0.3858552631578931
2021,pct_high_school_grad,19.327083333333334,19.49210526315789,0.16502192982455455
2021,pct_hispanic,6.210000000000001,6.821578947368422,0.6115789473684208
2021,pct_households_with_65_plus,21.131249999999998,21.989473684210527,0.8582236842105289
2021,pct_households_with_own_children_under_18,20.920624999999998,21.83315789473684,0.9125328947368416
2021,pct_less_than_high_school,5.3500000000000005,5.471052631578947,0.12105263157894619
2021,pct_nonfamily_households,50.95104166666667,49.55736842105264,-1.393673245614032
2021,pct_one_person_households,37.43958333333334,36.376315789473686,-1.0632675438596522
2021,pct_owner_occupied,50.095625000000005,50.8528947368421,0.7572697368420975
2021,pct_rent_burden_30_plus,44.64145833333333,43.26342105263157,-1.3780372807017613
2021,pct_rent_burden_50_plus,23.339375,22.972368421052632,-0.3670065789473682
2021,pct_renter_occupied,49.904374999999995,49.1471052631579,-0.7572697368420975
2021,pct_senior_living_alone_households,8.55,8.602631578947367,0.052631578947366364
2021,pct_some_college_or_associate,25.954166666666666,26.18421052631579,0.23004385964912544
2021,pct_speak_language_other_than_english_at_home,17.408333333333335,18.352631578947367,0.9442982456140321
2021,pct_vacant_housing_units,11.891666666666667,12.522894736842105,0.6312280701754371
2021,pct_white_non_hispanic,65.84270833333333,63.3136842105263,-2.529024122807037
2021,poverty_rate,22.745833333333334,22.910526315789475,0.16469298245614183
2021,total_population,4303.8125,4507.131578947368,203.31907894736833
2021,unemployment_rate,5.014583333333333,4.957894736842105,-0.05668859649122826
2022,avg_household_size_v2,2.2979166666666666,2.3249999999999993,0.027083333333332682
2022,employment_population_ratio,58.67499999999999,57.863157894736844,-0.8118421052631462
2022,labor_force_participation_rate,61.61875,60.76052631578948,-0.8582236842105218
2022,median_household_income,64875.625,64312.07894736842,-563.5460526315801
