year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,Unnamed:_44
2021,B03002,Detailed Table,DT,1400000US17019001205,"Census Tract 12.05, Champaign County, Illinois",17019001205,17,019,001205,1400000US17019001205,"Census Tract 12.05, Champaign County, Illinois",8131,830,7651,811,4128,589,1137,314,0,17,1938,633,0,17,62,102,386,315,0,17,386,315,480,439,343,419,0,17,0,17,0,17,0,17,17,29,120,152,117,151,3,7,
2021,B03002,Detailed Table,DT,1400000US17019001206,"Census Tract 12.06, Champaign County, Illinois",17019001206,17,019,001206,1400000US17019001206,"Census Tract 12.06, Champaign County, Illinois",1966,262,1858,248,1739,237,50,61,0,12,37,45,0,12,0,12,32,26,6,9,26,24,108,96,88,95,0,12,0,12,0,12,0,12,5,9,15,16,8,10,7,12,
2021,B03002,Detailed Table,DT,1400000US17019001301,"Census Tract 13.01, Champaign County, Illinois",17019001301,17,019,001301,1400000US17019001301,"Census Tract 13.01, Champaign County, Illinois",6197,788,5486,738,4559,709,234,138,0,17,534,386,0,17,12,20,147,103,0,17,147,103,711,521,548,491,0,17,0,17,0,17,0,17,103,163,60,72,60,72,0,17,
2021,B03002,Detailed Table,DT,1400000US17019001302,"Census Tract 13.02, Champaign County, Illinois",17019001302,17,019,001302,1400000US17019001302,"Census Tract 13.02, Champaign County, Illinois",4374,355,4249,370,3521,371,82,79,0,12,592,165,0,12,0,12,54,66,0,12,54,66,125,82,40,57,0,12,0,12,20,32,0,12,0,12,65,48,52,45,13,21,
2021,B03002,Detailed Table,DT,1400000US17019001400,"Census Tract 14, Champaign County, Illinois",17019001400,17,019,001400,1400000US17019001400,"Census Tract 14, Champaign County, Illinois",6884,516,6153,564,4380,545,396,195,0,17,1192,216,0,17,0,17,185,120,20,42,165,113,731,280,397,184,10,21,0,17,0,17,0,17,0,17,324,226,319,227,5,9,
2021,B03002,Detailed Table,DT,1400000US17019005300,"Census Tract 53, Champaign County, Illinois",17019005300,17,019,005300,1400000US17019005300,"Census Tract 53, Champaign County, Illinois",4871,784,4773,777,1180,374,2163,656,0,12,1299,392,0,12,52,71,79,79,0,12,79,79,98,65,74,69,24,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,
2021,B03002,Detailed Table,DT,1400000US17019005401,"Census Tract 54.01, Champaign County, Illinois",17019005401,17,019,005401,1400000US17019005401,"Census Tract 54.01, Champaign County, Illinois",4094,460,3821,409,2760,497,928,512,0,12,69,76,0,12,0,12,64,60,0,12,64,60,273,264,207,245,0,12,0,12,0,12,0,12,65,87,1,2,1,2,0,12,
2021,B03002,Detailed Table,DT,1400000US17019005402,"Census Tract 54.02, Champaign County, Illinois",17019005402,17,019,005402,1400000US17019005402,"Census Tract 54.02, Champaign County, Illinois",4020,547,3560,490,2598,411,450,257,0,12,249,187,0,12,128,193,135,92,0,12,135,92,460,300,391,293,0,12,16,24,0,12,0,12,53,75,0,12,0,12,0,12,
2021,B03002,Detailed Table,DT,1400000US17019005500,"Census Tract 55, Champaign County, Illinois",17019005500,17,019,005500,1400000US17019005500,"Census Tract 55, Champaign County, Illinois",4669,651,4122,641,3002,439,577,364,0,12,216,149,0,12,0,12,327,224,52,43,275,212,547,216,277,166,0,12,45,63,0,12,0,12,48,48,177,120,135,90,42,58,
2021,B03002,Detailed Table,DT,1400000US17019005601,"Census Tract 56.01, Champaign County, Illinois",17019005601,17,019,005601,1400000US17019005601,"Census Tract 56.01, Champaign County, Illinois",5738,614,5371,629,3374,540,1386,630,0,17,521,248,0,17,0,17,90,76,0,17,90,76,367,234,269,216,23,35,9,16,0,17,0,17,28,33,38,61,38,61,0,17,
2021,B03002,Detailed Table,DT,1400000US17019005602,"Census Tract 56.02, Champaign County, Illinois",17019005602,17,019,005602,1400000US17019005602,"Census Tract 56.02, Champaign County, Illinois",2264,277,2201,270,1224,265,421,193,0,12,471,194,0,12,0,12,85,69,0,12,85,69,63,59,3,6,0,12,0,12,0,12,0,12,20,31,40,50,40,50,0,12,
2021,B03002,Detailed Table,DT,1400000US17019005701,"Census Tract 57.01, Champaign County, Illinois",17019005701,17,019,005701,1400000US17019005701,"Census Tract 57.01, Champaign County, Illinois",4835,605,4321,586,3044,475,744,216,0,12,378,219,0,12,14,22,141,96,22,30,119,86,514,232,371,235,4,9,0,12,0,12,0,12,115,104,24,28,24,28,0,12,
2021,B03002,Detailed Table,DT,1400000US17019005702,"Census Tract 57.02, Champaign County, Illinois",17019005702,17,019,005702,1400000US17019005702,"Census Tract 57.02, Champaign County, Illinois",1681,257,1674,255,1265,259,150,98,0,12,106,93,0,12,31,47,122,115,0,12,122,115,7,13,7,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,
2021,B03002,Detailed Table,DT,1400000US17019005800,"Census Tract 58, Champaign County, Illinois",17019005800,17,019,005800,1400000US17019005800,"Census Tract 58, Champaign County, Illinois",3674,481,3276,466,2445,330,132,126,0,12,497,240,12,24,18,28,172,107,9,14,163,105,398,181,194,114,0,12,0,12,0,12,0,12,94,82,110,103,110,103,0,12,
2021,B03002,Detailed Table,DT,1400000US17019005901,"Census Tract 59.01, Champaign County, Illinois",17019005901,17,019,005901,1400000US17019005901,"Census Tract 59.01, Champaign County, Illinois",2563,310,2233,305,1665,305,97,79,0,12,399,129,0,12,22,43,50,48,0,12,50,48,330,141,241,137,0,12,0,12,0,12,0,12,17,27,72,69,72,69,0,12,
2021,B03002,Detailed Table,DT,1400000US17019005902,"Census Tract 59.02, Champaign County, Illinois",17019005902,17,019,005902,1400000US17019005902,"Census Tract 59.02, Champaign County, Illinois",2915,462,2664,465,1389,314,82,63,0,12,1079,350,0,12,0,12,114,117,87,112,27,28,251,102,129,77,0,12,0,12,0,12,0,12,24,29,98,87,98,87,0,12,
2021,B03002,Detailed Table,DT,1400000US17019006000,"Census Tract 60, Champaign County, Illinois",17019006000,17,019,006000,1400000US17019006000,"Census Tract 60, Champaign County, Illinois",3315,351,2919,355,1700,258,369,144,9,14,721,171,0,12,5,7,115,67,29,44,86,49,396,126,156,91,21,25,0,12,0,12,0,12,14,22,205,118,205,118,0,12,
2021,B03002,Detailed Table,DT,1400000US17019010100,"Census Tract 101, Champaign County, Illinois",17019010100,17,019,010100,1400000US17019010100,"Census Tract 101, Champaign County, Illinois",4213,344,3934,379,2538,493,457,370,0,12,148,141,0,12,0,12,791,532,0,12,791,532,279,151,102,75,45,62,0,12,0,12,0,12,102,114,30,56,30,56,0,12,
2021,B03002,Detailed Table,DT,1400000US17019010204,"Census Tract 102.04, Champaign County, Illinois",17019010204,17,019,010204,1400000US17019010204,"Census Tract 102.04, Champaign County, Illinois",4865,410,3744,462,2683,409,625,257,19,29,44,63,0,12,0,12,373,247,55,85,318,227,1121,356,809,327,44,73,0,12,0,12,0,12,9,52,259,196,202,181,57,81,
2021,B03002,Detailed Table,DT,1400000US17019010300,"Census Tract 103, Champaign County, Illinois",17019010300,17,019,010300,1400000US17019010300,"Census Tract 103, Champaign County, Illinois",3715,472,3488,464,1536,357,1317,420,14,20,7,11,0,12,0,12,614,446,0,12,614,446,227,151,208,149,12,20,0,12,0,12,0,12,7,11,0,12,0,12,0,12,
2021,B03002,Detailed Table,DT,1400000US17019010400,"Census Tract 104, Champaign County, Illinois",17019010400,17,019,010400,1400000US17019010400,"Census Tract 104, Champaign County, Illinois",4396,376,4207,363,4040,349,38,26,1,5,4,7,2,3,0,12,122,71,15,12,107,70,189,88,120,60,0,12,4,5,0,12,0,12,0,12,65,58,56,56,9,12,
2021,B03002,Detailed Table,DT,1400000US17019010500,"Census Tract 105, Champaign County, Illinois",17019010500,17,019,010500,1400000US17019010500,"Census Tract 105, Champaign County, Illinois",4299,416,4280,414,4033,413,0,12,0,12,5,9,0,12,3,7,239,218,181,213,58,45,19,22,6,10,0,12,0,12,0,12,0,12,0,12,13,18,10,17,3,5,
2021,B03002,Detailed Table,DT,1400000US17019010601,"Census Tract 106.01, Champaign County, Illinois",17019010601,17,019,010601,1400000US17019010601,"Census Tract 106.01, Champaign County, Illinois",6404,530,6164,537,5773,558,32,51,0,17,111,134,0,17,0,17,248,169,0,17,248,169,240,193,220,191,0,17,0,17,0,17,20,33,0,17,0,17,0,17,0,17,
2021,B03002,Detailed Table,DT,1400000US17019010603,"Census Tract 106.03, Champaign County, Illinois",17019010603,17,019,010603,1400000US17019010603,"Census Tract 106.03, Champaign County, Illinois",7204,531,6997,544,6677,565,43,52,0,17,24,40,39,59,0,17,214,166,80,106,134,124,207,169,47,57,0,17,0,17,0,17,18,31,24,38,118,146,118,146,0,17,
2021,B03002,Detailed Table,DT,1400000US17019010604,"Census Tract 106.04, Champaign County, Illinois",17019010604,17,019,010604,1400000US17019010604,"Census Tract 106.04, Champaign County, Illinois",2590,388,2432,306,2219,313,87,81,0,12,33,49,0,12,0,12,93,72,0,12,93,72,158,175,158,175,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,
2021,B03002,Detailed Table,DT,1400000US17019010701,"Census Tract 107.01, Champaign County, Illinois",17019010701,17,019,010701,1400000US17019010701,"Census Tract 107.01, Champaign County, Illinois",3943,339,3891,338,3747,400,2,4,7,13,98,102,0,12,0,12,37,61,0,12,37,61,52,49,52,49,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,
2021,B03002,Detailed Table,DT,1400000US17019010702,"Census Tract 107.02, Champaign County, Illinois",17019010702,17,019,010702,1400000US17019010702,"Census Tract 107.02, Champaign County, Illinois",4005,421,3977,421,3828,421,60,73,0,12,76,93,0,12,0,12,13,11,6,8,7,8,28,39,0,12,0,12,0,12,0,12,0,12,0,12,28,39,28,39,0,12,
2021,B03002,Detailed Table,DT,1400000US17019010800,"Census Tract 108, Champaign County, Illinois",17019010800,17,019,010800,1400000US17019010800,"Census Tract 108, Champaign County, Illinois",4352,398,4292,385,4226,388,10,12,5,9,3,4,0,12,0,12,48,32,19,24,29,19,60,43,24,22,5,9,0,12,0,12,0,12,0,12,31,34,31,34,0,12,
2021,B03002,Detailed Table,DT,1400000US17019010901,"Census Tract 109.01, Champaign County, Illinois",17019010901,17,019,010901,1400000US17019010901,"Census Tract 109.01, Champaign County, Illinois",6352,561,6351,562,5779,574,313,222,4,8,96,108,0,17,0,17,159,129,8,12,151,130,1,2,0,17,0,17,0,17,0,17,0,17,0,17,1,2,1,2,0,17,
2021,B03002,Detailed Table,DT,1400000US17019010902,"Census Tract 109.02, Champaign County, Illinois",17019010902,17,019,010902,1400000US17019010902,"Census Tract 109.02, Champaign County, Illinois",3686,388,3662,384,3507,388,2,4,7,11,35,50,0,12,0,12,111,134,0,12,111,134,24,28,24,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,
2021,B03002,Detailed Table,DT,1400000US17019011001,"Census Tract 110.01, Champaign County, Illinois",17019011001,17,019,011001,1400000US17019011001,"Census Tract 110.01, Champaign County, Illinois",1989,410,1931,395,1570,396,237,160,13,21,65,67,0,12,0,12,46,44,17,30,29,33,58,58,6,9,0,12,0,12,0,12,0,12,44,52,8,16,8,16,0,12,
2021,B03002,Detailed Table,DT,1400000US17019011002,"Census Tract 110.02, Champaign County, Illinois",17019011002,17,019,011002,1400000US17019011002,"Census Tract 110.02, Champaign County, Illinois",1857,426,1809,423,1363,343,100,83,0,12,178,115,0,12,0,12,168,209,0,12,168,209,48,49,6,9,24,38,0,12,0,12,0,12,0,12,18,32,18,32,0,12,
2021,B03002,Detailed Table,DT,1400000US17019011100,"Census Tract 111, Champaign County, Illinois",17019011100,17,019,011100,1400000US17019011100,"Census Tract 111, Champaign County, Illinois",2049,401,1914,391,1126,337,47,44,0,12,675,202,0,12,0,12,66,56,0,12,66,56,135,76,60,48,0,12,0,12,0,12,0,12,7,14,68,55,54,49,14,23,
