year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,B19013_001E,B19013_001M,Unnamed:_4
2021,B19013,Detailed Table,DT,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17019000200,17,019,000200,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",25531,7287,
2021,B19013,Detailed Table,DT,1400000US17019000301,"Census Tract 3.01, Champaign County, Illinois",17019000301,17,019,000301,1400000US17019000301,"Census Tract 3.01, Champaign County, Illinois",5512,2511,
2021,B19013,Detailed Table,DT,1400000US17019000302,"Census Tract 3.02, Champaign County, Illinois",17019000302,17,019,000302,1400000US17019000302,"Census Tract 3.02, Champaign County, Illinois",9771,5648,
2021,B19013,Detailed Table,DT,1400000US17019000401,"Census Tract 4.01, Champaign County, Illinois",17019000401,17,019,000401,1400000US17019000401,"Census Tract 4.01, Champaign County, Illinois",4476,4053,
2021,B19013,Detailed Table,DT,1400000US17019000402,"Census Tract 4.02, Champaign County, Illinois",17019000402,17,019,000402,1400000US17019000402,"Census Tract 4.02, Champaign County, Illinois",3416,3329,
2021,B19013,Detailed Table,DT,1400000US17019000500,"Census Tract 5, Champaign County, Illinois",17019000500,17,019,000500,1400000US17019000500,"Census Tract 5, Champaign County, Illinois",59701,6120,
2021,B19013,Detailed Table,DT,1400000US17019000700,"Census Tract 7, Champaign County, Illinois",17019000700,17,019,000700,1400000US17019000700,"Census Tract 7, Champaign County, Illinois",39173,3540,
2021,B19013,Detailed Table,DT,1400000US17019000800,"Census Tract 8, Champaign County, Illinois",17019000800,17,019,000800,1400000US17019000800,"Census Tract 8, Champaign County, Illinois",60946,6524,
2021,B19013,Detailed Table,DT,1400000US17019000901,"Census Tract 9.01, Champaign County, Illinois",17019000901,17,019,000901,1400000US17019000901,"Census Tract 9.01, Champaign County, Illinois",39673,7118,
2021,B19013,Detailed Table,DT,1400000US17019000902,"Census Tract 9.02, Champaign County, Illinois",17019000902,17,019,000902,1400000US17019000902,"Census Tract 9.02, Champaign County, Illinois",62228,4290,
2021,B19013,Detailed Table,DT,1400000US17019001000,"Census Tract 10, Champaign County, Illinois",17019001000,17,019,001000,1400000US17019001000,"Census Tract 10, Champaign County, Illinois",62457,20781,
2021,B19013,Detailed Table,DT,1400000US17019001100,"Census Tract 11, Champaign County, Illinois",17019001100,17,019,001100,1400000US17019001100,"Census Tract 11, Champaign County, Illinois",81941,14196,
2021,B19013,Detailed Table,DT,1400000US17019001201,"Census Tract 12.01, Champaign County, Illinois",17019001201,17,019,001201,1400000US17019001201,"Census Tract 12.01, Champaign County, Illinois",49476,9467,
2021,B19013,Detailed Table,DT,1400000US17019001203,"Census Tract 12.03, Champaign County, Illinois",17019001203,17,019,001203,1400000US17019001203,"Census Tract 12.03, Champaign County, Illinois",79570,11929,
2021,B19013,Detailed Table,DT,1400000US17019001204,"Census Tract 12.04, Champaign County, Illinois",17019001204,17,019,001204,1400000US17019001204,"Census Tract 12.04, Champaign County, Illinois",126013,10330,
2021,B19013,Detailed Table,DT,1400000US17019001205,"Census Tract 12.05, Champaign County, Illinois",17019001205,17,019,001205,1400000US17019001205,"Census Tract 12.05, Champaign County, Illinois",85141,33526,
2021,B19013,Detailed Table,DT,1400000US17019001206,"Census Tract 12.06, Champaign County, Illinois",17019001206,17,019,001206,1400000US17019001206,"Census Tract 12.06, Champaign County, Illinois",103125,25009,
2021,B19013,Detailed Table,DT,1400000US17019001301,"Census Tract 13.01, Champaign County, Illinois",17019001301,17,019,001301,1400000US17019001301,"Census Tract 13.01, Champaign County, Illinois",69591,7496,
2021,B19013,Detailed Table,DT,1400000US17019001302,"Census Tract 13.02, Champaign County, Illinois",17019001302,17,019,001302,1400000US17019001302,"Census Tract 13.02, Champaign County, Illinois",100655,17044,
2021,B19013,Detailed Table,DT,1400000US17019001400,"Census Tract 14, Champaign County, Illinois",17019001400,17,019,001400,1400000US17019001400,"Census Tract 14, Champaign County, Illinois",59698,20709,
2021,B19013,Detailed Table,DT,1400000US17019005300,"Census Tract 53, Champaign County, Illinois",17019005300,17,019,005300,1400000US17019005300,"Census Tract 53, Champaign County, Illinois",21726,4263,
2021,B19013,Detailed Table,DT,1400000US17019005401,"Census Tract 54.01, Champaign County, Illinois",17019005401,17,019,005401,1400000US17019005401,"Census Tract 54.01, Champaign County, Illinois",35521,4034,
2021,B19013,Detailed Table,DT,1400000US17019005402,"Census Tract 54.02, Champaign County, Illinois",17019005402,17,019,005402,1400000US17019005402,"Census Tract 54.02, Champaign County, Illinois",59452,6387,
2021,B19013,Detailed Table,DT,1400000US17019005500,"Census Tract 55, Champaign County, Illinois",17019005500,17,019,005500,1400000US17019005500,"Census Tract 55, Champaign County, Illinois",59219,13056,
2021,B19013,Detailed Table,DT,1400000US17019005601,"Census Tract 56.01, Champaign County, Illinois",17019005601,17,019,005601,1400000US17019005601,"Census Tract 56.01, Champaign County, Illinois",48702,3920,
2021,B19013,Detailed Table,DT,1400000US17019005602,"Census Tract 56.02, Champaign County, Illinois",17019005602,17,019,005602,1400000US17019005602,"Census Tract 56.02, Champaign County, Illinois",49125,15208,
2021,B19013,Detailed Table,DT,1400000US17019005701,"Census Tract 57.01, Champaign County, Illinois",17019005701,17,019,005701,1400000US17019005701,"Census Tract 57.01, Champaign County, Illinois",44333,30420,
2021,B19013,Detailed Table,DT,1400000US17019005702,"Census Tract 57.02, Champaign County, Illinois",17019005702,17,019,005702,1400000US17019005702,"Census Tract 57.02, Champaign County, Illinois",124125,19139,
2021,B19013,Detailed Table,DT,1400000US17019005800,"Census Tract 58, Champaign County, Illinois",17019005800,17,019,005800,1400000US17019005800,"Census Tract 58, Champaign County, Illinois",63750,24023,
2021,B19013,Detailed Table,DT,1400000US17019005901,"Census Tract 59.01, Champaign County, Illinois",17019005901,17,019,005901,1400000US17019005901,"Census Tract 59.01, Champaign County, Illinois",-,**,
2021,B19013,Detailed Table,DT,1400000US17019005902,"Census Tract 59.02, Champaign County, Illinois",17019005902,17,019,005902,1400000US17019005902,"Census Tract 59.02, Champaign County, Illinois",14256,10484,
2021,B19013,Detailed Table,DT,1400000US17019006000,"Census Tract 60, Champaign County, Illinois",17019006000,17,019,006000,1400000US17019006000,"Census Tract 60, Champaign County, Illinois",24104,2684,
2021,B19013,Detailed Table,DT,1400000US17019010100,"Census Tract 101, Champaign County, Illinois",17019010100,17,019,010100,1400000US17019010100,"Census Tract 101, Champaign County, Illinois",44938,6926,
2021,B19013,Detailed Table,DT,1400000US17019010204,"Census Tract 102.04, Champaign County, Illinois",17019010204,17,019,010204,1400000US17019010204,"Census Tract 102.04, Champaign County, Illinois",47421,13831,
2021,B19013,Detailed Table,DT,1400000US17019010300,"Census Tract 103, Champaign County, Illinois",17019010300,17,019,010300,1400000US17019010300,"Census Tract 103, Champaign County, Illinois",36409,3476,
2021,B19013,Detailed Table,DT,1400000US17019010400,"Census Tract 104, Champaign County, Illinois",17019010400,17,019,010400,1400000US17019010400,"Census Tract 104, Champaign County, Illinois",75993,6987,
2021,B19013,Detailed Table,DT,1400000US17019010500,"Census Tract 105, Champaign County, Illinois",17019010500,17,019,010500,1400000US17019010500,"Census Tract 105, Champaign County, Illinois",98407,11517,
2021,B19013,Detailed Table,DT,1400000US17019010601,"Census Tract 106.01, Champaign County, Illinois",17019010601,17,019,010601,1400000US17019010601,"Census Tract 106.01, Champaign County, Illinois",104141,11456,
2021,B19013,Detailed Table,DT,1400000US17019010603,"Census Tract 106.03, Champaign County, Illinois",17019010603,17,019,010603,1400000US17019010603,"Census Tract 106.03, Champaign County, Illinois",105124,12656,
2021,B19013,Detailed Table,DT,1400000US17019010604,"Census Tract 106.04, Champaign County, Illinois",17019010604,17,019,010604,1400000US17019010604,"Census Tract 106.04, Champaign County, Illinois",100871,35732,
2021,B19013,Detailed Table,DT,1400000US17019010701,"Census Tract 107.01, Champaign County, Illinois",17019010701,17,019,010701,1400000US17019010701,"Census Tract 107.01, Champaign County, Illinois",94484,8715,
2021,B19013,Detailed Table,DT,1400000US17019010702,"Census Tract 107.02, Champaign County, Illinois",17019010702,17,019,010702,1400000US17019010702,"Census Tract 107.02, Champaign County, Illinois",94648,6170,
2021,B19013,Detailed Table,DT,1400000US17019010800,"Census Tract 108, Champaign County, Illinois",17019010800,17,019,010800,1400000US17019010800,"Census Tract 108, Champaign County, Illinois",92929,7097,
