year,primary_place,tract_count,estimated_alice_households,avg_estimated_alice_rate_proxy_pct,avg_poverty_rate
2019,Champaign,16,12107.744733235015,44.70257894249464,32.737500000000004
2019,Fisher,1,257.27935514544555,15.26880445967036,4.1
2019,Mahomet,1,543.2036607834422,20.568105292822494,8.1
2019,Rantoul,2,1747.0019292482095,62.43754114009586,21.75
2019,Savoy,1,566.5165891498355,27.4741313845701,6.6
2019,Urbana,5,4645.321250966067,48.71387166236888,31.98
2021,Champaign,18,12218.8753049393,39.34965613621839,29.349999999999998
2021,Fisher,1,175.12185043532585,11.020884231298036,3.7
2021,Mahomet,1,419.1966645053908,16.536357574177153,5.2
2021,Rantoul,2,1659.9003842732322,54.296208041034504,25.3
2021,Savoy,1,467.8751896495681,23.048038898993504,4.2
2021,St. Joseph,1,245.43455008540244,17.00863132954972,7.7
2021,Urbana,8,5941.335005494828,46.67360012702851,39.125
2022,Champaign,18,15046.721874828114,48.736200079557406,29.41111111111111
2022,Fisher,1,0.874985947052867,0.0546524639008661,3.1
2022,Mahomet,1,513.4055026482615,19.228670511170844,5.8
2022,Rantoul,2,2210.9856981895628,73.86466472558413,27.200000000000003
2022,Savoy,1,371.3122337785284,18.237339576548543,5.2
2022,St. Joseph,1,124.26308325902552,8.111167314557802,6.5
2022,Urbana,8,7908.306560111038,61.94901549945527,40.4625
2023,Champaign,18,14203.37771785168,43.760266410381874,30.02777777777778
2023,Fisher,1,0.757934912379254,0.0477288987644366,2.2
2023,Mahomet,1,704.3918773917777,26.021125873357136,6.0
2023,Rantoul,2,1720.6048178658436,57.961157130927546,25.1
2023,Savoy,1,218.4719001730685,10.880074709814169,7.2
2023,St. Joseph,1,84.13761251627719,5.484850881113246,4.3
2023,Urbana,8,7016.4804935098855,55.84724272415896,37.6
