year,estimated_alice_households,avg_estimated_alice_rate_proxy_pct
2019,32848.00000000001,41.98372864808239
2021,29386.0,36.47742026288054
2022,34808.178,43.24782632022529
2023,31918.161100000005,38.830279106832826
