tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,area_type,cluster_label,2019,2021,2022,2023,metric,change_first_to_last,change_2019_to_2021,change_2021_to_2022,change_2022_to_2023
17019001400,Champaign — Family-oriented residential area,Champaign,61874.0,Higher student concentration; more households with children.,Family-oriented residential area,cluster_0,547.6271243447526,405.4678453187272,377.6087568707735,367.7534401058887,estimated_alice_households,-179.87368423886386,-142.1592790260254,-27.859088447953695,-9.855316764884776
17019010400,Rantoul — Senior-heavy residential area,Rantoul,61866.0,Older age profile.,Senior-heavy residential area,cluster_0,546.6390341701748,470.35416037179306,474.0436146038411,363.0841553497515,estimated_alice_households,-183.5548788204233,-76.28487379838174,3.6894542320480355,-110.95945925408961
17019010603,Mahomet — Family-oriented residential area,Mahomet,61853.0,More households with children.,Family-oriented residential area,cluster_0,543.2036607834422,419.1966645053908,513.4055026482615,704.3918773917777,estimated_alice_households,161.18821660833555,-124.00699627805136,94.20883814287072,190.9863747435162
17019005800,Urbana — Higher economic stress area,Urbana,61801.0,Higher poverty rate; more very-low-income households.,Higher economic stress area,cluster_0,539.3878374230899,489.4378785798528,671.9119296794045,602.6550256967577,estimated_alice_households,63.267188273667784,-49.949958843237084,182.47405109955167,-69.2569039826468
17019001301,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,Senior-heavy residential area,cluster_0,528.4878682541685,774.8687980135269,901.9653957837814,816.4585561827199,estimated_alice_households,287.97068792855146,246.38092975935842,127.09659777025456,-85.50683960106153
17019010800,Sidney — Senior-heavy residential area,Sidney,61877.0,More households with children; older age profile.,Senior-heavy residential area,cluster_0,475.590973226076,441.73685199099,476.2758368882525,458.93821226159736,estimated_alice_households,-16.65276096447866,-33.85412123508604,34.53898489726254,-17.337624626655156
17019001205,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,Family-oriented residential area,cluster_0,436.9751186669939,1086.985496398825,828.6073083327872,858.7071745214058,estimated_alice_households,421.7320558544119,650.0103777318311,-258.37818806603786,30.09986618861865
17019010604,Champaign — Senior-heavy residential area,Champaign,61822.0,Older age profile.,Senior-heavy residential area,cluster_0,428.160509455138,262.97322817737864,177.73708078662995,181.76170159823053,estimated_alice_households,-246.3988078569075,-165.18728127775938,-85.2361473907487,4.024620811600585
17019001100,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,Senior-heavy residential area,cluster_0,349.1638035155291,351.0472385276164,309.6718660679234,425.4768091337403,estimated_alice_households,76.3130056182112,1.8834350120873182,-41.37537245969298,115.80494306581687
17019006000,Urbana — Student-dense area,Urbana,61802.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,340.8915393398563,228.537258681283,324.63192986066656,286.7657219221817,estimated_alice_households,-54.125817417674625,-112.35428065857332,96.09467117938357,-37.86620793848488
