Column Name,Label
S0101_C02_003E,Estimate_Percent_Total population_AGE_5 to 9 years
S0101_C02_003M,Margin of Error_Percent_Total population_AGE_5 to 9 years
S0101_C02_004E,Estimate_Percent_Total population_AGE_10 to 14 years
S0101_C02_004M,Margin of Error_Percent_Total population_AGE_10 to 14 years
S0101_C02_005E,Estimate_Percent_Total population_AGE_15 to 19 years
S0101_C02_005M,Margin of Error_Percent_Total population_AGE_15 to 19 years
S0101_C02_006E,Estimate_Percent_Total population_AGE_20 to 24 years
S0101_C02_006M,Margin of Error_Percent_Total population_AGE_20 to 24 years
S0101_C02_007E,Estimate_Percent_Total population_AGE_25 to 29 years
S0101_C02_007M,Margin of Error_Percent_Total population_AGE_25 to 29 years
S0101_C02_008E,Estimate_Percent_Total population_AGE_30 to 34 years
S0101_C02_008M,Margin of Error_Percent_Total population_AGE_30 to 34 years
S0101_C02_009E,Estimate_Percent_Total population_AGE_35 to 39 years
S0101_C02_009M,Margin of Error_Percent_Total population_AGE_35 to 39 years
S0101_C02_010E,Estimate_Percent_Total population_AGE_40 to 44 years
S0101_C02_010M,Margin of Error_Percent_Total population_AGE_40 to 44 years
S0101_C02_011E,Estimate_Percent_Total population_AGE_45 to 49 years
S0101_C02_011M,Margin of Error_Percent_Total population_AGE_45 to 49 years
S0101_C02_012E,Estimate_Percent_Total population_AGE_50 to 54 years
S0101_C02_012M,Margin of Error_Percent_Total population_AGE_50 to 54 years
S0101_C02_013E,Estimate_Percent_Total population_AGE_55 to 59 years
S0101_C02_013M,Margin of Error_Percent_Total population_AGE_55 to 59 years
S0101_C02_014E,Estimate_Percent_Total population_AGE_60 to 64 years
S0101_C02_014M,Margin of Error_Percent_Total population_AGE_60 to 64 years
S0101_C02_015E,Estimate_Percent_Total population_AGE_65 to 69 years
S0101_C02_015M,Margin of Error_Percent_Total population_AGE_65 to 69 years
S0101_C02_016E,Estimate_Percent_Total population_AGE_70 to 74 years
S0101_C02_016M,Margin of Error_Percent_Total population_AGE_70 to 74 years
S0101_C02_017E,Estimate_Percent_Total population_AGE_75 to 79 years
S0101_C02_017M,Margin of Error_Percent_Total population_AGE_75 to 79 years
S0101_C02_018E,Estimate_Percent_Total population_AGE_80 to 84 years
S0101_C02_018M,Margin of Error_Percent_Total population_AGE_80 to 84 years
S0101_C02_019E,Estimate_Percent_Total population_AGE_85 years and over
S0101_C02_019M,Margin of Error_Percent_Total population_AGE_85 years and over
S0101_C02_020E,Estimate_Percent_Total population_SELECTED AGE CATEGORIES_5 to 14 years
S0101_C02_020M,Margin of Error_Percent_Total population_SELECTED AGE CATEGORIES_5 to 14 years
S0101_C02_021E,Estimate_Percent_Total population_SELECTED AGE CATEGORIES_15 to 17 years
S0101_C02_021M,Margin of Error_Percent_Total population_SELECTED AGE CATEGORIES_15 to 17 years
S0101_C02_022E,Estimate_Percent_Total population_SELECTED AGE CATEGORIES_Under 18 years
S0101_C02_022M,Margin of Error_Percent_Total population_SELECTED AGE CATEGORIES_Under 18 years
S0101_C02_023E,Estimate_Percent_Total population_SELECTED AGE CATEGORIES_18 to 24 years
S0101_C02_023M,Margin of Error_Percent_Total population_SELECTED AGE CATEGORIES_18 to 24 years
S0101_C02_024E,Estimate_Percent_Total population_SELECTED AGE CATEGORIES_15 to 44 years
S0101_C02_024M,Margin of Error_Percent_Total population_SELECTED AGE CATEGORIES_15 to 44 years
S0101_C02_025E,Estimate_Percent_Total population_SELECTED AGE CATEGORIES_16 years and over
S0101_C02_025M,Margin of Error_Percent_Total population_SELECTED AGE CATEGORIES_16 years and over
S0101_C02_026E,Estimate_Percent_Total population_SELECTED AGE CATEGORIES_18 years and over
S0101_C02_026M,Margin of Error_Percent_Total population_SELECTED AGE CATEGORIES_18 years and over
S0101_C02_027E,Estimate_Percent_Total population_SELECTED AGE CATEGORIES_21 years and over
S0101_C02_027M,Margin of Error_Percent_Total population_SELECTED AGE CATEGORIES_21 years and over
S0101_C02_028E,Estimate_Percent_Total population_SELECTED AGE CATEGORIES_60 years and over
S0101_C02_028M,Margin of Error_Percent_Total population_SELECTED AGE CATEGORIES_60 years and over
S0101_C02_029E,Estimate_Percent_Total population_SELECTED AGE CATEGORIES_62 years and over
S0101_C02_029M,Margin of Error_Percent_Total population_SELECTED AGE CATEGORIES_62 years and over
S0101_C02_030E,Estimate_Percent_Total population_SELECTED AGE CATEGORIES_65 years and over
S0101_C02_030M,Margin of Error_Percent_Total population_SELECTED AGE CATEGORIES_65 years and over
S0101_C02_031E,Estimate_Percent_Total population_SELECTED AGE CATEGORIES_75 years and over
S0101_C02_031M,Margin of Error_Percent_Total population_SELECTED AGE CATEGORIES_75 years and over
S0101_C02_032E,Estimate_Percent_Total population_SUMMARY INDICATORS_Median age (years)
S0101_C02_032M,Margin of Error_Percent_Total population_SUMMARY INDICATORS_Median age (years)
S0101_C02_033E,Estimate_Percent_Total population_SUMMARY INDICATORS_Sex ratio (males per 100 females)
S0101_C02_033M,Margin of Error_Percent_Total population_SUMMARY INDICATORS_Sex ratio (males per 100 females)
S0101_C02_034E,Estimate_Percent_Total population_SUMMARY INDICATORS_Age dependency ratio
S0101_C02_034M,Margin of Error_Percent_Total population_SUMMARY INDICATORS_Age dependency ratio
S0101_C02_035E,Estimate_Percent_Total population_SUMMARY INDICATORS_Old-age dependency ratio
S0101_C02_035M,Margin of Error_Percent_Total population_SUMMARY INDICATORS_Old-age dependency ratio
S0101_C02_036E,Estimate_Percent_Total population_SUMMARY INDICATORS_Child dependency ratio
S0101_C02_036M,Margin of Error_Percent_Total population_SUMMARY INDICATORS_Child dependency ratio
S0101_C02_037E,Estimate_Percent_Total population_PERCENT ALLOCATED_Sex
S0101_C02_037M,Margin of Error_Percent_Total population_PERCENT ALLOCATED_Sex
S0101_C02_038E,Estimate_Percent_Total population_PERCENT ALLOCATED_Age
S0101_C02_038M,Margin of Error_Percent_Total population_PERCENT ALLOCATED_Age
S0101_C03_001E,Estimate_Male_Total population
S0101_C03_001M,Margin of Error_Male_Total population
S0101_C03_002E,Estimate_Male_Total population_AGE_Under 5 years
S0101_C03_002M,Margin of Error_Male_Total population_AGE_Under 5 years
S0101_C03_003E,Estimate_Male_Total population_AGE_5 to 9 years
S0101_C03_003M,Margin of Error_Male_Total population_AGE_5 to 9 years
S0101_C03_004E,Estimate_Male_Total population_AGE_10 to 14 years
S0101_C03_004M,Margin of Error_Male_Total population_AGE_10 to 14 years
S0101_C03_005E,Estimate_Male_Total population_AGE_15 to 19 years
S0101_C03_005M,Margin of Error_Male_Total population_AGE_15 to 19 years
S0101_C03_006E,Estimate_Male_Total population_AGE_20 to 24 years
S0101_C03_006M,Margin of Error_Male_Total population_AGE_20 to 24 years
S0101_C03_007E,Estimate_Male_Total population_AGE_25 to 29 years
S0101_C03_007M,Margin of Error_Male_Total population_AGE_25 to 29 years
S0101_C03_008E,Estimate_Male_Total population_AGE_30 to 34 years
S0101_C03_008M,Margin of Error_Male_Total population_AGE_30 to 34 years
S0101_C03_009E,Estimate_Male_Total population_AGE_35 to 39 years
S0101_C03_009M,Margin of Error_Male_Total population_AGE_35 to 39 years
S0101_C03_010E,Estimate_Male_Total population_AGE_40 to 44 years
S0101_C03_010M,Margin of Error_Male_Total population_AGE_40 to 44 years
S0101_C03_011E,Estimate_Male_Total population_AGE_45 to 49 years
S0101_C03_011M,Margin of Error_Male_Total population_AGE_45 to 49 years
S0101_C03_012E,Estimate_Male_Total population_AGE_50 to 54 years
S0101_C03_012M,Margin of Error_Male_Total population_AGE_50 to 54 years
S0101_C03_013E,Estimate_Male_Total population_AGE_55 to 59 years
