year,p95_rate_proxy,p99_rate_proxy,max_rate_proxy,tracts_over_100_pct,tracts_over_80_pct
2019,67.51032420205874,80.88777585996296,86.27129630714843,0,1
2021,61.238415599753296,64.94899927369049,66.09440073965713,0,0
2022,78.14678723686312,89.74013882640641,89.84199067222295,0,2
2023,73.97292225276023,76.56999937174892,78.08867666579447,0,0
