year,cluster_label,tract_count,estimated_alice_households,avg_estimated_alice_rate_proxy_pct
2019,cluster_0,35,26495.148669267823,38.326815828418944
2019,cluster_1,8,6352.851330732182,57.98272223410998
2021,cluster_0,39,23966.3193604075,33.30885930902827
2021,cluster_1,9,5419.680639592501,50.20785106290704
2022,cluster_0,39,27366.28304035625,37.32127259891696
2022,cluster_1,9,7441.894959643749,68.92955911256136
2023,cluster_0,39,24720.007389306586,33.33211819715125
2023,cluster_1,9,7198.153710693419,62.65564304878631
