serialno,state,puma,wgtp,np,hincp,fincp,adjinc,hht,hht2,noc,npf,fparc,person_count,adult_count,college_age_count,student_enrolled_count,likely_college_student_count,employed_count,reference_person_count,reference_person_student_flag,has_any_likely_college_student,has_any_student,has_any_college_age_person,has_any_employed_person,student_share_of_persons,student_share_of_adults,college_age_share_of_persons,student_heavy_flag_rule_a,student_heavy_flag_rule_b,wgtp_adj,analysis_weight,hincp_adj_real,student_heavy_flag,hh_comp_key,below_alice_flag,annual_alice_threshold
2022HU0001880,17,1901,259,3,1300.0,1300.0,1042311,3.0,7.0,0.0,3.0,4.0,3,3,1,0,0,1,1,0,0,0,1,1,0.0,0.0,0.3333333333333333,0,0,259.0,259.0,1355.0043,0,3plus_adult_0_child,1,61258.87
2022HU0654742,17,1901,141,1,0.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,141.0,141.0,0.0,0,1_adult_0_child,1,39379.85
2022HU0022984,17,1901,33,1,1000.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,33.0,33.0,1042.311,0,1_adult_0_child,1,39379.85
2022HU0049463,17,1902,15,2,30000.0,,1042311,7.0,4.0,0.0,,,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,3.28461,3.28461,31269.33,0,2_adult_0_child,1,51941.36
2022HU0587695,17,1901,274,1,0.0,,1042311,4.0,9.0,0.0,,,1,1,1,0,0,0,1,0,0,0,1,0,0.0,0.0,1.0,0,0,274.0,274.0,0.0,0,1_adult_0_child,1,39379.85
2022HU0010981,17,1901,180,3,10000.0,,1042311,5.0,12.0,0.0,,,3,3,3,3,3,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,180.0,180.0,10423.11,0,3plus_adult_0_child,1,61258.87
2022HU0011529,17,1902,28,2,42000.0,,1042311,7.0,4.0,0.0,,,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,6.131272,6.131272,43777.062,0,2_adult_0_child,1,51941.36
2022HU0012621,17,1901,104,1,21900.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,104.0,104.0,22826.6109,0,1_adult_0_child,1,39379.85
2022HU0015618,17,1902,68,4,23000.0,0.0,1042311,3.0,3.0,2.0,3.0,1.0,4,2,2,0,0,1,1,0,0,0,1,1,0.0,0.0,0.5,0,0,14.890232,14.890232,23973.153,0,2_adult_2plus_child,1,68841.66
2022HU0017819,17,1902,52,1,32600.0,,1042311,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,11.386648,11.386648,33979.3386,0,1_adult_0_child,1,39379.85
