year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,B19013_001E,B19013_001M,Unnamed:_4
2023,B19013,Detailed Table,DT,1400000US17019005800,Census Tract 58; Champaign County; Illinois,17019005800,17,019,005800,1400000US17019005800,Census Tract 58; Champaign County; Illinois,73365,17387,
2023,B19013,Detailed Table,DT,1400000US17019005901,Census Tract 59.01; Champaign County; Illinois,17019005901,17,019,005901,1400000US17019005901,Census Tract 59.01; Champaign County; Illinois,9604,3202,
2023,B19013,Detailed Table,DT,1400000US17019005902,Census Tract 59.02; Champaign County; Illinois,17019005902,17,019,005902,1400000US17019005902,Census Tract 59.02; Champaign County; Illinois,15781,6692,
2023,B19013,Detailed Table,DT,1400000US17019006000,Census Tract 60; Champaign County; Illinois,17019006000,17,019,006000,1400000US17019006000,Census Tract 60; Champaign County; Illinois,30929,7390,
2023,B19013,Detailed Table,DT,1400000US17019010100,Census Tract 101; Champaign County; Illinois,17019010100,17,019,010100,1400000US17019010100,Census Tract 101; Champaign County; Illinois,51291,4243,
2023,B19013,Detailed Table,DT,1400000US17019010204,Census Tract 102.04; Champaign County; Illinois,17019010204,17,019,010204,1400000US17019010204,Census Tract 102.04; Champaign County; Illinois,54773,13060,
2023,B19013,Detailed Table,DT,1400000US17019010300,Census Tract 103; Champaign County; Illinois,17019010300,17,019,010300,1400000US17019010300,Census Tract 103; Champaign County; Illinois,40297,5436,
2023,B19013,Detailed Table,DT,1400000US17019010400,Census Tract 104; Champaign County; Illinois,17019010400,17,019,010400,1400000US17019010400,Census Tract 104; Champaign County; Illinois,79958,9789,
2023,B19013,Detailed Table,DT,1400000US17019010500,Census Tract 105; Champaign County; Illinois,17019010500,17,019,010500,1400000US17019010500,Census Tract 105; Champaign County; Illinois,107208,14453,
2023,B19013,Detailed Table,DT,1400000US17019010601,Census Tract 106.01; Champaign County; Illinois,17019010601,17,019,010601,1400000US17019010601,Census Tract 106.01; Champaign County; Illinois,123876,8933,
