year,selected_k,row_count,cluster_metric_count,best_silhouette_score,best_inertia
2019,2,43,21,0.42042007311452323,536.8732533249853
2021,2,48,21,0.4244258846861486,595.4823442901275
2022,2,48,21,0.4294870395850719,588.9211588528617
2023,2,48,21,0.42878966459203444,596.484154188642
