year,metric,centroid_range_scaled,centroid_std_scaled
2019,avg_household_size_v2,0.44947774491291115,0.3178287614203567
2019,median_household_income,1.750241903645446,1.2376079187845468
2019,pct_age_18_24,2.377322851326661,1.6810211092428207
2019,pct_age_65_plus,1.750124377834908,1.237524815486951
2019,pct_bachelors_or_higher,1.0863826789815139,0.7681885592714365
2019,pct_family_households,2.07722709108557,1.4688213621710127
2019,pct_hh_income_100k_plus,1.526773714110695,1.0795920465850437
2019,pct_hh_income_25k_50k,0.8149111631420347,0.5762292095223497
2019,pct_hh_income_50k_100k,1.8852913968462466,1.3331023312226393
2019,pct_hh_income_under_25k,2.2372709511270368,1.5819894608936047
2019,pct_households_with_own_children_under_18,1.8638068062466415,1.317910431518642
2019,pct_less_than_high_school,0.475160181003931,0.33598898613770695
2019,pct_one_person_households,1.744295484900896,1.2334031657665006
2019,pct_rent_burden_30_plus,0.9389570434556542,0.6639428926703649
2019,pct_rent_burden_50_plus,1.573255090728549,1.1124593431904142
2019,pct_renter_occupied,2.0027822786069045,1.4161809304431876
2019,pct_senior_living_alone_households,2.086348775113539,1.4752713668030304
2019,pct_some_college_or_associate,1.073340172662514,0.7589661146096035
2019,pct_vacant_housing_units,1.408550281099798,0.9959954554078849
2019,poverty_rate,2.266536190233472,1.6026831099188106
2019,unemployment_rate,0.6786526254763576,0.47987987354438677
2021,avg_household_size_v2,0.9299011602726638,0.6575394162620392
2021,median_household_income,1.645675575432954,1.1636683590217154
2021,pct_age_18_24,2.4045501253606876,1.7002736993455052
2021,pct_age_65_plus,1.6218868755521632,1.1468472080203966
2021,pct_bachelors_or_higher,1.2040426554464059,0.8513867265040114
2021,pct_family_households,2.0892136926141807,1.4772971693952743
2021,pct_hh_income_100k_plus,1.5552673932710206,1.0997401203402637
2021,pct_hh_income_25k_50k,0.39565276419248085,0.27976875255570527
2021,pct_hh_income_50k_100k,1.7841750006986496,1.2616022418175283
2021,pct_hh_income_under_25k,2.2420609344303726,1.5853764905691639
2021,pct_households_with_own_children_under_18,1.7734312011704974,1.254005228315463
2021,pct_less_than_high_school,0.09922798238894864,0.0701647792306849
2021,pct_one_person_households,1.7284274616232056,1.2221827789028197
2021,pct_rent_burden_30_plus,1.0824025819876386,0.7653742056972872
2021,pct_rent_burden_50_plus,1.6719838184365323,1.1822710960506493
2021,pct_renter_occupied,1.9643385344453743,1.3889970982523687
2021,pct_senior_living_alone_households,1.6290270360596388,1.151896063933993
2021,pct_some_college_or_associate,1.3591129043215373,0.9610379510439024
2021,pct_vacant_housing_units,2.0608151433877797,1.4572163626614263
2021,poverty_rate,2.2486116604834074,1.5900085533829602
2021,unemployment_rate,0.234590697779286,0.1658806732030171
2022,avg_household_size_v2,0.9604787669319141,0.6791610492832499
2022,median_household_income,1.8019557024669783,1.2741750966121692
2022,pct_age_18_24,2.385719042385664,1.6869581128767792
2022,pct_age_65_plus,1.5690490938511215,1.1094852542767355
2022,pct_bachelors_or_higher,1.327399675474959,0.938613311873166
2022,pct_family_households,2.065464334058471,1.4605038369117014
2022,pct_hh_income_100k_plus,1.637523204809865,1.1579037624713833
2022,pct_hh_income_25k_50k,0.11512630621912477,0.08140659182050212
2022,pct_hh_income_50k_100k,1.6635693906877058,1.1763211971296499
2022,pct_hh_income_under_25k,2.217620204213802,1.5680942844958756
2022,pct_households_with_own_children_under_18,1.6626418886896714,1.1756653541772757
2022,pct_less_than_high_school,0.0324630620273258,0.02295485129760158
2022,pct_one_person_households,1.811734049784134,1.2810894323089272
2022,pct_rent_burden_30_plus,1.2205189413109871,0.8630372199676248
2022,pct_rent_burden_50_plus,1.7737086640391106,1.2542014241913868
2022,pct_renter_occupied,2.0037868142644117,1.4168912444185544
2022,pct_senior_living_alone_households,1.4826894024393389,1.0484197308582865
2022,pct_some_college_or_associate,1.5316281556498648,1.0830246551162643
2022,pct_vacant_housing_units,2.1107559894573367,1.4925298735754036
2022,poverty_rate,2.2089265170366286,1.5619469193393818
2022,unemployment_rate,0.032227399244065986,0.022788212545485274
2023,avg_household_size_v2,1.2293979637178905,0.8693156369218534
2023,median_household_income,1.7296983869995644,1.223081458854825
2023,pct_age_18_24,2.3600692733580413,1.6688209872614788
2023,pct_age_65_plus,1.5686808086939223,1.1092248373446696
2023,pct_bachelors_or_higher,1.0171780100687862,0.719253468593477
2023,pct_family_households,2.0202270241803824,1.4285162283342676
2023,pct_hh_income_100k_plus,1.6719377826967885,1.1822385438668994
2023,pct_hh_income_25k_50k,0.4755833205044073,0.33628819094788165
2023,pct_hh_income_50k_100k,1.8045843086604347,1.2760338018766313
2023,pct_hh_income_under_25k,2.2011861117944136,1.5564736263034797
2023,pct_households_with_own_children_under_18,1.637083399576413,1.1575927732084081
2023,pct_less_than_high_school,0.22753221920923003,0.16088957514127059
2023,pct_one_person_households,1.7895831918067324,1.2654264104240065
2023,pct_rent_burden_30_plus,1.346683695722162,0.9522491733585019
2023,pct_rent_burden_50_plus,1.726282626564953,1.2206661514886028
2023,pct_renter_occupied,1.9829773284568282,1.402176715891007
2023,pct_senior_living_alone_households,1.5317930042278871,1.0831412206636528
2023,pct_some_college_or_associate,1.0699787073459461,0.756589199689535
2023,pct_vacant_housing_units,2.1196896035540482,1.498846892683692
2023,poverty_rate,2.1977539058178572,1.5540466901830279
2023,unemployment_rate,0.16661655545889867,0.11781569622293173
