k,inertia,silhouette_score,year
2,551.9197260119385,0.4069084693805747,2019
3,419.6357369273005,0.248191670557397,2019
4,345.3442966336775,0.25719302469927546,2019
5,308.3123579017337,0.21102900748081335,2019
6,276.671898924544,0.20195906029827737,2019
2,595.4823442901275,0.4244258846861486,2021
3,469.626837744846,0.2363315485575197,2021
4,403.73493210937,0.23389447423619214,2021
5,357.5117733021865,0.252077458155193,2021
6,329.32149903404485,0.22898765232468163,2021
2,588.9211588528617,0.4294870395850719,2022
3,464.2570847817575,0.23878670772562835,2022
4,403.0663846275704,0.22160365818267494,2022
5,358.32809439098025,0.2372259675160723,2022
6,327.7502824044785,0.19172063690467858,2022
2,596.484154188642,0.42878966459203444,2023
3,479.7115641996438,0.22400364515338023,2023
4,417.41860847041863,0.21836696978292505,2023
5,372.3821969768238,0.23367462753128465,2023
6,340.9640858911611,0.2041023146807581,2023
