"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"0100000US","United States","62843","135",
"0500000US17019","Champaign County, Illinois","52797","1094",
"1400000US17019000200","Census Tract 2, Champaign County, Illinois","21385","4938",
"1400000US17019000301","Census Tract 3.01, Champaign County, Illinois","7099","1978",
"1400000US17019000302","Census Tract 3.02, Champaign County, Illinois","10385","4237",
"1400000US17019000401","Census Tract 4.01, Champaign County, Illinois","3864","3095",
"1400000US17019000402","Census Tract 4.02, Champaign County, Illinois","5234","2794",
"1400000US17019000500","Census Tract 5, Champaign County, Illinois","44516","11249",
"1400000US17019000700","Census Tract 7, Champaign County, Illinois","40074","5883",
"1400000US17019000800","Census Tract 8, Champaign County, Illinois","54864","3779",
"1400000US17019000901","Census Tract 9.01, Champaign County, Illinois","36602","7088",
"1400000US17019000902","Census Tract 9.02, Champaign County, Illinois","60412","8293",
"1400000US17019001000","Census Tract 10, Champaign County, Illinois","55378","10095",
"1400000US17019001100","Census Tract 11, Champaign County, Illinois","73300","5263",
"1400000US17019001201","Census Tract 12.01, Champaign County, Illinois","44503","5033",
"1400000US17019001203","Census Tract 12.03, Champaign County, Illinois","76944","5352",
"1400000US17019001204","Census Tract 12.04, Champaign County, Illinois","120785","11997",
"1400000US17019001205","Census Tract 12.05, Champaign County, Illinois","99671","19871",
"1400000US17019001206","Census Tract 12.06, Champaign County, Illinois","108385","3924",
"1400000US17019001301","Census Tract 13.01, Champaign County, Illinois","74070","5856",
"1400000US17019001302","Census Tract 13.02, Champaign County, Illinois","94902","7153",
"1400000US17019001400","Census Tract 14, Champaign County, Illinois","57250","18478",
"1400000US17019005300","Census Tract 53, Champaign County, Illinois","21563","6255",
"1400000US17019005401","Census Tract 54.01, Champaign County, Illinois","34245","5187",
"1400000US17019005402","Census Tract 54.02, Champaign County, Illinois","45361","7118",
"1400000US17019005500","Census Tract 55, Champaign County, Illinois","50370","6869",
"1400000US17019005600","Census Tract 56, Champaign County, Illinois","60774","11208",
"1400000US17019005701","Census Tract 57.01, Champaign County, Illinois","50253","14340",
"1400000US17019005702","Census Tract 57.02, Champaign County, Illinois","58590","12565",
"1400000US17019005800","Census Tract 58, Champaign County, Illinois","49855","6225",
"1400000US17019005900","Census Tract 59, Champaign County, Illinois","10988","2328",
"1400000US17019006000","Census Tract 60, Champaign County, Illinois","21354","4174",
"1400000US17019010100","Census Tract 101, Champaign County, Illinois","41276","10587",
"1400000US17019010204","Census Tract 102.04, Champaign County, Illinois","47042","10239",
"1400000US17019010300","Census Tract 103, Champaign County, Illinois","37778","7340",
"1400000US17019010400","Census Tract 104, Champaign County, Illinois","70182","5110",
"1400000US17019010500","Census Tract 105, Champaign County, Illinois","83728","4387",
"1400000US17019010601","Census Tract 106.01, Champaign County, Illinois","94828","8247",
"1400000US17019010603","Census Tract 106.03, Champaign County, Illinois","91607","16077",
"1400000US17019010604","Census Tract 106.04, Champaign County, Illinois","60824","3066",
"1400000US17019010700","Census Tract 107, Champaign County, Illinois","89767","3531",
"1400000US17019010800","Census Tract 108, Champaign County, Illinois","72740","11287",
"1400000US17019010900","Census Tract 109, Champaign County, Illinois","73347","5335",
"1400000US17019011000","Census Tract 110, Champaign County, Illinois","41196","7335",
"1400000US17019011100","Census Tract 111, Champaign County, Illinois","22741","11621",
