year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,Unnamed:_44
2022,B03002,Detailed Table,DT,1400000US17019001206,Census Tract 12.06; Champaign County; Illinois,17019001206,17,019,001206,1400000US17019001206,Census Tract 12.06; Champaign County; Illinois,1837,277,1691,276,1511,267,50,61,0,12,40,37,0,12,0,12,90,61,6,8,84,62,146,120,105,109,0,12,0,12,0,12,0,12,12,14,29,28,23,28,6,9,
2022,B03002,Detailed Table,DT,1400000US17019001301,Census Tract 13.01; Champaign County; Illinois,17019001301,17,019,001301,1400000US17019001301,Census Tract 13.01; Champaign County; Illinois,5831,836,5611,889,4570,798,302,173,0,17,536,406,0,17,10,16,193,208,0,17,193,208,220,163,83,110,0,17,0,17,0,17,0,17,14,23,123,106,123,106,0,17,
2022,B03002,Detailed Table,DT,1400000US17019001302,Census Tract 13.02; Champaign County; Illinois,17019001302,17,019,001302,1400000US17019001302,Census Tract 13.02; Champaign County; Illinois,4367,387,4287,395,3589,352,112,89,0,12,506,141,0,12,0,12,80,81,0,12,80,81,80,62,28,44,0,12,0,12,0,12,0,12,0,12,52,49,52,49,0,12,
2022,B03002,Detailed Table,DT,1400000US17019001400,Census Tract 14; Champaign County; Illinois,17019001400,17,019,001400,1400000US17019001400,Census Tract 14; Champaign County; Illinois,6873,364,6231,395,4327,552,509,246,0,17,1262,358,0,17,0,17,133,99,12,28,121,93,642,281,282,189,6,15,0,17,12,18,0,17,6,14,336,195,314,195,22,28,
2022,B03002,Detailed Table,DT,1400000US17019005300,Census Tract 53; Champaign County; Illinois,17019005300,17,019,005300,1400000US17019005300,Census Tract 53; Champaign County; Illinois,4585,770,4525,779,986,304,2307,666,0,12,1081,352,0,12,63,92,88,84,0,12,88,84,60,60,33,46,19,31,0,12,0,12,0,12,8,13,0,12,0,12,0,12,
2022,B03002,Detailed Table,DT,1400000US17019005401,Census Tract 54.01; Champaign County; Illinois,17019005401,17,019,005401,1400000US17019005401,Census Tract 54.01; Champaign County; Illinois,4165,670,3708,535,2132,410,1376,515,0,12,60,63,0,12,81,143,59,60,0,12,59,60,457,298,217,261,95,89,0,12,0,12,0,12,144,191,1,2,1,2,0,12,
2022,B03002,Detailed Table,DT,1400000US17019005402,Census Tract 54.02; Champaign County; Illinois,17019005402,17,019,005402,1400000US17019005402,Census Tract 54.02; Champaign County; Illinois,3821,548,3312,540,2423,490,422,239,0,12,164,149,0,12,152,224,151,90,0,12,151,90,509,362,440,334,0,12,0,12,0,12,0,12,56,91,13,21,13,21,0,12,
2022,B03002,Detailed Table,DT,1400000US17019005500,Census Tract 55; Champaign County; Illinois,17019005500,17,019,005500,1400000US17019005500,Census Tract 55; Champaign County; Illinois,4682,586,4240,559,2971,602,606,390,0,12,350,230,0,12,0,12,313,221,81,63,232,216,442,241,201,191,0,12,21,35,0,12,0,12,31,40,189,141,140,113,49,75,
2022,B03002,Detailed Table,DT,1400000US17019005601,Census Tract 56.01; Champaign County; Illinois,17019005601,17,019,005601,1400000US17019005601,Census Tract 56.01; Champaign County; Illinois,5631,844,5148,870,3267,435,1179,624,0,17,510,301,0,17,0,17,192,138,0,17,192,138,483,315,302,289,32,48,4,10,0,17,0,17,49,45,96,102,83,86,13,39,
2022,B03002,Detailed Table,DT,1400000US17019005602,Census Tract 56.02; Champaign County; Illinois,17019005602,17,019,005602,1400000US17019005602,Census Tract 56.02; Champaign County; Illinois,2294,258,2148,253,1477,233,185,148,0,12,366,189,0,12,0,12,120,119,0,12,120,119,146,87,33,33,0,12,0,12,0,12,0,12,59,67,54,54,54,54,0,12,
2022,B03002,Detailed Table,DT,1400000US17019005701,Census Tract 57.01; Champaign County; Illinois,17019005701,17,019,005701,1400000US17019005701,Census Tract 57.01; Champaign County; Illinois,5105,598,4688,553,3379,499,831,249,0,17,324,199,0,17,12,22,142,96,24,29,118,84,417,243,295,208,5,10,0,17,0,17,0,17,105,94,12,21,12,21,0,17,
2022,B03002,Detailed Table,DT,1400000US17019005702,Census Tract 57.02; Champaign County; Illinois,17019005702,17,019,005702,1400000US17019005702,Census Tract 57.02; Champaign County; Illinois,1641,243,1631,242,1263,247,33,35,0,12,215,142,0,12,26,39,94,89,0,12,94,89,10,14,10,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,
