year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,Unnamed:_24
2022,B25070,Detailed Table,DT,1400000US17019005402,Census Tract 54.02; Champaign County; Illinois,17019005402,17,019,005402,1400000US17019005402,Census Tract 54.02; Champaign County; Illinois,487,182,13,21,90,81,62,53,201,125,15,18,41,57,0,12,36,44,11,17,18,21,
2022,B25070,Detailed Table,DT,1400000US17019005500,Census Tract 55; Champaign County; Illinois,17019005500,17,019,005500,1400000US17019005500,Census Tract 55; Champaign County; Illinois,1083,259,27,41,293,158,28,37,193,125,64,59,72,76,0,12,73,47,303,188,30,32,
2022,B25070,Detailed Table,DT,1400000US17019005601,Census Tract 56.01; Champaign County; Illinois,17019005601,17,019,005601,1400000US17019005601,Census Tract 56.01; Champaign County; Illinois,1226,262,23,38,141,125,205,130,144,108,178,115,80,76,27,35,104,83,324,154,0,17,
2022,B25070,Detailed Table,DT,1400000US17019005602,Census Tract 56.02; Champaign County; Illinois,17019005602,17,019,005602,1400000US17019005602,Census Tract 56.02; Champaign County; Illinois,870,121,57,46,72,47,64,46,45,41,138,117,123,59,9,15,56,67,170,91,136,104,
2022,B25070,Detailed Table,DT,1400000US17019005701,Census Tract 57.01; Champaign County; Illinois,17019005701,17,019,005701,1400000US17019005701,Census Tract 57.01; Champaign County; Illinois,1221,273,148,141,101,61,126,118,92,127,0,17,91,67,30,44,117,73,480,215,36,34,
2022,B25070,Detailed Table,DT,1400000US17019005702,Census Tract 57.02; Champaign County; Illinois,17019005702,17,019,005702,1400000US17019005702,Census Tract 57.02; Champaign County; Illinois,142,69,0,12,0,12,8,13,28,27,42,55,0,12,0,12,0,12,45,42,19,21,
2022,B25070,Detailed Table,DT,1400000US17019005800,Census Tract 58; Champaign County; Illinois,17019005800,17,019,005800,1400000US17019005800,Census Tract 58; Champaign County; Illinois,804,150,7,11,63,59,102,65,55,47,37,29,21,25,65,55,9,14,309,102,136,77,
2022,B25070,Detailed Table,DT,1400000US17019005901,Census Tract 59.01; Champaign County; Illinois,17019005901,17,019,005901,1400000US17019005901,Census Tract 59.01; Champaign County; Illinois,386,81,0,12,12,18,0,12,9,12,13,15,0,12,8,12,0,12,227,91,117,71,
2022,B25070,Detailed Table,DT,1400000US17019005902,Census Tract 59.02; Champaign County; Illinois,17019005902,17,019,005902,1400000US17019005902,Census Tract 59.02; Champaign County; Illinois,644,157,0,12,15,17,28,30,17,16,43,51,36,32,38,40,89,61,233,98,145,121,
2022,B25070,Detailed Table,DT,1400000US17019006000,Census Tract 60; Champaign County; Illinois,17019006000,17,019,006000,1400000US17019006000,Census Tract 60; Champaign County; Illinois,607,95,29,23,14,14,88,38,63,34,25,19,23,16,31,32,61,28,151,70,122,69,
2022,B25070,Detailed Table,DT,1400000US17019010100,Census Tract 101; Champaign County; Illinois,17019010100,17,019,010100,1400000US17019010100,Census Tract 101; Champaign County; Illinois,1008,255,39,64,83,69,387,230,52,54,66,69,150,223,57,63,0,12,174,108,0,12,
2022,B25070,Detailed Table,DT,1400000US17019010204,Census Tract 102.04; Champaign County; Illinois,17019010204,17,019,010204,1400000US17019010204,Census Tract 102.04; Champaign County; Illinois,545,201,12,21,218,186,19,30,34,37,48,56,37,32,55,46,31,39,87,72,4,6,
2022,B25070,Detailed Table,DT,1400000US17019010300,Census Tract 103; Champaign County; Illinois,17019010300,17,019,010300,1400000US17019010300,Census Tract 103; Champaign County; Illinois,955,152,34,56,64,59,55,45,38,42,120,105,161,123,105,69,126,88,182,101,70,109,
2022,B25070,Detailed Table,DT,1400000US17019010400,Census Tract 104; Champaign County; Illinois,17019010400,17,019,010400,1400000US17019010400,Census Tract 104; Champaign County; Illinois,308,59,28,19,43,24,23,12,40,25,14,10,23,21,14,10,21,14,32,16,70,33,
2022,B25070,Detailed Table,DT,1400000US17019010500,Census Tract 105; Champaign County; Illinois,17019010500,17,019,010500,1400000US17019010500,Census Tract 105; Champaign County; Illinois,190,76,0,12,64,44,14,14,0,12,40,34,3,6,5,7,8,10,8,7,48,41,
2022,B25070,Detailed Table,DT,1400000US17019010601,Census Tract 106.01; Champaign County; Illinois,17019010601,17,019,010601,1400000US17019010601,Census Tract 106.01; Champaign County; Illinois,203,94,12,18,29,32,77,71,17,23,0,17,5,9,0,17,18,29,45,42,0,17,
2022,B25070,Detailed Table,DT,1400000US17019010603,Census Tract 106.03; Champaign County; Illinois,17019010603,17,019,010603,1400000US17019010603,Census Tract 106.03; Champaign County; Illinois,513,181,35,41,37,34,7,10,50,52,122,112,11,18,22,35,92,103,115,88,22,33,
2022,B25070,Detailed Table,DT,1400000US17019010604,Census Tract 106.04; Champaign County; Illinois,17019010604,17,019,010604,1400000US17019010604,Census Tract 106.04; Champaign County; Illinois,292,98,2,8,14,21,95,60,28,36,36,44,13,16,14,17,0,12,47,46,43,57,
2022,B25070,Detailed Table,DT,1400000US17019010701,Census Tract 107.01; Champaign County; Illinois,17019010701,17,019,010701,1400000US17019010701,Census Tract 107.01; Champaign County; Illinois,213,106,0,12,0,12,25,28,71,58,38,59,48,47,0,12,0,12,13,22,18,29,
2022,B25070,Detailed Table,DT,1400000US17019010702,Census Tract 107.02; Champaign County; Illinois,17019010702,17,019,010702,1400000US17019010702,Census Tract 107.02; Champaign County; Illinois,195,109,8,9,4,6,16,13,74,94,0,12,4,6,21,27,2,3,44,55,22,14,
2022,B25070,Detailed Table,DT,1400000US17019010800,Census Tract 108; Champaign County; Illinois,17019010800,17,019,010800,1400000US17019010800,Census Tract 108; Champaign County; Illinois,207,67,3,7,15,12,36,40,18,14,14,8,6,6,15,12,7,6,59,41,34,19,
2022,B25070,Detailed Table,DT,1400000US17019010901,Census Tract 109.01; Champaign County; Illinois,17019010901,17,019,010901,1400000US17019010901,Census Tract 109.01; Champaign County; Illinois,579,194,20,29,43,46,20,20,111,94,3,6,25,40,115,104,42,70,182,125,18,25,
2022,B25070,Detailed Table,DT,1400000US17019010902,Census Tract 109.02; Champaign County; Illinois,17019010902,17,019,010902,1400000US17019010902,Census Tract 109.02; Champaign County; Illinois,327,143,6,7,22,17,35,54,12,17,51,55,142,120,0,12,6,7,30,32,23,24,
2022,B25070,Detailed Table,DT,1400000US17019011001,Census Tract 110.01; Champaign County; Illinois,17019011001,17,019,011001,1400000US17019011001,Census Tract 110.01; Champaign County; Illinois,984,205,45,40,231,179,163,104,153,95,98,66,34,38,11,18,27,30,205,112,17,21,
2022,B25070,Detailed Table,DT,1400000US17019011002,Census Tract 110.02; Champaign County; Illinois,17019011002,17,019,011002,1400000US17019011002,Census Tract 110.02; Champaign County; Illinois,612,156,116,82,83,78,32,40,32,34,74,67,73,44,94,71,70,50,38,35,0,12,
2022,B25070,Detailed Table,DT,1400000US17019011100,Census Tract 111; Champaign County; Illinois,17019011100,17,019,011100,1400000US17019011100,Census Tract 111; Champaign County; Illinois,988,150,29,34,9,15,96,61,51,37,88,73,73,56,80,52,66,41,420,141,76,52,
