2022,S1901,Subject Table,ST,1400000US17019001100,Census Tract 11; Champaign County; Illinois,17019001100,17,019,001100,1400000US17019001100,Census Tract 11; Champaign County; Illinois,1609,156,3.0,2.4,0.9,1.0,6.5,4.2,2.7,1.9,9.9,5.2,18.2,6.2,14.1,6.6,18.4,5.1,8.6,4.9,17.7,7.8,93456,15027,127590,22690,28.3,(X),(X),(X),(X),(X),1046,152,4.8,5.3,0.0,3.3,0.0,3.3,1.6,2.0,4.5,5.0,12.8,7.5,15.9,8.7,22.0,7.5,12.4,7.6,26.0,11.5,120870,26842,162290,34357,(X),(X),26.8,(X),(X),(X),846,134,1.1,1.7,0.0,4.0,0.0,4.0,2.0,2.4,2.2,2.4,10.6,6.0,12.1,6.5,24.5,7.8,15.4,9.1,32.2,12.8,139861,58268,N,N,(X),(X),(X),(X),(X),(X),563,77,6.9,6.5,2.5,2.8,18.5,11.6,4.8,3.6,12.8,8.5,28.2,12.8,10.8,7.7,11.7,6.1,1.6,2.9,2.1,2.5,51932,15320,59936,11384,(X),(X),(X),(X),31.1,(X),
2022,S1901,Subject Table,ST,1400000US17019001201,Census Tract 12.01; Champaign County; Illinois,17019001201,17,019,001201,1400000US17019001201,Census Tract 12.01; Champaign County; Illinois,3004,348,9.7,5.1,5.0,3.9,9.5,5.0,7.5,5.0,14.7,4.9,19.0,6.3,18.0,8.6,9.8,5.4,4.7,5.1,2.2,2.6,52813,11768,67399,12907,41.6,(X),(X),(X),(X),(X),1906,350,3.7,4.1,3.4,3.6,8.3,6.3,10.2,7.7,17.8,9.4,16.9,7.9,19.4,11.4,10.9,6.7,5.9,7.8,3.5,4.1,61867,19468,78166,17580,(X),(X),48.0,(X),(X),(X),1199,327,0.0,2.9,0.0,2.9,8.6,8.3,1.7,3.6,16.5,12.3,17.9,11.0,29.7,16.8,10.7,8.4,9.3,11.9,5.6,6.6,80840,19983,N,N,(X),(X),(X),(X),(X),(X),1098,267,20.0,11.0,7.7,8.7,11.5,8.9,2.8,3.3,15.2,9.2,17.9,7.9,14.2,10.6,8.0,8.6,2.6,3.1,0.0,3.1,45372,17354,47943,9676,(X),(X),(X),(X),29.2,(X),
2022,S1901,Subject Table,ST,1400000US17019001203,Census Tract 12.03; Champaign County; Illinois,17019001203,17,019,001203,1400000US17019001203,Census Tract 12.03; Champaign County; Illinois,1870,189,0.5,0.8,0.0,1.9,1.4,1.6,8.6,4.2,7.5,3.0,24.9,7.5,19.4,5.4,24.7,6.4,5.3,3.8,7.8,3.1,86364,7777,102117,8489,28.9,(X),(X),(X),(X),(X),1180,156,0.8,1.2,0.0,2.9,1.5,2.1,1.3,1.3,9.2,5.2,19.5,7.7,19.1,7.4,32.9,9.3,7.6,5.8,8.2,4.0,97298,10690,112007,10967,(X),(X),30.4,(X),(X),(X),993,153,0.9,1.4,0.0,3.5,1.8,2.4,0.7,1.1,4.6,4.0,15.3,7.4,20.8,8.4,37.0,10.9,9.1,7.0,9.8,4.7,104904,14909,N,N,(X),(X),(X),(X),(X),(X),690,178,0.0,4.9,0.0,4.9,1.3,2.0,21.0,11.0,9.0,5.7,32.9,14.3,16.8,9.0,10.6,6.6,1.3,2.0,7.1,7.0,70521,21787,83444,17865,(X),(X),(X),(X),23.2,(X),
2022,S1901,Subject Table,ST,1400000US17019001204,Census Tract 12.04; Champaign County; Illinois,17019001204,17,019,001204,1400000US17019001204,Census Tract 12.04; Champaign County; Illinois,1441,188,6.5,6.2,0.5,0.9,2.2,2.9,1.8,2.2,3.8,3.2,7.6,4.2,8.4,4.0,28.7,8.5,16.0,6.0,24.5,7.9,135490,11191,156499,22919,22.7,(X),(X),(X),(X),(X),1055,152,1.5,2.6,0.0,3.3,0.7,1.1,0.0,3.3,3.1,3.9,6.7,5.3,9.1,4.6,24.3,9.0,21.1,7.7,33.5,10.4,152165,19550,186566,26071,(X),(X),20.8,(X),(X),(X),959,145,1.7,2.8,0.0,3.6,0.0,3.6,0.0,3.6,3.4,4.3,2.7,2.5,7.3,4.3,25.5,9.5,23.3,8.3,36.1,11.2,163510,25480,N,N,(X),(X),(X),(X),(X),(X),386,121,20.2,20.9,1.8,3.3,6.5,10.6,6.7,8.6,5.7,6.6,9.8,9.3,6.5,6.3,40.9,21.0,1.8,3.0,0.0,8.7,73929,59708,74322,27089,(X),(X),(X),(X),28.0,(X),
2022,S1901,Subject Table,ST,1400000US17019001205,Census Tract 12.05; Champaign County; Illinois,17019001205,17,019,001205,1400000US17019001205,Census Tract 12.05; Champaign County; Illinois,3220,365,9.6,5.1,2.5,2.6,6.1,5.6,2.0,1.6,7.0,3.9,15.0,6.5,9.7,4.6,15.9,5.5,10.4,4.9,21.8,5.8,92903,30644,140010,20384,39.7,(X),(X),(X),(X),(X),2145,313,3.5,4.3,1.7,2.5,3.7,3.6,1.1,1.7,5.1,4.5,12.4,8.6,9.0,5.2,18.6,8.0,12.7,6.1,32.1,8.4,132315,21778,181555,27360,(X),(X),38.4,(X),(X),(X),1955,330,1.3,2.1,1.8,2.7,3.1,3.7,0.0,1.8,3.1,4.5,11.2,9.3,9.9,5.7,20.4,8.8,13.9,6.7,35.2,9.0,145074,38957,N,N,(X),(X),(X),(X),(X),(X),1075,333,21.8,11.2,4.3,6.2,13.0,14.9,3.7,3.7,12.3,8.3,20.2,9.8,7.0,6.6,10.6,7.5,5.9,9.2,1.3,2.2,45170,21821,54620,18125,(X),(X),(X),(X),42.3,(X),
2022,S1901,Subject Table,ST,1400000US17019001206,Census Tract 12.06; Champaign County; Illinois,17019001206,17,019,001206,1400000US17019001206,Census Tract 12.06; Champaign County; Illinois,824,137,5.3,5.8,1.9,1.9,2.7,2.2,14.1,8.9,2.4,1.9,10.9,6.2,9.5,5.8,20.3,5.8,11.5,4.7,21.4,5.1,104545,16967,139743,20740,29.7,(X),(X),(X),(X),(X),530,118,0.0,6.4,1.9,2.4,0.8,1.3,8.9,11.0,1.5,1.9,6.8,4.3,14.7,9.1,19.6,7.1,17.0,6.5,28.9,7.6,133611,28174,173006,27139,(X),(X),34.7,(X),(X),(X),462,114,0.0,7.3,0.0,7.3,0.9,1.4,10.2,12.4,1.7,2.1,5.4,4.3,13.0,9.9,17.5,8.1,19.5,7.4,31.8,8.6,155833,40528,N,N,(X),(X),(X),(X),(X),(X),294,79,15.0,15.5,2.0,3.2,6.1,5.9,23.5,16.6,4.1,4.2,19.4,16.1,2.0,2.5,20.4,10.4,1.7,2.4,5.8,4.7,47500,41747,74091,20514,(X),(X),(X),(X),19.4,(X),
2022,S1901,Subject Table,ST,1400000US17019001301,Census Tract 13.01; Champaign County; Illinois,17019001301,17,019,001301,1400000US17019001301,Census Tract 13.01; Champaign County; Illinois,2577,275,2.6,2.6,0.0,1.3,4.3,2.7,10.0,5.4,13.1,6.4,19.8,6.2,13.7,6.2,15.8,6.2,9.7,5.1,11.1,4.6,75140,8049,97600,9633,22.8,(X),(X),(X),(X),(X),1601,250,2.4,2.4,0.0,2.2,3.4,4.4,4.7,3.8,8.9,9.7,14.6,6.2,14.9,9.0,21.5,9.6,14.6,8.2,14.9,6.9,102431,25039,117753,14567,(X),(X),24.9,(X),(X),(X),1327,227,1.1,1.8,0.0,2.6,0.9,1.6,0.0,2.6,6.0,7.4,15.3,7.4,17.2,10.3,24.0,11.2,17.6,9.9,18.0,8.6,118631,16355,N,N,(X),(X),(X),(X),(X),(X),976,206,4.0,5.3,0.0,3.5,8.9,6.4,14.4,9.4,19.9,10.1,28.4,12.1,11.7,6.2,6.4,4.4,1.6,2.6,4.7,4.0,53864,15413,64053,10549,(X),(X),(X),(X),19.3,(X),
2022,S1901,Subject Table,ST,1400000US17019001302,Census Tract 13.02; Champaign County; Illinois,17019001302,17,019,001302,1400000US17019001302,Census Tract 13.02; Champaign County; Illinois,2036,206,2.2,2.1,1.0,1.1,3.2,2.4,3.2,2.6,5.5,3.2,19.5,7.4,11.5,9.4,20.9,5.5,12.2,5.6,20.7,6.5,109939,17885,136933,17280,28.6,(X),(X),(X),(X),(X),945,159,1.9,3.0,1.2,1.8,2.0,2.9,1.4,2.3,1.6,2.7,5.4,4.6,5.8,4.3,23.1,8.8,16.8,9.2,40.8,10.1,170993,36943,191065,26112,(X),(X),24.2,(X),(X),(X),832,147,2.2,3.4,1.3,2.1,0.0,4.1,0.0,4.1,0.0,4.1,5.4,4.8,4.6,3.6,24.0,9.7,19.1,10.1,43.4,10.1,176058,35884,N,N,(X),(X),(X),(X),(X),(X),1091,234,2.5,3.0,0.8,1.4,4.3,3.7,4.9,5.4,8.8,5.6,31.7,13.6,16.5,16.4,19.0,8.6,8.2,7.5,3.3,3.5,71964,18703,90045,14289,(X),(X),(X),(X),32.4,(X),
2022,S1901,Subject Table,ST,1400000US17019001400,Census Tract 14; Champaign County; Illinois,17019001400,17,019,001400,1400000US17019001400,Census Tract 14; Champaign County; Illinois,1585,155,2.9,2.3,1.3,1.4,6.7,3.5,8.2,3.5,9.1,3.9,22.8,7.2,6.5,3.3,16.7,4.0,16.2,5.5,9.7,4.5,67656,27088,102752,10588,30.7,(X),(X),(X),(X),(X),982,121,0.0,3.5,0.0,3.5,3.2,3.0,9.4,5.1,5.6,3.9,19.5,7.4,4.9,3.7,24.4,5.7,21.1,7.1,12.0,5.8,120795,15763,123946,13002,(X),(X),17.8,(X),(X),(X),848,133,0.0,4.0,0.0,4.0,3.7,3.3,7.5,4.5,6.5,4.5,13.4,9.0,4.8,3.9,27.9,6.5,22.2,7.9,13.9,6.9,126696,13204,N,N,(X),(X),(X),(X),(X),(X),603,120,7.6,6.1,3.3,3.6,12.4,9.2,6.3,4.7,14.9,8.8,28.4,13.9,9.1,6.2,4.0,4.7,11.3,9.0,2.7,4.1,53125,7825,65331,14733,(X),(X),(X),(X),51.7,(X),
2022,S1901,Subject Table,ST,1400000US17019005300,Census Tract 53; Champaign County; Illinois,17019005300,17,019,005300,1400000US17019005300,Census Tract 53; Champaign County; Illinois,2312,320,28.2,9.1,5.1,5.6,14.0,6.9,21.8,8.9,10.5,6.6,16.2,7.5,2.1,2.1,2.2,2.6,0.0,1.5,0.0,1.5,25759,2868,29611,4481,27.3,(X),(X),(X),(X),(X),540,161,4.1,6.0,0.0,6.3,28.7,16.5,16.5,15.2,8.5,12.2,35.7,19.3,6.5,10.1,0.0,6.3,0.0,6.3,0.0,6.3,40217,26387,41894,9334,(X),(X),34.8,(X),(X),(X),92,76,0.0,30.6,0.0,30.6,15.2,27.5,13.0,23.5,0.0,30.6,71.7,38.6,0.0,30.6,0.0,30.6,0.0,30.6,0.0,30.6,51000,18527,N,N,(X),(X),(X),(X),(X),(X),1772,305,35.5,11.7,6.6,7.3,10.3,6.8,23.7,10.1,10.6,7.8,9.7,6.9,2.8,2.7,0.9,1.4,0.0,2.0,0.0,2.0,23433,10051,24580,5304,(X),(X),(X),(X),25.0,(X),
