year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,B19013_001E,B19013_001M,Unnamed:_4
2022,B19013,Detailed Table,DT,1400000US17019010204,Census Tract 102.04; Champaign County; Illinois,17019010204,17,019,010204,1400000US17019010204,Census Tract 102.04; Champaign County; Illinois,49167,8946,
2022,B19013,Detailed Table,DT,1400000US17019010300,Census Tract 103; Champaign County; Illinois,17019010300,17,019,010300,1400000US17019010300,Census Tract 103; Champaign County; Illinois,38498,2132,
2022,B19013,Detailed Table,DT,1400000US17019010400,Census Tract 104; Champaign County; Illinois,17019010400,17,019,010400,1400000US17019010400,Census Tract 104; Champaign County; Illinois,78611,9040,
2022,B19013,Detailed Table,DT,1400000US17019010500,Census Tract 105; Champaign County; Illinois,17019010500,17,019,010500,1400000US17019010500,Census Tract 105; Champaign County; Illinois,106830,17385,
2022,B19013,Detailed Table,DT,1400000US17019010601,Census Tract 106.01; Champaign County; Illinois,17019010601,17,019,010601,1400000US17019010601,Census Tract 106.01; Champaign County; Illinois,114125,10075,
2022,B19013,Detailed Table,DT,1400000US17019010603,Census Tract 106.03; Champaign County; Illinois,17019010603,17,019,010603,1400000US17019010603,Census Tract 106.03; Champaign County; Illinois,109388,16762,
2022,B19013,Detailed Table,DT,1400000US17019010604,Census Tract 106.04; Champaign County; Illinois,17019010604,17,019,010604,1400000US17019010604,Census Tract 106.04; Champaign County; Illinois,110296,30364,
2022,B19013,Detailed Table,DT,1400000US17019010701,Census Tract 107.01; Champaign County; Illinois,17019010701,17,019,010701,1400000US17019010701,Census Tract 107.01; Champaign County; Illinois,100054,17322,
2022,B19013,Detailed Table,DT,1400000US17019010702,Census Tract 107.02; Champaign County; Illinois,17019010702,17,019,010702,1400000US17019010702,Census Tract 107.02; Champaign County; Illinois,103008,10164,
2022,B19013,Detailed Table,DT,1400000US17019010800,Census Tract 108; Champaign County; Illinois,17019010800,17,019,010800,1400000US17019010800,Census Tract 108; Champaign County; Illinois,93533,7828,
2022,B19013,Detailed Table,DT,1400000US17019010901,Census Tract 109.01; Champaign County; Illinois,17019010901,17,019,010901,1400000US17019010901,Census Tract 109.01; Champaign County; Illinois,99674,26340,
2022,B19013,Detailed Table,DT,1400000US17019010902,Census Tract 109.02; Champaign County; Illinois,17019010902,17,019,010902,1400000US17019010902,Census Tract 109.02; Champaign County; Illinois,85000,25095,
2022,B19013,Detailed Table,DT,1400000US17019011001,Census Tract 110.01; Champaign County; Illinois,17019011001,17,019,011001,1400000US17019011001,Census Tract 110.01; Champaign County; Illinois,53750,15337,
2022,B19013,Detailed Table,DT,1400000US17019011002,Census Tract 110.02; Champaign County; Illinois,17019011002,17,019,011002,1400000US17019011002,Census Tract 110.02; Champaign County; Illinois,96523,19021,
2022,B19013,Detailed Table,DT,1400000US17019011100,Census Tract 111; Champaign County; Illinois,17019011100,17,019,011100,1400000US17019011100,Census Tract 111; Champaign County; Illinois,27747,6234,
