year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,tract_number,tract_name_canonical,median_household_income,rank_group,metric,poverty_rate,unemployment_rate,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_hh_income_under_25k,pct_bachelors_or_higher,pct_age_18_24,pct_family_households
2019,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,53,Census Tract 53,,top_10,poverty_rate,49.6,,,,,,,
2019,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,2,Census Tract 2,,top_10,poverty_rate,43.2,,,,,,,
2019,17019006000,Census Tract 60 — Student-dense area,,61802.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,60,Census Tract 60,,top_10,poverty_rate,41.8,,,,,,,
2019,17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,5,Census Tract 5,,top_10,poverty_rate,29.3,,,,,,,
2019,17019001100,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,11,Census Tract 11,,bottom_10,unemployment_rate,,0.5,,,,,,
2019,17019001206,Census Tract 12.06 — Senior-heavy residential area,,61822.0,Older age profile.,12.06,Census Tract 12.06,,bottom_10,unemployment_rate,,1.1,,,,,,
2019,17019005702,Census Tract 57.02 — Senior-heavy residential area,,61802.0,Older age profile.,57.02,Census Tract 57.02,,bottom_10,unemployment_rate,,1.5,,,,,,
2019,17019010700,,,,,107,Census Tract 107,,bottom_10,unemployment_rate,,1.9,,,,,,
2019,17019010603,Mahomet — Family-oriented residential area,Mahomet,61853.0,More households with children.,106.03,Census Tract 106.03,,bottom_10,unemployment_rate,,2.0,,,,,,
2019,17019001000,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,10,Census Tract 10,,bottom_10,unemployment_rate,,2.2,,,,,,
2019,17019001400,Census Tract 14 — Family-oriented residential area,,61874.0,Higher student concentration; more households with children.,14,Census Tract 14,,bottom_10,unemployment_rate,,2.3,,,,,,
2019,17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.02,Census Tract 3.02,,bottom_10,unemployment_rate,,2.4,,,,,,
2019,17019001205,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,12.05,Census Tract 12.05,,bottom_10,unemployment_rate,,2.4,,,,,,
2019,17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,8,Census Tract 8,,bottom_10,unemployment_rate,,2.6,,,,,,
2019,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,2,Census Tract 2,,top_10,unemployment_rate,,12.2,,,,,,
2019,17019011100,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,111,Census Tract 111,,top_10,unemployment_rate,,11.9,,,,,,
2019,17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,7,Census Tract 7,,top_10,unemployment_rate,,10.3,,,,,,
2019,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,9.01,Census Tract 9.01,,top_10,unemployment_rate,,10.3,,,,,,
2019,17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,12.01,Census Tract 12.01,,top_10,unemployment_rate,,9.5,,,,,,
2019,17019005401,Census Tract 54.01 — Mixed residential area,,61802.0,Renter-heavy housing profile; more very-low-income households.,54.01,Census Tract 54.01,,top_10,unemployment_rate,,8.6,,,,,,
2019,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,53,Census Tract 53,,top_10,unemployment_rate,,8.0,,,,,,
2019,17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.02,Census Tract 4.02,,top_10,unemployment_rate,,7.7,,,,,,
2019,17019005402,Census Tract 54.02 — Senior-heavy residential area,,61802.0,Older age profile.,54.02,Census Tract 54.02,,top_10,unemployment_rate,,7.5,,,,,,
2019,17019005600,,,,,56,Census Tract 56,,top_10,unemployment_rate,,7.4,,,,,,
2019,17019010601,Census Tract 106.01 — Family-oriented residential area,,61853.0,More households with children.,106.01,Census Tract 106.01,,bottom_10,pct_rent_burden_30_plus,,,23.46,,,,,
2019,17019001203,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,12.03,Census Tract 12.03,,bottom_10,pct_rent_burden_30_plus,,,25.92,,,,,
2019,17019010500,Fisher — Family-oriented residential area,Fisher,61843.0,More households with children; older age profile.,105,Census Tract 105,,bottom_10,pct_rent_burden_30_plus,,,29.05,,,,,
2019,17019001301,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,13.01,Census Tract 13.01,,bottom_10,pct_rent_burden_30_plus,,,29.76,,,,,
2019,17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,8,Census Tract 8,,bottom_10,pct_rent_burden_30_plus,,,30.32,,,,,
2019,17019010400,Census Tract 104 — Senior-heavy residential area,,61866.0,Older age profile.,104,Census Tract 104,,bottom_10,pct_rent_burden_30_plus,,,31.45,,,,,
2019,17019010900,,,,,109,Census Tract 109,,bottom_10,pct_rent_burden_30_plus,,,33.59,,,,,
2019,17019001204,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children; older age profile.,12.04,Census Tract 12.04,,bottom_10,pct_rent_burden_30_plus,,,34.4,,,,,
2019,17019010800,Census Tract 108 — Senior-heavy residential area,,61877.0,More households with children; older age profile.,108,Census Tract 108,,bottom_10,pct_rent_burden_30_plus,,,34.95,,,,,
2019,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,53,Census Tract 53,,bottom_10,pct_rent_burden_30_plus,,,35.42,,,,,
2019,17019005900,,,,,59,Census Tract 59,,top_10,pct_rent_burden_30_plus,,,66.73,,,,,
2019,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.01,Census Tract 3.01,,top_10,pct_rent_burden_30_plus,,,62.82,,,,,
2019,17019001302,Savoy — Senior-heavy residential area,Savoy,61822.0,Older age profile.,13.02,Census Tract 13.02,,top_10,pct_rent_burden_30_plus,,,62.7,,,,,
2019,17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.02,Census Tract 4.02,,top_10,pct_rent_burden_30_plus,,,61.32,,,,,
2019,17019001400,Census Tract 14 — Family-oriented residential area,,61874.0,Higher student concentration; more households with children.,14,Census Tract 14,,top_10,pct_rent_burden_30_plus,,,57.95,,,,,
2019,17019001206,Census Tract 12.06 — Senior-heavy residential area,,61822.0,Older age profile.,12.06,Census Tract 12.06,,top_10,pct_rent_burden_30_plus,,,57.01,,,,,
2019,17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,5,Census Tract 5,,top_10,pct_rent_burden_30_plus,,,56.33,,,,,
2019,17019005701,Urbana — Senior-heavy residential area,Urbana,61801.0,Older age profile.,57.01,Census Tract 57.01,,top_10,pct_rent_burden_30_plus,,,55.05,,,,,
2019,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,2,Census Tract 2,,top_10,pct_rent_burden_30_plus,,,54.91,,,,,
2019,17019010100,Census Tract 101 — Mixed residential area,,61866.0,General tract context note not flagged by the current rule set.,101,Census Tract 101,,top_10,pct_rent_burden_30_plus,,,54.63,,,,,
2019,17019001204,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children; older age profile.,12.04,Census Tract 12.04,,bottom_10,pct_rent_burden_50_plus,,,,3.55,,,,
2019,17019010500,Fisher — Family-oriented residential area,Fisher,61843.0,More households with children; older age profile.,105,Census Tract 105,,bottom_10,pct_rent_burden_50_plus,,,,7.14,,,,
2019,17019010601,Census Tract 106.01 — Family-oriented residential area,,61853.0,More households with children.,106.01,Census Tract 106.01,,bottom_10,pct_rent_burden_50_plus,,,,8.64,,,,
2019,17019010800,Census Tract 108 — Senior-heavy residential area,,61877.0,More households with children; older age profile.,108,Census Tract 108,,bottom_10,pct_rent_burden_50_plus,,,,8.74,,,,
2019,17019001203,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,12.03,Census Tract 12.03,,bottom_10,pct_rent_burden_50_plus,,,,9.39,,,,
2019,17019001301,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,13.01,Census Tract 13.01,,bottom_10,pct_rent_burden_50_plus,,,,10.72,,,,
2019,17019001000,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,10,Census Tract 10,,bottom_10,pct_rent_burden_50_plus,,,,11.83,,,,
2019,17019010400,Census Tract 104 — Senior-heavy residential area,,61866.0,Older age profile.,104,Census Tract 104,,bottom_10,pct_rent_burden_50_plus,,,,12.29,,,,
2019,17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,8,Census Tract 8,,bottom_10,pct_rent_burden_50_plus,,,,12.82,,,,
2019,17019000902,Census Tract 9.02 — Family-oriented residential area,,61822.0,More households with children.,9.02,Census Tract 9.02,,bottom_10,pct_rent_burden_50_plus,,,,13.25,,,,
2019,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.01,Census Tract 3.01,,top_10,pct_rent_burden_50_plus,,,,56.3,,,,
2019,17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.02,Census Tract 4.02,,top_10,pct_rent_burden_50_plus,,,,52.29,,,,
2019,17019005900,,,,,59,Census Tract 59,,top_10,pct_rent_burden_50_plus,,,,48.27,,,,
2019,17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.01,Census Tract 4.01,,top_10,pct_rent_burden_50_plus,,,,47.92,,,,
2019,17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.02,Census Tract 3.02,,top_10,pct_rent_burden_50_plus,,,,39.41,,,,
2019,17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,5,Census Tract 5,,top_10,pct_rent_burden_50_plus,,,,36.55,,,,
2019,17019005600,,,,,56,Census Tract 56,,top_10,pct_rent_burden_50_plus,,,,34.72,,,,
2019,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,2,Census Tract 2,,top_10,pct_rent_burden_50_plus,,,,32.94,,,,
2019,17019001206,Census Tract 12.06 — Senior-heavy residential area,,61822.0,Older age profile.,12.06,Census Tract 12.06,,top_10,pct_rent_burden_50_plus,,,,32.71,,,,
2019,17019010700,,,,,107,Census Tract 107,,top_10,pct_rent_burden_50_plus,,,,31.49,,,,
2019,17019010601,Census Tract 106.01 — Family-oriented residential area,,61853.0,More households with children.,106.01,Census Tract 106.01,,bottom_10,pct_hh_income_under_25k,,,,,4.6,,,
2019,17019001204,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children; older age profile.,12.04,Census Tract 12.04,,bottom_10,pct_hh_income_under_25k,,,,,5.9,,,
2019,17019001203,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,12.03,Census Tract 12.03,,bottom_10,pct_hh_income_under_25k,,,,,6.6,,,
2019,17019001206,Census Tract 12.06 — Senior-heavy residential area,,61822.0,Older age profile.,12.06,Census Tract 12.06,,bottom_10,pct_hh_income_under_25k,,,,,7.8,,,
2019,17019010500,Fisher — Family-oriented residential area,Fisher,61843.0,More households with children; older age profile.,105,Census Tract 105,,bottom_10,pct_hh_income_under_25k,,,,,9.5,,,
2019,17019010603,Mahomet — Family-oriented residential area,Mahomet,61853.0,More households with children.,106.03,Census Tract 106.03,,bottom_10,pct_hh_income_under_25k,,,,,12.5,,,
2019,17019010400,Census Tract 104 — Senior-heavy residential area,,61866.0,Older age profile.,104,Census Tract 104,,bottom_10,pct_hh_income_under_25k,,,,,12.8,,,
2019,17019001100,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,11,Census Tract 11,,bottom_10,pct_hh_income_under_25k,,,,,12.8,,,
2019,17019000902,Census Tract 9.02 — Family-oriented residential area,,61822.0,More households with children.,9.02,Census Tract 9.02,,bottom_10,pct_hh_income_under_25k,,,,,12.9,,,
