"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"0100000US","United States","44238593","153702","1724900","14472","3681553","23378","5197343","24048","5261967","26214","4754176","22669","3760574","21928","2750710","18107","3735036","24838","10301618","47126","3070716","18951",
"0500000US17019","Champaign County, Illinois","38313","1148","1310","258","3242","507","4249","570","4342","519","3420","594","2666","472","1984","416","2946","546","10260","784","3894","596",
"1400000US17019010500","Census Tract 105; Champaign County; Illinois","190","76","0","12","64","44","14","14","0","12","40","34","3","6","5","7","8","10","8","7","48","41",
"1400000US17019010601","Census Tract 106.01; Champaign County; Illinois","203","94","12","18","29","32","77","71","17","23","0","17","5","9","0","17","18","29","45","42","0","17",
"1400000US17019010603","Census Tract 106.03; Champaign County; Illinois","513","181","35","41","37","34","7","10","50","52","122","112","11","18","22","35","92","103","115","88","22","33",
"1400000US17019010604","Census Tract 106.04; Champaign County; Illinois","292","98","2","8","14","21","95","60","28","36","36","44","13","16","14","17","0","12","47","46","43","57",
"1400000US17019010701","Census Tract 107.01; Champaign County; Illinois","213","106","0","12","0","12","25","28","71","58","38","59","48","47","0","12","0","12","13","22","18","29",
"1400000US17019010702","Census Tract 107.02; Champaign County; Illinois","195","109","8","9","4","6","16","13","74","94","0","12","4","6","21","27","2","3","44","55","22","14",
"1400000US17019010800","Census Tract 108; Champaign County; Illinois","207","67","3","7","15","12","36","40","18","14","14","8","6","6","15","12","7","6","59","41","34","19",
"1400000US17019010901","Census Tract 109.01; Champaign County; Illinois","579","194","20","29","43","46","20","20","111","94","3","6","25","40","115","104","42","70","182","125","18","25",
"1400000US17019010902","Census Tract 109.02; Champaign County; Illinois","327","143","6","7","22","17","35","54","12","17","51","55","142","120","0","12","6","7","30","32","23","24",
"1400000US17019011001","Census Tract 110.01; Champaign County; Illinois","984","205","45","40","231","179","163","104","153","95","98","66","34","38","11","18","27","30","205","112","17","21",
"1400000US17019011002","Census Tract 110.02; Champaign County; Illinois","612","156","116","82","83","78","32","40","32","34","74","67","73","44","94","71","70","50","38","35","0","12",
"1400000US17019011100","Census Tract 111; Champaign County; Illinois","988","150","29","34","9","15","96","61","51","37","88","73","73","56","80","52","66","41","420","141","76","52",
