"Column Name","Label"
"S1601_C01_010E","Total!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish or Spanish Creole!!18-64 years"
"S1601_C01_010M","Total!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish or Spanish Creole!!18-64 years"
"S1601_C02_010E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish or Spanish Creole!!18-64 years"
"S1601_C02_010M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish or Spanish Creole!!18-64 years"
"S1601_C03_010E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish or Spanish Creole!!18-64 years"
"S1601_C03_010M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish or Spanish Creole!!18-64 years"
"S1601_C01_011E","Total!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish or Spanish Creole!!65 years and over"
"S1601_C01_011M","Total!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish or Spanish Creole!!65 years and over"
"S1601_C02_011E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish or Spanish Creole!!65 years and over"
"S1601_C02_011M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish or Spanish Creole!!65 years and over"
"S1601_C03_011E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish or Spanish Creole!!65 years and over"
"S1601_C03_011M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish or Spanish Creole!!65 years and over"
"S1601_C01_012E","Total!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages"
"S1601_C01_012M","Total!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages"
"S1601_C02_012E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages"
"S1601_C02_012M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages"
"S1601_C03_012E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages"
"S1601_C03_012M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages"
"S1601_C01_013E","Total!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!5-17 years"
"S1601_C01_013M","Total!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!5-17 years"
"S1601_C02_013E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!5-17 years"
"S1601_C02_013M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!5-17 years"
