year,tract_geoid,display_area_label,cluster_id,pc1,pc2
2019,17019000200,Champaign — Higher economic stress area,0,2.082170094653323,-3.58866675230806
2019,17019000301,Champaign — Student-dense area,1,6.730146847558761,0.41241974375688867
2019,17019000302,Champaign — Student-dense area,1,6.128178327533347,0.23309006092822254
2019,17019000401,Champaign — Student-dense area,1,6.78932859332991,0.5290482307286972
2019,17019000402,Champaign — Student-dense area,1,7.473712393228958,2.033368636104119
2019,17019000500,Champaign — Mixed residential area,0,1.4800373270685383,1.0315831326853129
2019,17019000700,Champaign — Mixed residential area,0,0.5806970256639886,-4.355904856537848
2019,17019000800,Champaign — Mixed residential area,0,-0.8122574040435219,-0.5843104561865523
2019,17019000901,Champaign — Family-oriented residential area,0,-0.07353329951653609,-3.781971865826988
2019,17019000902,Census Tract 9.02 — Family-oriented residential area,0,-2.0262442332126827,-0.6366789399859837
2019,17019001000,Champaign — Mixed residential area,0,-0.6944169934522809,0.4301643724222776
2019,17019001100,Champaign — Senior-heavy residential area,0,-2.5731922162375302,1.09074873918473
2019,17019001201,Champaign — Mixed residential area,0,-0.46204554475390514,-2.2775409381660348
2019,17019001203,Champaign — Senior-heavy residential area,0,-3.1148262283264967,0.6628590847278698
2019,17019001204,Champaign — Family-oriented residential area,0,-4.706873354475647,1.9202672260874307
2019,17019001205,Champaign — Family-oriented residential area,0,-2.185567789112471,2.26173044190844
2019,17019001206,Census Tract 12.06 — Senior-heavy residential area,0,-3.08730784900643,3.3929137012946704
2019,17019001301,Champaign — Senior-heavy residential area,0,-2.101314904672172,1.5423543743993873
2019,17019001302,Savoy — Senior-heavy residential area,0,-2.3351418697175585,2.2343155578077916
2019,17019001400,Census Tract 14 — Family-oriented residential area,0,0.07874430969949935,1.83228132272227
2019,17019005300,Urbana — Student-dense area,1,3.3668792933388136,-1.4322796729704317
2019,17019005401,Census Tract 54.01 — Mixed residential area,0,1.516207502762365,-2.0500092427958867
2019,17019005402,Census Tract 54.02 — Senior-heavy residential area,0,-1.3878103061811984,-2.5830371158173446
2019,17019005500,Urbana — Senior-heavy residential area,0,-0.8873141376886984,-1.1024131135961757
2019,17019005600,,0,-0.5653668621005876,-0.10738973421957627
2019,17019005701,Urbana — Senior-heavy residential area,0,-0.08964969650548338,0.9677433620581286
2019,17019005702,Census Tract 57.02 — Senior-heavy residential area,0,-0.5754307292393039,2.3921605305541846
2019,17019005800,Urbana — Higher economic stress area,0,0.9069243265568636,2.2872709037094463
2019,17019005900,,1,7.0316548003509105,2.3913825866722838
2019,17019006000,Census Tract 60 — Student-dense area,1,4.721572863505754,1.8970621048884795
2019,17019010100,Census Tract 101 — Mixed residential area,0,-0.4566227519891267,-2.4301567183491564
2019,17019010204,Rantoul — Mixed residential area,0,-1.475303860840128,-2.8949872085375756
2019,17019010300,Rantoul — Family-oriented residential area,0,-0.06796778039730682,-3.040191646158268
2019,17019010400,Census Tract 104 — Senior-heavy residential area,0,-2.948416263089744,-0.9683383598314524
2019,17019010500,Fisher — Family-oriented residential area,0,-3.840447611897903,0.11225441578730913
2019,17019010601,Census Tract 106.01 — Family-oriented residential area,0,-4.458098063309243,1.1061290765955258
2019,17019010603,Mahomet — Family-oriented residential area,0,-3.0697701633852588,0.822224092453898
2019,17019010604,Census Tract 106.04 — Senior-heavy residential area,0,-2.1018967399470077,-0.22179321579780026
2019,17019010700,,0,-3.388407723212328,1.1018603521237063
2019,17019010800,Census Tract 108 — Senior-heavy residential area,0,-3.3591906287166804,-0.7814878758021724
2019,17019010900,,0,-2.817144792531835,0.21163847998064908
2019,17019011000,,0,1.9592986320424939,0.6226833498545747
2019,17019011100,Urbana — Student-dense area,1,4.816007460265536,-0.6823961665489868
2021,17019000200,Champaign — Higher economic stress area,0,1.2773290275240452,-2.883671903325665
2021,17019000301,Champaign — Student-dense area,1,6.743785644866735,0.3796517796416404
2021,17019000302,Champaign — Student-dense area,1,6.505515899711163,0.2953743660582773
2021,17019000401,Champaign — Student-dense area,1,7.00402812966686,0.3591428726971515
2021,17019000402,Champaign — Student-dense area,1,7.6432259851386615,1.8541134349412878
2021,17019000500,Champaign — Mixed residential area,0,0.6253284890759302,1.7809870443325533
2021,17019000700,Champaign — Mixed residential area,0,0.02650265662266381,-4.116943582911591
2021,17019000800,Champaign — Mixed residential area,0,-0.9667009739166346,-0.09933636774597507
2021,17019000901,Champaign — Family-oriented residential area,0,-0.0894751322107127,-3.794394211180228
2021,17019000902,Census Tract 9.02 — Family-oriented residential area,0,-2.26382568682956,-1.0557322111327845
2021,17019001000,Champaign — Mixed residential area,0,-0.25523523723720043,0.4698767607932589
2021,17019001100,Champaign — Senior-heavy residential area,0,-2.186450250596913,1.5914829310438634
2021,17019001201,Champaign — Mixed residential area,0,-1.1286093393787773,-2.038849209718179
2021,17019001203,Champaign — Senior-heavy residential area,0,-2.904267447610526,0.1575878727038049
2021,17019001204,Champaign — Family-oriented residential area,0,-4.029012328708021,2.352790440706009
2021,17019001205,Champaign — Family-oriented residential area,0,-1.0032775347296214,1.5147020781373355
2021,17019001206,Census Tract 12.06 — Senior-heavy residential area,0,-2.650383328507536,2.5442400148037705
2021,17019001301,Champaign — Senior-heavy residential area,0,-1.793281038913665,0.8058087048753265
2021,17019001302,Savoy — Senior-heavy residential area,0,-2.392168070905056,2.7520713940417294
2021,17019001400,Census Tract 14 — Family-oriented residential area,0,-0.8936211664775887,0.9706158350915656
2021,17019005300,Urbana — Student-dense area,1,4.253047726319611,-1.5122828473749466
2021,17019005401,Census Tract 54.01 — Mixed residential area,0,1.4270891609546703,-1.5575894143818434
2021,17019005402,Census Tract 54.02 — Senior-heavy residential area,0,-2.1115144878904415,-2.5362941186242947
2021,17019005500,Urbana — Senior-heavy residential area,0,-0.32628750370006565,-0.17640256962398357
2021,17019005601,Urbana — Mixed residential area,0,-0.19178619320501364,-0.9913304094415074
2021,17019005602,Census Tract 56.02 — Senior-heavy residential area,0,0.19955596677728163,0.9227923524384121
2021,17019005701,Urbana — Senior-heavy residential area,0,-0.1927191094380505,-0.13985895365832782
2021,17019005702,Census Tract 57.02 — Senior-heavy residential area,0,-3.330279927885863,3.817302189035215
2021,17019005800,Urbana — Higher economic stress area,0,1.0575224772278597,2.3902163136241024
2021,17019005901,Urbana — Student-dense area,1,6.614379938859406,1.0607117295797555
2021,17019005902,Urbana — Student-dense area,1,6.375531364497174,1.1639483149119298
2021,17019006000,Census Tract 60 — Student-dense area,1,4.22781001699248,1.3124925607102906
2021,17019010100,Census Tract 101 — Mixed residential area,0,-0.4108483938823748,-2.2127729105927636
2021,17019010204,Rantoul — Mixed residential area,0,-0.98426618310447,-2.228027368416766
2021,17019010300,Rantoul — Family-oriented residential area,0,-0.2276060374748317,-4.077805261237337
2021,17019010400,Census Tract 104 — Senior-heavy residential area,0,-2.796955193674886,-0.5630855570897865
2021,17019010500,Fisher — Family-oriented residential area,0,-4.311898799368531,0.2864727448905435
2021,17019010601,Census Tract 106.01 — Family-oriented residential area,0,-4.787572595735407,0.7083623284331558
2021,17019010603,Mahomet — Family-oriented residential area,0,-3.121213800424957,0.6771762610333948
2021,17019010604,Census Tract 106.04 — Senior-heavy residential area,0,-2.621192318281039,-0.029574004160556784
2021,17019010701,St. Joseph — Family-oriented residential area,0,-3.9820468576359276,0.3725509016809818
2021,17019010702,Census Tract 107.02 — Family-oriented residential area,0,-3.132853498041827,-0.45311883796646024
2021,17019010800,Census Tract 108 — Senior-heavy residential area,0,-2.9221033594227,0.2233456377148093
2021,17019010901,Census Tract 109.01 — Family-oriented residential area,0,-1.844662980990817,0.48207288762617284
2021,17019010902,Census Tract 109.02 — Family-oriented residential area,0,-1.9730543014005777,-1.5925224882965605
2021,17019011001,Champaign — Mixed residential area,0,1.7353034923387,-0.25049003817456295
2021,17019011002,Champaign — Higher-income residential area,0,1.0691107616996234,1.3319297798143446
2021,17019011100,Urbana — Student-dense area,1,5.040102339306719,-0.2677372663065654
2022,17019000200,Champaign — Higher economic stress area,0,1.595579654228394,3.2144658503630175
2022,17019000301,Champaign — Student-dense area,1,6.9671525121595685,-0.31829085313248007
2022,17019000302,Champaign — Student-dense area,1,6.7874404639668295,-0.9224283920392535
2022,17019000401,Champaign — Student-dense area,1,7.44540875610811,-1.2965859813998166
2022,17019000402,Champaign — Student-dense area,1,7.384223591086917,-1.7435538497322494
2022,17019000500,Champaign — Mixed residential area,0,0.36987573471711677,-1.2085872507676292
2022,17019000700,Champaign — Mixed residential area,0,-0.3997555971087692,4.733454083339015
2022,17019000800,Champaign — Mixed residential area,0,-0.7150391635552045,0.40900858966300896
2022,17019000901,Champaign — Family-oriented residential area,0,-0.16905532433985843,3.4364173224157994
2022,17019000902,Census Tract 9.02 — Family-oriented residential area,0,-2.7437436466123923,1.0080738051975378
2022,17019001000,Champaign — Mixed residential area,0,-0.03607483291994875,0.2732277012188665
2022,17019001100,Champaign — Senior-heavy residential area,0,-2.1374477229919955,-1.8650569688215735
2022,17019001201,Champaign — Mixed residential area,0,-0.7809937149958539,1.4722467788782412
2022,17019001203,Champaign — Senior-heavy residential area,0,-3.2845255770090556,-0.05891496727680834
2022,17019001204,Champaign — Family-oriented residential area,0,-2.518673287958518,-2.7012632642167502
2022,17019001205,Champaign — Family-oriented residential area,0,-1.5310853101633037,-1.7110342077193672
2022,17019001206,Census Tract 12.06 — Senior-heavy residential area,0,-2.7062930598238673,-1.984470303399377
2022,17019001301,Champaign — Senior-heavy residential area,0,-1.632561371123974,-0.29623303851296606
2022,17019001302,Savoy — Senior-heavy residential area,0,-2.2548997464784746,-3.08211245200644
2022,17019001400,Census Tract 14 — Family-oriented residential area,0,-1.2513562883105889,-0.7939822253229103
2022,17019005300,Urbana — Student-dense area,1,3.905368296035683,1.79738871975726
2022,17019005401,Census Tract 54.01 — Mixed residential area,0,1.9916565567730862,1.6712653252637741
2022,17019005402,Census Tract 54.02 — Senior-heavy residential area,0,-2.280336006980803,2.4375099428960585
2022,17019005500,Urbana — Senior-heavy residential area,0,0.33668339346979165,0.4096022181767039
2022,17019005601,Urbana — Mixed residential area,0,-0.3597117842616017,0.9021928387217383
2022,17019005602,Census Tract 56.02 — Senior-heavy residential area,0,0.14094673429213672,-0.9473294810737922
2022,17019005701,Urbana — Senior-heavy residential area,0,0.11292873223006122,-0.011732448481681342
2022,17019005702,Census Tract 57.02 — Senior-heavy residential area,0,-3.3735988458329,-3.109791560038936
