year,tract_geoid,display_area_label,cluster_id,pc1,pc2
2019,17019000200,Champaign — Higher economic stress area,0,1.8640834341236456,-3.6676990417083912
2019,17019000301,Champaign — Student-dense area,1,7.0679739551417695,0.32050050189219265
2019,17019000302,Champaign — Student-dense area,1,6.096886615501924,0.20989466192895023
2019,17019000401,Champaign — Student-dense area,1,7.1577892022248495,0.41321359851237305
2019,17019000402,Champaign — Student-dense area,1,7.677592105016445,1.930693889916342
2019,17019000500,Champaign — Mixed residential area,0,1.255472998230805,1.0636230461721528
2019,17019000700,Champaign — Mixed residential area,0,0.36341809747406534,-4.371267726715505
2019,17019000800,Champaign — Mixed residential area,0,-0.7897521189095766,-0.4954418043681462
2019,17019000901,Champaign — Family-oriented residential area,0,-0.10204364533724607,-3.792820246225571
2019,17019000902,Champaign — Family-oriented residential area,0,-2.0686069132777045,-0.6003663546391251
2019,17019001000,Champaign — Mixed residential area,0,-0.7667679451773982,0.4259762197976711
2019,17019001100,Champaign — Senior-heavy residential area,0,-2.8138040437863743,1.127415536193223
2019,17019001201,Champaign — Mixed residential area,0,-0.6424667123889372,-2.274613707036452
2019,17019001203,Champaign — Senior-heavy residential area,0,-3.3187464995204343,0.6765357088444767
2019,17019001204,Champaign — Family-oriented residential area,0,-4.475175966212851,1.907192808156801
2019,17019001205,Champaign — Family-oriented residential area,0,-1.9642615008078397,2.2724384519174827
2019,17019001206,Champaign — Senior-heavy residential area,0,-3.0848861099286897,3.3995572479685534
2019,17019001301,Champaign — Senior-heavy residential area,0,-2.153797553900456,1.5836063652130499
2019,17019001302,Savoy — Senior-heavy residential area,0,-2.5442252618137973,2.2946478834177744
2019,17019001400,Champaign — Family-oriented residential area,0,0.15756974764922219,1.842083252157233
2019,17019005300,Urbana — Student-dense area,1,3.320916064699377,-1.4428178438358217
2019,17019005401,Urbana — Mixed residential area,0,1.3669235943263145,-1.997923881090753
2019,17019005402,Urbana — Senior-heavy residential area,0,-1.2490632701000235,-2.520914849480561
2019,17019005500,Urbana — Senior-heavy residential area,0,-1.0607447181745857,-1.0844981262841906
2019,17019005600,,0,-0.6329965978300187,-0.11768126597390362
2019,17019005701,Urbana — Senior-heavy residential area,0,-0.2418435721546606,0.9852542324341783
2019,17019005702,Urbana — Senior-heavy residential area,0,-0.551418737947869,2.4484012831393853
2019,17019005800,Urbana — Higher economic stress area,0,0.9360729228332517,2.265964484349282
2019,17019005900,,1,7.236964916060896,2.314112819547409
2019,17019006000,Urbana — Student-dense area,1,4.649946778040482,1.923913788639695
2019,17019010100,Rantoul — Mixed residential area,0,-0.5787622497375846,-2.400605621081491
2019,17019010204,Rantoul — Mixed residential area,0,-1.488139200203807,-2.908602274254376
2019,17019010300,Rantoul — Family-oriented residential area,0,0.0991717152303396,-3.046666786221457
2019,17019010400,Rantoul — Senior-heavy residential area,0,-2.9395408973371757,-0.9616576123346604
2019,17019010500,Fisher — Family-oriented residential area,0,-3.7814538575503382,0.11425837735588655
2019,17019010601,Mahomet — Family-oriented residential area,0,-4.229335150464454,1.1037977106420793
2019,17019010603,Mahomet — Family-oriented residential area,0,-2.858728131037005,0.8180666764843546
2019,17019010604,Champaign — Senior-heavy residential area,0,-2.1038048112075396,-0.23052761460245794
2019,17019010700,,0,-3.3002503737125704,1.0762644338206895
2019,17019010800,Sidney — Senior-heavy residential area,0,-3.375444668447055,-0.7930243018634056
2019,17019010900,,0,-2.850537971930646,0.21345375159203614
2019,17019011000,,0,1.6941614200717636,0.6885855344149655
2019,17019011100,Urbana — Student-dense area,1,5.021654912271481,-0.7123232067919754
