source_table,metric_group,metric_name,metric_kind
S0101,age,s0101_c02_006m,derived
S0101,age,s0101_c02_007e,derived
S0101,age,s0101_c02_007m,derived
S0101,age,s0101_c02_008e,derived
S0101,age,s0101_c02_008m,derived
S0101,age,s0101_c02_009e,derived
S0101,age,s0101_c02_009m,derived
S0101,age,s0101_c02_010e,derived
S0101,age,s0101_c02_010m,derived
S0101,age,s0101_c02_011e,derived
S0101,age,s0101_c02_011m,derived
S0101,age,s0101_c02_012e,derived
S0101,age,s0101_c02_012m,derived
S0101,age,s0101_c02_013e,derived
S0101,age,s0101_c02_013m,derived
S0101,age,s0101_c02_014e,derived
S0101,age,s0101_c02_014m,derived
S0101,age,s0101_c02_015e,derived
S0101,age,s0101_c02_015m,derived
S0101,age,s0101_c02_016e,derived
S0101,age,s0101_c02_016m,derived
S0101,age,s0101_c02_017e,derived
S0101,age,s0101_c02_017m,derived
S0101,age,s0101_c02_018e,derived
S0101,age,s0101_c02_018m,derived
S0101,age,s0101_c02_019e,derived
S0101,age,s0101_c02_019m,derived
S0101,age,s0101_c02_020e,derived
S0101,age,s0101_c02_020m,derived
S0101,age,s0101_c02_021e,derived
S0101,age,s0101_c02_021m,derived
S0101,age,s0101_c02_022e,derived
S0101,age,s0101_c02_022m,derived
S0101,age,s0101_c02_023e,derived
S0101,age,s0101_c02_023m,derived
S0101,age,s0101_c02_024e,derived
S0101,age,s0101_c02_024m,derived
S0101,age,s0101_c02_025e,derived
S0101,age,s0101_c02_025m,derived
S0101,age,s0101_c02_026e,derived
S0101,age,s0101_c02_026m,derived
S0101,age,s0101_c02_027e,derived
S0101,age,s0101_c02_027m,derived
S0101,age,s0101_c02_028e,derived
S0101,age,s0101_c02_028m,derived
S0101,age,s0101_c02_029e,derived
S0101,age,s0101_c02_029m,derived
S0101,age,s0101_c02_030e,derived
S0101,age,s0101_c02_030m,derived
S0101,age,s0101_c02_031e,derived
S0101,age,s0101_c02_031m,derived
S0101,age,s0101_c02_037e,derived
S0101,age,s0101_c02_038e,derived
S0101,age,s0101_c03_001e,derived
S0101,age,s0101_c03_001m,derived
S0101,age,s0101_c03_002e,derived
S0101,age,s0101_c03_002m,derived
S0101,age,s0101_c03_003e,derived
S0101,age,s0101_c03_003m,derived
S0101,age,s0101_c03_004e,derived
S0101,age,s0101_c03_004m,derived
S0101,age,s0101_c03_005e,derived
S0101,age,s0101_c03_005m,derived
S0101,age,s0101_c03_006e,derived
S0101,age,s0101_c03_006m,derived
S0101,age,s0101_c03_007e,derived
S0101,age,s0101_c03_007m,derived
S0101,age,s0101_c03_008e,derived
S0101,age,s0101_c03_008m,derived
S0101,age,s0101_c03_009e,derived
S0101,age,s0101_c03_009m,derived
S0101,age,s0101_c03_010e,derived
S0101,age,s0101_c03_010m,derived
S0101,age,s0101_c03_011e,derived
S0101,age,s0101_c03_011m,derived
S0101,age,s0101_c03_012e,derived
S0101,age,s0101_c03_012m,derived
S0101,age,s0101_c03_013e,derived
S0101,age,s0101_c03_013m,derived
S0101,age,s0101_c03_014e,derived
S0101,age,s0101_c03_014m,derived
S0101,age,s0101_c03_015e,derived
S0101,age,s0101_c03_015m,derived
S0101,age,s0101_c03_016e,derived
S0101,age,s0101_c03_016m,derived
S0101,age,s0101_c03_017e,derived
S0101,age,s0101_c03_017m,derived
