year,tract_geoid,tract_name,geo_id,tractce
2021,17019001400,"Census Tract 14, Champaign County, Illinois",1400000US17019001400,001400
2022,17019001400,Census Tract 14; Champaign County; Illinois,1400000US17019001400,001400
2023,17019001400,Census Tract 14; Champaign County; Illinois,1400000US17019001400,001400
2019,17019005300,"Census Tract 53, Champaign County, Illinois",1400000US17019005300,005300
2021,17019005300,"Census Tract 53, Champaign County, Illinois",1400000US17019005300,005300
2022,17019005300,Census Tract 53; Champaign County; Illinois,1400000US17019005300,005300
2023,17019005300,Census Tract 53; Champaign County; Illinois,1400000US17019005300,005300
2019,17019005401,"Census Tract 54.01, Champaign County, Illinois",1400000US17019005401,005401
2021,17019005401,"Census Tract 54.01, Champaign County, Illinois",1400000US17019005401,005401
2022,17019005401,Census Tract 54.01; Champaign County; Illinois,1400000US17019005401,005401
2023,17019005401,Census Tract 54.01; Champaign County; Illinois,1400000US17019005401,005401
2019,17019005402,"Census Tract 54.02, Champaign County, Illinois",1400000US17019005402,005402
2021,17019005402,"Census Tract 54.02, Champaign County, Illinois",1400000US17019005402,005402
2022,17019005402,Census Tract 54.02; Champaign County; Illinois,1400000US17019005402,005402
2023,17019005402,Census Tract 54.02; Champaign County; Illinois,1400000US17019005402,005402
2019,17019005500,"Census Tract 55, Champaign County, Illinois",1400000US17019005500,005500
2021,17019005500,"Census Tract 55, Champaign County, Illinois",1400000US17019005500,005500
2022,17019005500,Census Tract 55; Champaign County; Illinois,1400000US17019005500,005500
2023,17019005500,Census Tract 55; Champaign County; Illinois,1400000US17019005500,005500
2021,17019005601,"Census Tract 56.01, Champaign County, Illinois",1400000US17019005601,005601
2022,17019005601,Census Tract 56.01; Champaign County; Illinois,1400000US17019005601,005601
2023,17019005601,Census Tract 56.01; Champaign County; Illinois,1400000US17019005601,005601
2021,17019005602,"Census Tract 56.02, Champaign County, Illinois",1400000US17019005602,005602
2022,17019005602,Census Tract 56.02; Champaign County; Illinois,1400000US17019005602,005602
2023,17019005602,Census Tract 56.02; Champaign County; Illinois,1400000US17019005602,005602
2019,17019005701,"Census Tract 57.01, Champaign County, Illinois",1400000US17019005701,005701
2021,17019005701,"Census Tract 57.01, Champaign County, Illinois",1400000US17019005701,005701
2022,17019005701,Census Tract 57.01; Champaign County; Illinois,1400000US17019005701,005701
2023,17019005701,Census Tract 57.01; Champaign County; Illinois,1400000US17019005701,005701
2019,17019005702,"Census Tract 57.02, Champaign County, Illinois",1400000US17019005702,005702
2021,17019005702,"Census Tract 57.02, Champaign County, Illinois",1400000US17019005702,005702
2022,17019005702,Census Tract 57.02; Champaign County; Illinois,1400000US17019005702,005702
2023,17019005702,Census Tract 57.02; Champaign County; Illinois,1400000US17019005702,005702
2019,17019005800,"Census Tract 58, Champaign County, Illinois",1400000US17019005800,005800
2021,17019005800,"Census Tract 58, Champaign County, Illinois",1400000US17019005800,005800
2022,17019005800,Census Tract 58; Champaign County; Illinois,1400000US17019005800,005800
2023,17019005800,Census Tract 58; Champaign County; Illinois,1400000US17019005800,005800
2021,17019005901,"Census Tract 59.01, Champaign County, Illinois",1400000US17019005901,005901
2022,17019005901,Census Tract 59.01; Champaign County; Illinois,1400000US17019005901,005901
2023,17019005901,Census Tract 59.01; Champaign County; Illinois,1400000US17019005901,005901
2021,17019005902,"Census Tract 59.02, Champaign County, Illinois",1400000US17019005902,005902
2022,17019005902,Census Tract 59.02; Champaign County; Illinois,1400000US17019005902,005902
2023,17019005902,Census Tract 59.02; Champaign County; Illinois,1400000US17019005902,005902
2019,17019006000,"Census Tract 60, Champaign County, Illinois",1400000US17019006000,006000
2021,17019006000,"Census Tract 60, Champaign County, Illinois",1400000US17019006000,006000
2022,17019006000,Census Tract 60; Champaign County; Illinois,1400000US17019006000,006000
2023,17019006000,Census Tract 60; Champaign County; Illinois,1400000US17019006000,006000
