year,tract_geoid,source_table,metric_group,metric_name,metric_kind,metric_value,geo_id,name,statefp,countyfp,tractce
2019,17019000200,B25003,tenure,owner_occupied_units,derived,273.0,,,,,
2019,17019000200,B25003,tenure,pct_owner_occupied,derived,38.94,,,,,
2019,17019000200,B25003,tenure,pct_renter_occupied,derived,61.06,,,,,
2019,17019000200,B25003,tenure,renter_occupied_units,derived,428.0,,,,,
2019,17019000200,B25070,rent_burden,has_rent_burden_metric,derived,1.0,,,,,
2019,17019000200,B25070,rent_burden,pct_rent_burden_30_plus,derived,54.91,,,,,
2019,17019000200,B25070,rent_burden,pct_rent_burden_50_plus,derived,32.94,,,,,
2019,17019000200,B25070,rent_burden,pct_rent_not_computed,derived,21.96,,,,,
2019,17019000200,B25070,rent_burden,rent_30_34,derived,7.0,,,,,
2019,17019000200,B25070,rent_burden,rent_35_39,derived,62.0,,,,,
2019,17019000200,B25070,rent_burden,rent_40_49,derived,25.0,,,,,
2019,17019000200,B25070,rent_burden,rent_50_plus,derived,141.0,,,,,
2019,17019000200,B25070,rent_burden,rent_not_computed,derived,94.0,,,,,
2019,17019000200,B25070,rent_burden,renter_hh_rent_burden_base,derived,428.0,,,,,
2019,17019000200,DP04,housing_profile,for_rent_units,derived,4.1,,,,,
2019,17019000200,DP04,housing_profile,for_sale_only_units,derived,922.0,,,,,
2019,17019000200,DP04,housing_profile,has_housing_profile_metric,derived,1.0,,,,,
2019,17019000200,DP04,housing_profile,housing_units_total,derived,922.0,,,,,
2019,17019000200,DP04,housing_profile,migrant_worker_units,derived,56.0,,,,,
2019,17019000200,DP04,housing_profile,occupied_housing_units_dp04,derived,701.0,,,,,
2019,17019000200,DP04,housing_profile,other_vacant_units,derived,0.0,,,,,
2019,17019000200,DP04,housing_profile,pct_occupied_housing_units,derived,76.03,,,,,
2019,17019000200,DP04,housing_profile,pct_vacant_housing_units,derived,23.97,,,,,
2019,17019000200,DP04,housing_profile,rented_not_occupied_units,derived,18.2,,,,,
2019,17019000200,DP04,housing_profile,seasonal_recreational_units,derived,16.0,,,,,
2019,17019000200,DP04,housing_profile,sold_not_occupied_units,derived,564.0,,,,,
2019,17019000200,DP04,housing_profile,vacant_housing_units_dp04,derived,221.0,,,,,
2019,17019000200,S0101,age,s0101_c01_001e,derived,1871.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_001m,derived,318.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_002e,derived,172.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_002m,derived,81.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_003e,derived,121.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_003m,derived,68.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_004e,derived,164.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_004m,derived,77.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_005e,derived,97.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_005m,derived,77.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_006e,derived,288.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_006m,derived,124.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_007e,derived,213.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_007m,derived,105.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_008e,derived,108.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_008m,derived,45.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_009e,derived,102.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_009m,derived,63.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_010e,derived,77.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_010m,derived,51.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_011e,derived,110.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_011m,derived,67.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_012e,derived,76.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_012m,derived,53.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_013e,derived,38.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_013m,derived,27.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_014e,derived,105.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_014m,derived,65.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_015e,derived,37.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_015m,derived,36.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_016e,derived,26.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_016m,derived,21.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_017e,derived,93.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_017m,derived,42.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_018e,derived,4.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_018m,derived,10.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_019e,derived,40.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_019m,derived,31.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_020e,derived,285.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_020m,derived,94.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_021e,derived,60.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_021m,derived,50.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_022e,derived,517.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_022m,derived,150.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_023e,derived,325.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_023m,derived,127.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_024e,derived,885.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_024m,derived,197.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_025e,derived,1414.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_025m,derived,248.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_026e,derived,1354.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_026m,derived,227.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_027e,derived,1238.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_027m,derived,212.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_028e,derived,305.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_028m,derived,93.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
