year,table_code,table_family,source_type,row_count,column_count,output_file
2023,B25070,Detailed Table,DT,48,35,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2023\stg_acs_2023_b25070_raw.csv
2023,DP04,Data Profile,DP,48,585,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2023\stg_acs_2023_dp04_raw.csv
2023,S0101,Subject Table,ST,48,469,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2023\stg_acs_2023_s0101_raw.csv
2023,S1101,Subject Table,ST,48,203,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2023\stg_acs_2023_s1101_raw.csv
2023,S1501,Subject Table,ST,48,781,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2023\stg_acs_2023_s1501_raw.csv
2023,S1601,Subject Table,ST,48,301,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2023\stg_acs_2023_s1601_raw.csv
2023,S1701,Subject Table,ST,48,385,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2023\stg_acs_2023_s1701_raw.csv
2023,S1901,Subject Table,ST,48,141,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2023\stg_acs_2023_s1901_raw.csv
2023,S2301,Subject Table,ST,48,293,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2023\stg_acs_2023_s2301_raw.csv
2023,S2401,Subject Table,ST,48,373,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2023\stg_acs_2023_s2401_raw.csv
