year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,tract_number,tract_name_canonical,is_stable_all_4_years,cluster_id,cluster_label,avg_household_size_v2,median_household_income,pct_age_18_24,pct_age_65_plus,pct_bachelors_or_higher,pct_family_households,pct_hh_income_100k_plus,pct_hh_income_25k_50k,pct_hh_income_50k_100k,pct_hh_income_under_25k,pct_households_with_own_children_under_18,pct_less_than_high_school,pct_one_person_households,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_renter_occupied,pct_senior_living_alone_households,pct_some_college_or_associate,pct_vacant_housing_units,poverty_rate,unemployment_rate
2019,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,2,Census Tract 2,1,0,cluster_0,0.8671831257418106,-1.1302754111965416,-0.24540851292122545,-0.2439510105939147,-1.5651247682984788,0.07252077243691582,-1.3241259702867765,1.0826924694067455,-1.3258342717513787,1.147265221828207,0.41726082057955205,1.1767019497255984,0.44479051775467254,0.8729050880502811,0.7654782842094836,0.38252716927165237,0.535502250009882,0.767157965409095,1.9249368215687952,0.7895997129053366,2.4673159590715037
2019,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.01,Census Tract 3.01,1,1,cluster_1,0.3480096082010542,-1.626053581453685,2.4629356463099037,-1.3743798534271283,-0.0361989990204521,-1.9723839598120059,-1.348024151492372,-1.0625128530988799,-1.9493081452329817,2.2226188301680874,-1.7742150346021157,1.0348378828895217,-1.3717420807831315,1.6121088913579924,2.690249554167285,1.7543063665042395,-1.8697494743304375,-1.2926858278472817,0.8263285862782994,2.438567279438614,0.01206314843092328
2019,17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.02,Census Tract 3.02,1,1,cluster_1,-1.8508429366774444,-1.5120169674634165,1.6870116716324994,-1.5445519372944938,0.29537526419646953,-1.860364009377896,-1.342049606190973,-0.7853234013144451,-1.1567566111461982,1.7764140134295479,-1.859278323098563,0.1836534818730608,-1.4940086979924068,0.5850735186207302,1.2985806008459122,1.7543063665042395,-1.8217130632879774,-0.010332093810223807,2.2294082467778757,1.8469529616747666,-0.9216245401225368
2019,17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.01,Census Tract 4.01,1,1,cluster_1,1.9055301608233248,-1.7383203027739884,2.6513743258744156,-1.5445519372944938,0.5302403673084556,-2.054560757427762,-1.3898459686021643,-1.6530469025526755,-2.2874634664433424,2.619741117065387,-1.859278323098563,-1.1640551530696688,-1.4940086979924068,0.8233756296744174,1.9997708194820807,1.7543063665042395,-1.921217057590216,1.3225080077086082,2.0677558921565597,2.740668207658451,0.3232923779487435
2019,17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.02,Census Tract 4.02,1,1,cluster_1,0.5312473202742626,-1.6907761271298414,2.4407663898905483,-1.5445519372944938,1.3039136481479392,-2.0004970747858173,-1.246456881368591,-1.701253763732577,-2.340300235382461,2.552810394554606,-1.859278323098563,-1.1640551530696688,-1.4940086979924068,1.4719311789734706,2.3598414722952477,1.7543063665042395,-1.8285754077226144,-1.757160408679602,1.0052447845970374,2.6609471293782163,0.9111698114824036
2019,17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,5,Census Tract 5,1,0,cluster_0,-1.4538278938521603,-0.32754232592298854,-0.01263132051800429,0.12070345483615423,0.8203678476232621,-0.8357490959477575,-0.22480963482938135,0.5644687117228022,0.0796237820291839,-0.07533597603539084,-0.9621675588525261,-0.9039710305368612,0.008124027721546544,1.005606655774295,1.0629279539247087,0.4646084617614296,-0.38062073201417684,-0.06081846129199774,-1.1809856036310489,0.2063770875920398,-0.19542300458095666
2019,17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,7,Census Tract 7,1,0,cluster_0,0.22585113348558192,-0.48169650709912115,-0.33778041466853537,-0.35334735022293523,-1.4638104100933083,-0.001005835956129285,-1.0672205223266245,2.1070882694796564,0.20643202748306955,-0.07087392786800539,0.09805425343824466,3.1627988854306732,-0.5508090795208546,0.24397441848506096,-0.1754843828674891,-0.1638594601345478,0.39825536131713907,0.20171064961322685,1.1292305711512503,-0.003415223671736003,1.810276474533884
2019,17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,8,Census Tract 8,1,0,cluster_0,-0.6597978082015913,0.03157236719061344,-0.5336088463728326,-0.47489883869962485,0.2262972926929442,-0.34874344270911845,-0.3204023596517636,1.1791061917665489,1.3371388827802135,-0.7624913938127414,-0.028225267628646276,0.4200935932665221,-0.13160924908905375,-1.4250748769733101,-0.8923298472781427,0.6978179708954751,-0.7683431925711754,-0.2223748372336741,-0.6866118977503258,-0.6663589272652676,-0.8524624891185768
2019,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,9.01,Census Tract 9.01,1,0,cluster_0,0.7450246510263383,-0.6021880237680838,-0.3932035557169214,-0.8760187506727007,-1.5467039758975387,0.37830496145975584,-1.0672205223266245,1.576812796500738,0.470615872178664,0.013904987312317029,0.5952798676391271,1.318566016561675,-0.288809185500979,-0.4802770955016342,-0.6739803667392654,0.5812132163284524,0.1786603394087507,1.2215352727450604,0.13891371905367514,0.16441862533928464,1.810276474533884
2019,17019000902,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,9.02,Census Tract 9.02,1,0,cluster_0,-0.07954505330309872,0.22410892666048818,-0.4560164489050922,-0.18317526635556988,-0.3401420736359632,0.295695654382864,0.1934085362685407,0.02214152344890818,1.463947128234099,-0.7669534419801268,0.6084339844169284,0.8693298049140985,0.060524006525521784,-0.27094504500741506,-0.8568995542095702,-0.20401940581624145,0.38109950023054623,0.77725523890545,-1.2280688137149274,-0.5782461565344817,-0.5758142851027368
2019,17019001000,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,10,Census Tract 10,1,0,cluster_0,-0.384941240091778,0.04941010900162923,-0.3636445471577822,0.023462264054802645,-0.06843538572209705,0.08290099950416932,0.04404490373356854,-0.02606533773099334,0.3543749805126023,-0.17796308388525478,0.08928484225304377,-0.7857509748401306,0.07799066612684677,-0.4391582998688414,-0.9739019173662515,-0.2064853673931873,0.5149152167059707,-0.36373666618264133,1.0382030316557525,-0.36425799904543044,-0.9907865911264968
2019,17019001100,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,11,Census Tract 11,1,0,cluster_0,-0.5681789521649864,0.6713712154938958,-0.7146577737975601,1.020184469563658,0.26313887749482423,0.13004453076794506,0.5996776167636648,-0.4237719424651824,1.1469265145993857,-0.7714154901475122,-0.02559444427308595,-0.5729548745860155,1.0910569230036993,-0.5204613730518637,-0.5627457257100261,-0.8427034542452809,0.9575364327400668,0.9186170678544169,-0.7227090254812993,-0.800626006474084,-1.5786640246601569
