year,tract_count,mean_target,median_target,high_risk_count
2019,43,41.98372864808239,41.670968150380446,11
2021,48,36.47742026288054,35.02072229564641,12
2022,48,43.24782632022529,41.827723187316195,12
2023,48,38.830279106832826,39.322912690202784,12
