year,tract_geoid,display_area_label,estimated_alice_rate_proxy_pct,model,predicted_target,residual
2023,17019001302,Savoy — Senior-heavy residential area,10.880074709814169,ridge,14.15743962848548,-3.277364918671312
2023,17019005702,Urbana — Senior-heavy residential area,4.78677133200068,ridge,8.048129750489743,-3.2613584184890625
2023,17019010500,Fisher — Family-oriented residential area,0.0477288987644366,ridge,2.8199684603274804,-2.772239561563044
2023,17019000301,Champaign — Student-dense area,74.5565140155192,ridge,77.21662606868168,-2.6601120531624787
2023,17019006000,Urbana — Student-dense area,48.76968059901049,ridge,51.27178404860952,-2.5021034495990264
2023,17019000401,Champaign — Student-dense area,57.08582246370917,ridge,58.610953838114696,-1.5251313744055253
2023,17019005902,Urbana — Student-dense area,62.16561359678264,ridge,63.59499748563396,-1.4293838888513193
2023,17019001203,Champaign — Senior-heavy residential area,11.493912074704472,ridge,12.722520888864171,-1.2286088141596991
2023,17019010601,Mahomet — Family-oriented residential area,13.954215322564467,ridge,14.815780423738818,-0.8615651011743513
2023,17019010702,St. Joseph — Family-oriented residential area,25.26298452337295,ridge,26.084511951385153,-0.8215274280122031
2023,17019001301,Champaign — Senior-heavy residential area,30.751734696147643,ridge,31.185481062090574,-0.43374636594293037
2023,17019010604,Champaign — Senior-heavy residential area,15.071451210466876,ridge,15.29629298350374,-0.22484177303686437
2023,17019010800,Sidney — Senior-heavy residential area,28.9550922562522,ridge,29.062142649624526,-0.10705039337232591
2023,17019010300,Rantoul — Family-oriented residential area,74.85744838059118,ridge,74.89175709151462,-0.034308710923440344
2023,17019010901,Philo — Family-oriented residential area,24.473828975033385,ridge,24.32622344793068,0.14760552710270503
