model,accuracy,precision,recall,f1,roc_auc
random_forest_classifier,0.9375,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9907407407407407
gradient_boosting_classifier,0.9375,1.0,0.75,0.8571428571428571,0.9930555555555555
logistic_regression,0.8958333333333334,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.986111111111111
