model,mae,rmse,r2
ridge,2.4937441578546062,3.337832420535274,0.9744421441465875
gradient_boosting_regressor,3.5152727152363297,4.549477197998066,0.9525191653776096
random_forest_regressor,4.172369483020488,5.2491880788580545,0.9367908970792707
