year,tract_geoid,display_area_label,estimated_alice_rate_proxy_pct,model,predicted_target,residual
2023,17019005901,Urbana — Student-dense area,68.34932679255583,ridge,58.946535749127946,9.402791043427882
2023,17019000200,Champaign — Higher economic stress area,78.08867666579447,ridge,69.78638293227633,8.302293733518141
2023,17019000901,Champaign — Family-oriented residential area,59.57729486154258,ridge,52.143055908042044,7.4342389535005395
2023,17019000700,Champaign — Mixed residential area,64.65997875250076,ridge,57.80502310050711,6.854955651993656
2023,17019005800,Urbana — Higher economic stress area,40.52824651625808,ridge,35.052193170423585,5.476053345834494
2023,17019001400,Census Tract 14 — Family-oriented residential area,23.172869571889645,ridge,18.62511609729605,4.547753474593595
2023,17019005500,Urbana — Senior-heavy residential area,44.03415901810999,ridge,39.62541281479548,4.408746203314507
2023,17019011002,Champaign — Higher-income residential area,26.97402893344593,ridge,22.712866576576843,4.261162356869086
2023,17019000500,Champaign — Mixed residential area,41.80878711740576,ridge,37.59951830607244,4.209268811333317
2023,17019001201,Champaign — Mixed residential area,56.20449664583786,ridge,52.13145522111623,4.07304142472163
2023,17019005401,Census Tract 54.01 — Mixed residential area,59.68141852793418,ridge,55.645001780207785,4.036416747726392
2023,17019010204,Rantoul — Mixed residential area,41.06486588126392,ridge,37.051524026534636,4.013341854729283
2023,17019005602,Census Tract 56.02 — Senior-heavy residential area,39.586299769148745,ridge,35.93153541022389,3.654764358924858
2023,17019005701,Urbana — Senior-heavy residential area,56.6715649091246,ridge,53.21467470271275,3.456890206411849
2023,17019011100,Urbana — Student-dense area,61.85855176104208,ridge,58.750143959816086,3.1084078012259937
