year,tract_geoid,display_area_label,avg_household_size_v2,median_household_income,pct_age_18_24,pct_age_65_plus,pct_bachelors_or_higher,pct_family_households,pct_hh_income_100k_plus,pct_hh_income_25k_50k,pct_hh_income_50k_100k,pct_hh_income_under_25k,pct_households_with_own_children_under_18,pct_less_than_high_school,pct_one_person_households,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_renter_occupied,pct_senior_living_alone_households,pct_some_college_or_associate,pct_vacant_housing_units,poverty_rate,unemployment_rate
2019,17019000200,Champaign — Higher economic stress area,0.9569901703795464,-1.2533958471906275,-0.24517315524970137,-0.28604751336555195,-1.6189566211313888,0.07466327721235626,-1.3807640660196612,1.1203261990464206,-1.1905212880422193,1.2791296407903672,0.44831307769875844,0.848768316801959,-1.1291038132135833,0.8020000801486407,0.6643650271147052,0.38133138378323544,2.078441437355435,0.8321257752402886,1.5088075024639103,0.8421026590622076,2.225157140431423
2019,17019000301,Champaign — Student-dense area,0.485320131366124,-1.6939980862517037,2.4238864558401083,-1.2787939322321082,-0.11057059477405208,-1.9835318171481326,-1.4015801640804222,-0.8750281731221901,-1.7553955567804382,2.3437402546911486,-1.6774507601834159,0.7415856435941034,-1.7214485290123955,1.4159383281954798,2.376704782990276,1.7065188169958676,-0.6947953960570739,-1.1302836012351405,0.6494902381743229,2.4835361396112536,0.09344407646519128
2019,17019000302,Champaign — Student-dense area,-1.5123412103377831,-1.5926527861288773,1.6592172630312951,-1.428239629695891,0.21654926636368374,-1.8707838202277927,-1.3963761395652319,-0.6172014845835493,-1.0373350456725328,1.901993111993729,-1.7599634021500308,0.09848960434696907,-1.7613178848834694,0.5629444791392522,1.1386303618970228,1.7065188169958676,-0.6394097816950551,0.0914124321588765,1.7469611442813104,1.8946248908646495,-0.7172073703952068
2019,17019000401,Champaign — Student-dense area,1.9003302484063922,-1.7937704678394526,2.6095918312365343,-1.428239629695891,0.44825916800291327,-2.0662427029198103,-1.4380083356867535,-1.4243111182697288,-2.061768041519811,2.7368952116918517,-1.7599634021500308,-0.9197457911276601,-1.7613178848834694,0.7608638890658567,1.7624322164561457,1.7065188169958676,-0.7541371257306654,1.3612067345841543,1.6205187468215567,2.784256777269094,0.3636612254186574
2019,17019000402,Champaign — Student-dense area,0.6517919098414497,-1.7515175581716889,2.402038764616999,-1.428239629695891,1.2115388439909633,-2.011827646491075,-1.313111747322189,-1.4691505423634055,-2.1096387422603384,2.6706331402872387,-1.7599634021500308,-0.9197457911276601,-1.7613178848834694,1.2995151458857126,2.0827628985270463,1.7065188169958676,-0.6473220123182006,-1.572787676322737,0.7894361926443415,2.704899942331608,0.8740713956640933
2019,17019000500,Champaign — Mixed residential area,-1.151652356974578,-0.5400001876832945,-0.015772397407057406,0.03419326691398236,0.7344890464984322,-0.839509670790399,-0.42322355522466565,0.6383023900393967,0.08283935165579955,0.06874246979943795,-0.889752755429957,-0.7232442235799247,-1.27149436989599,0.9122140260685537,0.9289860253471884,0.4606248280406939,1.0221586491655066,0.04331416312761598,-0.9206051632919372,0.2615447613616542,-0.08670068950378597
2019,17019000700,Champaign — Mixed residential area,0.3743389457159068,-0.6769983079345406,-0.33620520201265525,-0.3821197474494121,-1.5190033302281918,0.0006588004692759509,-1.156991011866483,2.0731639610370496,0.1977290334330647,0.0731599412264122,0.13867800887558457,2.349325741711939,-1.4537542824494705,0.2796480688521522,-0.1727462747730949,-0.14649750910654194,1.9201968248925245,0.2934251620901708,0.8864162838998806,0.05271098521037607,1.6546987148629955
2019,17019000800,Champaign — Mixed residential area,-0.430274650248167,-0.22085193276211168,-0.5291931411501176,-0.4888666742092569,0.14839929529332213,-0.3493388424803503,-0.5064879474677089,1.210005047233774,1.2221620292803428,-0.611548129954588,0.016185014615867344,0.27712739302672856,-1.31705934803436,-1.1065639551828088,-0.8104755502918218,0.6859134979910696,0.5751176189577841,-0.11060029777241745,-0.5339123943616229,-0.6072037474276629,-0.6571591150722143
2019,17019000901,Champaign — Family-oriented residential area,0.8460089847293292,-0.7840801344794137,-0.3908244300704276,-0.8411315325167447,-1.6007832955126258,0.38243483637328385,-1.156991011866483,1.5799302960066064,0.43708253713569983,0.15709189833892184,0.6209941737732205,0.9559509900098146,-1.3683199484400264,-0.32187170641497814,-0.616224679013129,0.5732691630158817,1.6670054449518679,1.2650101965216334,0.11180314994740988,0.21977800613139858,1.6546987148629955
2019,17019000902,Champaign — Family-oriented residential area,0.09688598159036389,-0.04974306937761977,-0.45272622186923633,-0.23267404998562957,-0.41043046748364287,0.299288630150176,-0.058941839161352046,0.13385886898553442,1.337051711057608,-0.6159656013815622,0.6337538606752746,0.6165391915182715,-1.254407503094101,-0.148013087499059,-0.7789555975937698,-0.1852934432067577,1.9004162483346607,0.8417454290465409,-0.9574330460472052,-0.5194935614441261,-0.4169660937802445
