,avg_household_size_v2,median_household_income,pct_age_18_24,pct_age_65_plus,pct_bachelors_or_higher,pct_family_households,pct_hh_income_100k_plus,pct_hh_income_25k_50k,pct_hh_income_50k_100k,pct_hh_income_under_25k,pct_households_with_own_children_under_18,pct_less_than_high_school,pct_one_person_households,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_renter_occupied,pct_senior_living_alone_households,pct_some_college_or_associate,pct_vacant_housing_units,poverty_rate,unemployment_rate
avg_household_size_v2,1.0,0.3986479216055611,-0.3001069983224427,0.09505979870699209,-0.4440737740406549,0.6531951049903025,0.3681467555496066,-0.11376275821090635,0.2728213633055797,-0.3791420786157997,0.7126880766231128,-0.009713602329849948,-0.8187056282269267,-0.3058567725961086,-0.2185661571023235,-0.5396712724950685,0.19217350817290627,0.4518054564575304,-0.3203400386892433,-0.26437442128540656,0.11427372347886744
median_household_income,0.3986479216055611,1.0,-0.7318635734605518,0.7123007925098388,-0.10783145739651996,0.8168110117608202,0.9581891401434767,-0.46124196028847764,0.48411477346147297,-0.8628909085814173,0.6342778562245096,-0.21069955884839328,-0.7520200292043713,-0.4929976272139665,-0.5163765309618216,-0.8967340076454792,0.5698090349033053,0.24805448483254497,-0.7453946109571045,-0.8221972884542217,-0.4361307552313907
pct_age_18_24,-0.3001069983224427,-0.7318635734605518,1.0,-0.6869725412202639,0.4925671495708384,-0.8189613098584878,-0.6243916850212325,-0.18269412293039475,-0.7311684150502404,0.9166055050859362,-0.663511120198096,0.0751419999910634,0.638707231815656,0.5007402623497774,0.7192361851199673,0.7935508617080205,-0.6350217639518813,-0.5701224544535556,0.7724051641248544,0.9339349224068071,0.06643183420348164
pct_age_65_plus,0.09505979870699209,0.7123007925098388,-0.6869725412202639,1.0,-0.12265260614210129,0.612197804402167,0.6621556345228914,-0.15155063855439252,0.45490596190580623,-0.6854453418366088,0.2863599237401527,-0.16081474123501222,-0.4948172941291014,-0.211398975266061,-0.38052851452785214,-0.731750362682793,0.8524180733778328,0.173434685818147,-0.621582167701618,-0.6843404067617133,-0.23071737002621157
pct_bachelors_or_higher,-0.4440737740406549,-0.10783145739651996,0.4925671495708384,-0.12265260614210129,1.0,-0.5087624149546506,0.04281078912531441,-0.4992992386200259,-0.40247319662689307,0.35231068816144434,-0.4086935114159485,-0.4281635316390942,0.450532626008335,0.32146276204809704,0.3980971200260111,0.40244868242767456,-0.24086236725172924,-0.824775038147765,0.25114138764474647,0.32838165676189957,-0.3875473817767699
pct_family_households,0.6531951049903025,0.8168110117608202,-0.8189613098584878,0.612197804402167,-0.5087624149546506,1.0,0.7276118248747395,-0.0437381918577843,0.630370544747796,-0.8629598458298474,0.8752864773184794,-0.04859704137009405,-0.9029771298889281,-0.5350194225280257,-0.6469116054963429,-0.9066563190166755,0.5784220745251631,0.540165217863342,-0.7572017672817011,-0.8344841999838628,-0.14526294652902155
pct_hh_income_100k_plus,0.3681467555496066,0.9581891401434767,-0.6243916850212325,0.6621556345228914,0.04281078912531441,0.7276118248747395,1.0,-0.49799180159741174,0.36475789808934544,-0.7772321431541467,0.5826813161613608,-0.3862244944543986,-0.6983875373763485,-0.3923652045974374,-0.4298300514042104,-0.8247201152275156,0.5159958633017244,0.173749305708411,-0.6844645246479097,-0.7424626220991472,-0.49727316627624535
pct_hh_income_25k_50k,-0.11376275821090635,-0.46124196028847764,-0.18269412293039475,-0.15155063855439252,-0.4992992386200259,-0.0437381918577843,-0.49799180159741174,1.0,0.05557809949444036,-0.0219841334168172,-0.0021922642124279773,0.2419560004646291,0.198680252500859,0.13298777644434215,-0.2040779781951998,0.2384146542609991,0.01899721028379727,0.34784809651683174,0.12552816605520145,-0.07274053073231079,0.4013898892316288
pct_hh_income_50k_100k,0.2728213633055797,0.48411477346147297,-0.7311684150502404,0.45490596190580623,-0.40247319662689307,0.630370544747796,0.36475789808934544,0.05557809949444036,1.0,-0.7831548490832192,0.524099894784443,0.001117525922842021,-0.513508583122278,-0.5891440359641587,-0.728026785380963,-0.6196065420950733,0.4302060426211641,0.45065921973743034,-0.6797852487792303,-0.7459389735529856,0.028526539937893773
pct_hh_income_under_25k,-0.3791420786157997,-0.8628909085814173,0.9166055050859362,-0.6854453418366088,0.35231068816144434,-0.8629598458298474,-0.7772321431541467,-0.0219841334168172,-0.7831548490832192,1.0,-0.7129089126353757,0.2141180309503002,0.7236027585593211,0.5385109689874257,0.7671606836600356,0.8587720727921716,-0.6239029178854059,-0.4888970879802774,0.8187241164048381,0.9746571150345704,0.22687126662985743
pct_households_with_own_children_under_18,0.7126880766231128,0.6342778562245096,-0.663511120198096,0.2863599237401527,-0.4086935114159485,0.8752864773184794,0.5826813161613608,-0.0021922642124279773,0.524099894784443,-0.7129089126353757,1.0,-0.11902265138128959,-0.7954406163574569,-0.47316892073680084,-0.6178337527305349,-0.6847243656160222,0.34377399870474395,0.4798019530401192,-0.6330735298252377,-0.7002755378900579,-0.09359770364003939
pct_less_than_high_school,-0.009713602329849948,-0.21069955884839328,0.0751419999910634,-0.16081474123501222,-0.4281635316390942,-0.04859704137009405,-0.3862244944543986,0.2419560004646291,0.001117525922842021,0.2141180309503002,-0.11902265138128959,1.0,0.07809977777925647,-0.10078685746095703,0.053164472537328554,0.1293522981775678,-0.08210044550401849,-0.014437206268496885,0.04220301093760984,0.22107332815212855,0.3427394873828328
pct_one_person_households,-0.8187056282269267,-0.7520200292043713,0.638707231815656,-0.4948172941291014,0.450532626008335,-0.9029771298889281,-0.6983875373763485,0.198680252500859,-0.513508583122278,0.7236027585593211,-0.7954406163574569,0.07809977777925647,1.0,0.42758293335750136,0.4602445685588526,0.8429337505444799,-0.44696300286776897,-0.5047732838314647,0.6407514889668944,0.6389980386263011,0.13235422575135383
pct_rent_burden_30_plus,-0.3058567725961086,-0.4929976272139665,0.5007402623497774,-0.211398975266061,0.32146276204809704,-0.5350194225280257,-0.3923652045974374,0.13298777644434215,-0.5891440359641587,0.5385109689874257,-0.47316892073680084,-0.10078685746095703,0.42758293335750136,1.0,0.664645617011096,0.4974727324690018,-0.16764417683750885,-0.37148527454491514,0.5030050839287346,0.5120913595717939,0.18886665717476317
pct_rent_burden_50_plus,-0.2185661571023235,-0.5163765309618216,0.7192361851199673,-0.38052851452785214,0.3980971200260111,-0.6469116054963429,-0.4298300514042104,-0.2040779781951998,-0.728026785380963,0.7671606836600356,-0.6178337527305349,0.053164472537328554,0.4602445685588526,0.664645617011096,1.0,0.5881594251345322,-0.33439477009479285,-0.45525076925680424,0.602554165509533,0.7701545750238878,0.0986195276399002
pct_renter_occupied,-0.5396712724950685,-0.8967340076454792,0.7935508617080205,-0.731750362682793,0.40244868242767456,-0.9066563190166755,-0.8247201152275156,0.2384146542609991,-0.6196065420950733,0.8587720727921716,-0.6847243656160222,0.1293522981775678,0.8429337505444799,0.4974727324690018,0.5881594251345322,1.0,-0.6332132189170923,-0.48285034412608674,0.7266203363973343,0.8208310602311211,0.2033176300448765
pct_senior_living_alone_households,0.19217350817290627,0.5698090349033053,-0.6350217639518813,0.8524180733778328,-0.24086236725172924,0.5784220745251631,0.5159958633017244,0.01899721028379727,0.4302060426211641,-0.6239029178854059,0.34377399870474395,-0.08210044550401849,-0.44696300286776897,-0.16764417683750885,-0.33439477009479285,-0.6332132189170923,1.0,0.25255199137322054,-0.5994780672120004,-0.6183455491816146,-0.12188205679850406
