year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,centroid_lat,centroid_lon,tract_number,tract_name_canonical,is_stable_all_4_years,avg_household_size_v2,employment_population_ratio,labor_force_participation_rate,median_household_income,pct_age_18_24,pct_age_65_plus,pct_age_under_18,pct_bachelors_or_higher,pct_black_non_hispanic,pct_family_households,pct_hh_income_100k_plus,pct_hh_income_25k_50k,pct_hh_income_50k_100k,pct_hh_income_under_25k,pct_high_school_grad,pct_hispanic,pct_households_with_65_plus,pct_households_with_own_children_under_18,pct_less_than_high_school,pct_nonfamily_households,pct_one_person_households,pct_owner_occupied,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_renter_occupied,pct_senior_living_alone_households,pct_some_college_or_associate,pct_speak_language_other_than_english_at_home,pct_vacant_housing_units,pct_white_non_hispanic,poverty_rate,total_population,unemployment_rate
2021,17019001100,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,40.10547701256571,-88.26718054450109,11,Census Tract 11,1,2.29,68.8,69.3,81941.0,11.2,21.3,20.9,65.2,9.11,62.97,37.8,15.7,37.8,8.8,8.3,5.9,34.5,23.91,1.9,37.03,32.2,72.89,43.86,22.5,27.11,9.5,24.7,9.7,3.34,79.45,4.7,3712.0,0.8
2021,17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,40.10569426459247,-88.2906752821151,12.01,Census Tract 12.01,1,2.37,61.8,67.8,49476.0,12.5,13.6,25.1,38.7,31.34,59.87,14.2,33.2,34.6,18.0,25.3,5.32,20.1,26.14,6.8,40.13,33.0,50.15,26.9,10.39,49.85,8.9,29.2,21.0,10.54,45.59,15.1,7013.0,8.3
2021,17019001203,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,40.09108824198521,-88.28580828059093,12.03,Census Tract 12.03,1,2.27,67.6,69.7,79570.0,8.7,16.8,20.3,45.0,13.02,61.62,34.5,17.0,42.2,6.3,19.7,1.9,25.4,18.17,3.8,38.38,37.0,74.05,17.3,4.02,25.95,12.9,31.5,6.4,3.09,79.22,3.2,4423.0,3.0
2021,17019001204,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children; older age profile.,40.06935621376529,-88.28995631669251,12.04,Census Tract 12.04,1,2.74,60.6,61.9,126013.0,3.0,19.3,27.2,69.9,4.71,76.87,67.0,7.3,21.2,4.5,6.0,3.39,32.6,39.84,2.2,23.13,21.2,82.56,18.64,6.78,17.44,6.7,21.9,27.8,6.04,64.48,1.7,3713.0,2.0
2021,17019001205,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,40.08366982891983,-88.3282572598364,12.05,Census Tract 12.05,1,2.49,62.6,64.7,85141.0,10.5,14.3,23.9,65.7,13.98,65.77,44.3,15.3,18.9,21.7,10.4,5.9,21.5,32.64,8.1,34.23,28.8,62.89,55.56,36.27,37.11,7.1,15.8,33.0,6.97,50.77,10.5,8131.0,3.2
2021,17019001206,Census Tract 12.06 — Senior-heavy residential area,,61822.0,Older age profile.,40.09131625878624,-88.30470520960401,12.06,Census Tract 12.06,1,2.2,57.2,58.1,103125.0,4.4,34.5,15.2,67.6,2.54,66.52,50.3,15.4,23.5,10.6,10.0,5.49,48.8,17.13,1.6,33.48,30.8,86.34,54.92,10.66,13.66,16.0,20.8,7.4,6.98,88.45,5.1,1966.0,1.5
2021,17019001301,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,40.09098096791916,-88.26081426219282,13.01,Census Tract 13.01,1,2.28,56.0,59.0,69591.0,6.9,23.4,20.8,64.6,3.78,60.01,29.1,19.0,37.5,14.5,16.7,11.47,34.2,27.61,1.5,39.99,30.5,62.53,46.25,8.09,37.47,11.0,17.3,23.3,8.55,73.57,9.0,6197.0,5.2
2021,17019001302,Savoy — Senior-heavy residential area,Savoy,61822.0,Older age profile.,40.06954853052552,-88.26238753060579,13.02,Census Tract 13.02,1,2.1,54.2,56.2,100655.0,6.0,38.9,15.7,62.0,1.87,49.36,50.6,9.5,30.2,9.8,16.7,2.86,56.1,17.88,3.6,50.64,39.1,74.24,58.13,23.33,25.76,25.6,17.7,17.3,7.01,80.5,4.2,4374.0,3.6
2021,17019001400,Census Tract 14 — Family-oriented residential area,,61874.0,Higher student concentration; more households with children.,40.08102789550842,-88.24061186527473,14,Census Tract 14,1,2.69,45.2,45.9,59698.0,43.0,4.4,20.0,71.5,5.75,61.64,38.4,20.7,25.6,15.3,8.8,10.62,15.2,39.75,4.2,38.36,28.7,45.03,46.22,14.3,54.97,9.5,15.5,27.5,7.07,63.63,15.7,6884.0,1.5
2021,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,40.12870429058973,-88.21959909210925,53,Census Tract 53,1,2.06,52.6,58.3,21726.0,51.5,4.6,10.0,47.1,44.41,20.81,4.3,28.9,12.3,54.4,25.5,2.01,6.4,8.89,8.5,79.19,60.4,12.55,40.58,23.99,87.45,1.2,18.9,30.5,24.02,24.23,47.2,4871.0,9.9
