serialno,state,puma,wgtp,np,hincp,fincp,adjinc,hht,hht2,noc,npf,fparc,person_count,adult_count,college_age_count,student_enrolled_count,likely_college_student_count,employed_count,reference_person_count,reference_person_student_flag,has_any_likely_college_student,has_any_student,has_any_college_age_person,has_any_employed_person,student_share_of_persons,student_share_of_adults,college_age_share_of_persons,student_heavy_flag_rule_a,student_heavy_flag_rule_b,analysis_weight,hincp_adj_real,student_heavy_flag,hh_comp_key,below_alice_flag,annual_alice_threshold
2021HU0055194,17,2100,9,1,10820.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,9.0,11143.82096,0,1_adult_0_child,1,37492.23
2021HU0060620,17,2100,5,2,35000.0,35000.0,1029928,2.0,10.0,1.0,2.0,2.0,2,1,1,1,0,1,1,0,0,1,1,1,0.0,0.0,0.5,0,0,5.0,36047.48,0,1_adult_1_child,1,41270.34
2021HU0065286,17,2100,114,1,28000.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,114.0,28837.984,0,1_adult_0_child,1,37492.23
2021HU0068296,17,2100,163,3,40000.0,40000.0,1029928,1.0,2.0,0.0,3.0,4.0,3,3,1,1,1,1,1,0,1,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,163.0,41197.12,0,3plus_adult_0_child,1,57631.7
2021HU0092841,17,2100,128,1,12000.0,,1029928,6.0,5.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,128.0,12359.136,0,1_adult_0_child,1,37492.23
2021HU0099590,17,2100,85,2,41500.0,41500.0,1029928,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,85.0,42742.012,0,2_adult_0_child,1,49309.96
2021HU0101751,17,2100,262,4,34300.0,34300.0,1029928,2.0,10.0,3.0,4.0,2.0,4,1,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,262.0,35326.5304,0,1_adult_2plus_child,1,55969.66
2021HU1122395,17,2100,240,1,0.0,,1029928,6.0,5.0,0.0,,,1,1,1,0,0,0,1,0,0,0,1,0,0.0,0.0,1.0,0,0,240.0,0.0,0,1_adult_0_child,1,37492.23
2021HU0119158,17,2100,131,4,44200.0,30000.0,1029928,3.0,3.0,2.0,3.0,1.0,4,2,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,131.0,45522.8176,0,2_adult_2plus_child,1,64765.51
2021HU0123718,17,2100,397,3,2100.0,,1029928,5.0,12.0,0.0,,,3,3,3,3,3,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,397.0,2162.8488,0,3plus_adult_0_child,1,57631.7
2021HU0129834,17,2100,131,1,20900.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,131.0,21525.4952,0,1_adult_0_child,1,37492.23
2021HU0133273,17,2100,49,1,30000.0,,1029928,4.0,9.0,0.0,,,1,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,49.0,30897.84,0,1_adult_0_child,1,37492.23
2021HU0140793,17,2100,197,2,45000.0,45000.0,1029928,3.0,7.0,0.0,2.0,4.0,2,2,1,0,0,2,1,0,0,0,1,1,0.0,0.0,0.5,0,0,197.0,46346.76,0,2_adult_0_child,1,49309.96
2021HU0145052,17,2100,179,2,22400.0,22400.0,1029928,1.0,2.0,0.0,2.0,4.0,2,2,2,2,2,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,179.0,23070.3872,0,2_adult_0_child,1,49309.96
2021HU0150970,17,2100,57,2,12000.0,12000.0,1029928,3.0,7.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,57.0,12359.136,0,2_adult_0_child,1,49309.96
2021HU0154792,17,2100,122,2,24400.0,24400.0,1029928,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,122.0,25130.2432,0,2_adult_0_child,1,49309.96
2021HU0154948,17,2100,10,3,6000.0,6000.0,1029928,3.0,6.0,2.0,3.0,3.0,3,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,10.0,6179.568,0,1_adult_2plus_child,1,55969.66
2021HU0156742,17,2100,23,1,4600.0,,1029928,4.0,9.0,0.0,,,1,1,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,23.0,4737.6688,0,1_adult_0_child,1,37492.23
2021HU0162474,17,2100,126,1,24000.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,126.0,24718.272,0,1_adult_0_child,1,37492.23
2021HU0177318,17,2100,125,3,33000.0,33000.0,1029928,3.0,6.0,2.0,3.0,2.0,3,1,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,125.0,33987.624,0,1_adult_2plus_child,1,55969.66
2021HU0178882,17,2100,120,4,49000.0,49000.0,1029928,1.0,1.0,2.0,4.0,2.0,4,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,120.0,50466.472,0,2_adult_2plus_child,1,64765.51
2021HU0182085,17,2100,206,1,18000.0,,1029928,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,206.0,18538.704,0,1_adult_0_child,1,37492.23
