"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25003_001E","Estimate!!Total:"
"B25003_001M","Margin of Error!!Total:"
"B25003_002E","Estimate!!Total:!!Owner occupied"
"B25003_002M","Margin of Error!!Total:!!Owner occupied"
"B25003_003E","Estimate!!Total:!!Renter occupied"
"B25003_003M","Margin of Error!!Total:!!Renter occupied"
