year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,Unnamed:_24
2019,B25070,Detailed Table,DT,1400000US17019005402,"Census Tract 54.02, Champaign County, Illinois",17019005402,17,019,005402,1400000US17019005402,"Census Tract 54.02, Champaign County, Illinois",337,154,11,17,0,11,88,68,34,54,10,15,49,85,49,67,0,11,48,37,48,59,
2019,B25070,Detailed Table,DT,1400000US17019005500,"Census Tract 55, Champaign County, Illinois",17019005500,17,019,005500,1400000US17019005500,"Census Tract 55, Champaign County, Illinois",707,142,0,11,88,53,43,40,224,117,78,68,98,69,0,11,45,42,120,81,11,20,
2019,B25070,Detailed Table,DT,1400000US17019005600,"Census Tract 56, Champaign County, Illinois",17019005600,17,019,005600,1400000US17019005600,"Census Tract 56, Champaign County, Illinois",1417,209,0,16,200,120,83,65,212,115,138,136,62,65,52,52,110,94,492,181,68,61,
2019,B25070,Detailed Table,DT,1400000US17019005701,"Census Tract 57.01, Champaign County, Illinois",17019005701,17,019,005701,1400000US17019005701,"Census Tract 57.01, Champaign County, Illinois",1108,163,138,115,47,45,87,62,76,59,119,96,99,68,99,76,84,58,328,152,31,33,
2019,B25070,Detailed Table,DT,1400000US17019005702,"Census Tract 57.02, Champaign County, Illinois",17019005702,17,019,005702,1400000US17019005702,"Census Tract 57.02, Champaign County, Illinois",964,114,54,41,59,31,85,54,99,63,44,30,89,54,53,57,66,66,282,106,133,75,
2019,B25070,Detailed Table,DT,1400000US17019005800,"Census Tract 58, Champaign County, Illinois",17019005800,17,019,005800,1400000US17019005800,"Census Tract 58, Champaign County, Illinois",747,133,0,11,49,44,76,48,77,60,34,27,42,38,32,27,34,23,215,80,188,105,
2019,B25070,Detailed Table,DT,1400000US17019005900,"Census Tract 59, Champaign County, Illinois",17019005900,17,019,005900,1400000US17019005900,"Census Tract 59, Champaign County, Illinois",1067,139,0,16,55,40,33,26,34,33,20,29,56,51,86,47,55,33,515,123,213,96,
2019,B25070,Detailed Table,DT,1400000US17019006000,"Census Tract 60, Champaign County, Illinois",17019006000,17,019,006000,1400000US17019006000,"Census Tract 60, Champaign County, Illinois",722,87,26,23,20,17,94,52,55,27,24,18,28,20,45,21,109,42,164,63,157,73,
2019,B25070,Detailed Table,DT,1400000US17019010100,"Census Tract 101, Champaign County, Illinois",17019010100,17,019,010100,1400000US17019010100,"Census Tract 101, Champaign County, Illinois",1166,189,83,98,128,95,185,133,99,71,14,24,140,97,47,52,120,115,330,180,20,32,
2019,B25070,Detailed Table,DT,1400000US17019010204,"Census Tract 102.04, Champaign County, Illinois",17019010204,17,019,010204,1400000US17019010204,"Census Tract 102.04, Champaign County, Illinois",572,139,48,49,55,50,13,15,12,14,137,115,85,65,62,44,37,39,118,81,5,8,
2019,B25070,Detailed Table,DT,1400000US17019010300,"Census Tract 103, Champaign County, Illinois",17019010300,17,019,010300,1400000US17019010300,"Census Tract 103, Champaign County, Illinois",807,126,0,11,100,64,94,56,94,63,84,50,61,45,91,54,56,56,197,88,30,32,
2019,B25070,Detailed Table,DT,1400000US17019010400,"Census Tract 104, Champaign County, Illinois",17019010400,17,019,010400,1400000US17019010400,"Census Tract 104, Champaign County, Illinois",407,63,26,12,50,30,63,29,18,13,27,20,25,20,29,17,24,11,50,20,95,40,
2019,B25070,Detailed Table,DT,1400000US17019010500,"Census Tract 105, Champaign County, Illinois",17019010500,17,019,010500,1400000US17019010500,"Census Tract 105, Champaign County, Illinois",210,70,0,11,62,52,18,20,33,29,16,14,6,7,3,5,37,23,15,11,20,14,
2019,B25070,Detailed Table,DT,1400000US17019010601,"Census Tract 106.01, Champaign County, Illinois",17019010601,17,019,010601,1400000US17019010601,"Census Tract 106.01, Champaign County, Illinois",405,121,9,16,64,79,200,108,37,36,0,16,49,53,0,16,11,18,35,32,0,16,
2019,B25070,Detailed Table,DT,1400000US17019010603,"Census Tract 106.03, Champaign County, Illinois",17019010603,17,019,010603,1400000US17019010603,"Census Tract 106.03, Champaign County, Illinois",430,138,0,16,29,33,37,42,93,82,71,55,44,49,37,45,0,16,101,73,18,27,
2019,B25070,Detailed Table,DT,1400000US17019010604,"Census Tract 106.04, Champaign County, Illinois",17019010604,17,019,010604,1400000US17019010604,"Census Tract 106.04, Champaign County, Illinois",289,78,13,17,8,9,14,15,14,18,14,18,22,19,11,15,38,49,72,41,83,69,
2019,B25070,Detailed Table,DT,1400000US17019010700,"Census Tract 107, Champaign County, Illinois",17019010700,17,019,010700,1400000US17019010700,"Census Tract 107, Champaign County, Illinois",397,118,1,4,21,21,64,43,30,32,58,54,17,24,18,22,31,25,125,109,32,24,
2019,B25070,Detailed Table,DT,1400000US17019010800,"Census Tract 108, Champaign County, Illinois",17019010800,17,019,010800,1400000US17019010800,"Census Tract 108, Champaign County, Illinois",206,54,16,16,12,16,33,25,19,15,30,19,26,20,14,10,14,15,18,12,24,16,
2019,B25070,Detailed Table,DT,1400000US17019010900,"Census Tract 109, Champaign County, Illinois",17019010900,17,019,010900,1400000US17019010900,"Census Tract 109, Champaign County, Illinois",661,165,33,22,69,58,129,85,73,74,25,24,58,41,20,24,4,6,140,85,110,80,
2019,B25070,Detailed Table,DT,1400000US17019011000,"Census Tract 110, Champaign County, Illinois",17019011000,17,019,011000,1400000US17019011000,"Census Tract 110, Champaign County, Illinois",2008,232,96,52,93,52,257,121,298,163,255,116,187,128,161,177,226,126,378,160,57,54,
2019,B25070,Detailed Table,DT,1400000US17019011100,"Census Tract 111, Champaign County, Illinois",17019011100,17,019,011100,1400000US17019011100,"Census Tract 111, Champaign County, Illinois",1031,125,7,10,15,17,79,41,123,56,31,32,82,38,36,25,118,56,275,88,265,103,
