year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,B25003_001E,B25003_001M,B25003_002E,B25003_002M,B25003_003E,B25003_003M,Unnamed:_8
2019,B25003,Detailed Table,DT,1400000US17019006000,"Census Tract 60, Champaign County, Illinois",17019006000,17,019,006000,1400000US17019006000,"Census Tract 60, Champaign County, Illinois",731,87,9,8,722,87,
2019,B25003,Detailed Table,DT,1400000US17019010100,"Census Tract 101, Champaign County, Illinois",17019010100,17,019,010100,1400000US17019010100,"Census Tract 101, Champaign County, Illinois",2098,246,932,201,1166,189,
2019,B25003,Detailed Table,DT,1400000US17019010204,"Census Tract 102.04, Champaign County, Illinois",17019010204,17,019,010204,1400000US17019010204,"Census Tract 102.04, Champaign County, Illinois",1709,150,1137,149,572,139,
2019,B25003,Detailed Table,DT,1400000US17019010300,"Census Tract 103, Champaign County, Illinois",17019010300,17,019,010300,1400000US17019010300,"Census Tract 103, Champaign County, Illinois",1118,132,311,83,807,126,
2019,B25003,Detailed Table,DT,1400000US17019010400,"Census Tract 104, Champaign County, Illinois",17019010400,17,019,010400,1400000US17019010400,"Census Tract 104, Champaign County, Illinois",1884,85,1477,80,407,63,
2019,B25003,Detailed Table,DT,1400000US17019010500,"Census Tract 105, Champaign County, Illinois",17019010500,17,019,010500,1400000US17019010500,"Census Tract 105, Champaign County, Illinois",1685,111,1475,110,210,70,
2019,B25003,Detailed Table,DT,1400000US17019010601,"Census Tract 106.01, Champaign County, Illinois",17019010601,17,019,010601,1400000US17019010601,"Census Tract 106.01, Champaign County, Illinois",2146,107,1741,146,405,121,
2019,B25003,Detailed Table,DT,1400000US17019010603,"Census Tract 106.03, Champaign County, Illinois",17019010603,17,019,010603,1400000US17019010603,"Census Tract 106.03, Champaign County, Illinois",2641,154,2211,164,430,138,
2019,B25003,Detailed Table,DT,1400000US17019010604,"Census Tract 106.04, Champaign County, Illinois",17019010604,17,019,010604,1400000US17019010604,"Census Tract 106.04, Champaign County, Illinois",1046,87,757,88,289,78,
2019,B25003,Detailed Table,DT,1400000US17019010700,"Census Tract 107, Champaign County, Illinois",17019010700,17,019,010700,1400000US17019010700,"Census Tract 107, Champaign County, Illinois",2878,170,2481,143,397,118,
2019,B25003,Detailed Table,DT,1400000US17019010800,"Census Tract 108, Champaign County, Illinois",17019010800,17,019,010800,1400000US17019010800,"Census Tract 108, Champaign County, Illinois",1789,97,1583,97,206,54,
2019,B25003,Detailed Table,DT,1400000US17019010900,"Census Tract 109, Champaign County, Illinois",17019010900,17,019,010900,1400000US17019010900,"Census Tract 109, Champaign County, Illinois",3533,249,2872,235,661,165,
2019,B25003,Detailed Table,DT,1400000US17019011000,"Census Tract 110, Champaign County, Illinois",17019011000,17,019,011000,1400000US17019011000,"Census Tract 110, Champaign County, Illinois",2552,233,544,150,2008,232,
2019,B25003,Detailed Table,DT,1400000US17019011100,"Census Tract 111, Champaign County, Illinois",17019011100,17,019,011100,1400000US17019011100,"Census Tract 111, Champaign County, Illinois",1081,124,50,30,1031,125,
