year,tract_geoid,display_area_label,raw_metric_value,z_score,directed_component,metric
2021,17019001301,Champaign — Senior-heavy residential area,9.0,-0.5645195056056679,-0.5645195056056679,poverty_rate
2021,17019001302,Savoy — Senior-heavy residential area,4.2,-0.7616478688847614,-0.7616478688847614,poverty_rate
2021,17019001400,Census Tract 14 — Family-oriented residential area,15.7,-0.2893611651952666,-0.2893611651952666,poverty_rate
2021,17019005300,Urbana — Student-dense area,47.2,1.0042937188237846,1.0042937188237846,poverty_rate
2021,17019005401,Census Tract 54.01 — Mixed residential area,22.5,-0.01009598388321747,-0.01009598388321747,poverty_rate
2021,17019005402,Census Tract 54.02 — Senior-heavy residential area,19.1,-0.14972857453924196,-0.14972857453924196,poverty_rate
2021,17019005500,Urbana — Senior-heavy residential area,12.2,-0.43310059675293894,-0.43310059675293894,poverty_rate
2021,17019005601,Urbana — Mixed residential area,11.1,-0.47827584667106454,-0.47827584667106454,poverty_rate
2021,17019005602,Census Tract 56.02 — Senior-heavy residential area,18.3,-0.18258330175242424,-0.18258330175242424,poverty_rate
2021,17019005701,Urbana — Senior-heavy residential area,17.2,-0.2277585516705499,-0.2277585516705499,poverty_rate
2021,17019005702,Census Tract 57.02 — Senior-heavy residential area,5.1,-0.7246863007699315,-0.7246863007699315,poverty_rate
2021,17019005800,Urbana — Higher economic stress area,30.8,0.3307718109535484,0.3307718109535484,poverty_rate
2021,17019005901,Urbana — Student-dense area,83.1,2.4786496025153375,2.4786496025153375,poverty_rate
2021,17019005902,Urbana — Student-dense area,58.8,1.4806872634149268,1.4806872634149268,poverty_rate
2021,17019006000,Census Tract 60 — Student-dense area,34.6,0.4868317652161641,0.4868317652161641,poverty_rate
2021,17019010100,Census Tract 101 — Mixed residential area,8.7,-0.5768400283106113,-0.5768400283106113,poverty_rate
2021,17019010204,Rantoul — Mixed residential area,21.0,-0.07169859740793419,-0.07169859740793419,poverty_rate
2021,17019010300,Rantoul — Family-oriented residential area,29.6,0.28148972013377505,0.28148972013377505,poverty_rate
2021,17019010400,Census Tract 104 — Senior-heavy residential area,6.6,-0.6630836872452147,-0.6630836872452147,poverty_rate
2021,17019010500,Fisher — Family-oriented residential area,3.7,-0.7821820733930004,-0.7821820733930004,poverty_rate
2021,17019010601,Census Tract 106.01 — Family-oriented residential area,1.2,-0.8848530959341948,-0.8848530959341948,poverty_rate
2021,17019010603,Mahomet — Family-oriented residential area,5.2,-0.7205794598682836,-0.7205794598682836,poverty_rate
2021,17019010604,Census Tract 106.04 — Senior-heavy residential area,5.4,-0.7123657780649879,-0.7123657780649879,poverty_rate
2021,17019010701,St. Joseph — Family-oriented residential area,7.7,-0.6179084373270891,-0.6179084373270891,poverty_rate
2021,17019010702,Census Tract 107.02 — Family-oriented residential area,5.8,-0.6959384144583969,-0.6959384144583969,poverty_rate
2021,17019010800,Census Tract 108 — Senior-heavy residential area,7.3,-0.6343358009336801,-0.6343358009336801,poverty_rate
2021,17019010901,Census Tract 109.01 — Family-oriented residential area,10.2,-0.5152374147858946,-0.5152374147858946,poverty_rate
2021,17019010902,Census Tract 109.02 — Family-oriented residential area,4.9,-0.7328999825732269,-0.7328999825732269,poverty_rate
2021,17019011001,Champaign — Mixed residential area,9.6,-0.5398784601957812,-0.5398784601957812,poverty_rate
2021,17019011002,Champaign — Higher-income residential area,11.7,-0.45363480126117783,-0.45363480126117783,poverty_rate
