metric,mean,median,min,max
median_household_income,11786.027027027027,9146.0,-12303.0,55941.0
pct_age_18_24,-0.26578947368420996,-0.3999999999999999,-16.099999999999998,12.6
pct_bachelors_or_higher,2.9868421052631575,1.6499999999999986,-8.2,20.799999999999997
pct_family_households,0.6705263157894743,1.0350000000000004,-17.64,18.61
pct_hh_income_under_25k,-5.121052631578948,-4.05,-26.800000000000004,4.399999999999999
poverty_rate,-1.9605263157894737,0.1499999999999999,-18.5,6.300000000000001
unemployment_rate,-0.8473684210526317,-1.25,-9.2,6.499999999999999
