tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,tract_number,2019,2021,2022,2023,metric,change_first_to_last,change_2019_to_2021,change_2021_to_2022,change_2022_to_2023
17019010500,Fisher — Family-oriented residential area,Fisher,61843.0,More households with children; older age profile.,105,83728.0,98407.0,106830.0,107208.0,median_household_income,23480.0,14679.0,8423.0,378.0
17019010601,Mahomet — Family-oriented residential area,Mahomet,61853.0,More households with children.,106.01,94828.0,104141.0,114125.0,123876.0,median_household_income,29048.0,9313.0,9984.0,9751.0
17019010603,Mahomet — Family-oriented residential area,Mahomet,61853.0,More households with children.,106.03,91607.0,105124.0,109388.0,91615.0,median_household_income,8.0,13517.0,4264.0,-17773.0
17019010604,Champaign — Senior-heavy residential area,Champaign,61822.0,Older age profile.,106.04,60824.0,100871.0,110296.0,116765.0,median_household_income,55941.0,40047.0,9425.0,6469.0
17019010800,Sidney — Senior-heavy residential area,Sidney,61877.0,More households with children; older age profile.,108,72740.0,92929.0,93533.0,95927.0,median_household_income,23187.0,20189.0,604.0,2394.0
17019011100,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,111,22741.0,25663.0,27747.0,27500.0,median_household_income,4759.0,2922.0,2084.0,-247.0
17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,2,43.2,39.0,40.3,45.1,poverty_rate,1.8999999999999986,-4.200000000000003,1.2999999999999972,4.800000000000004
17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.01,82.5,81.5,84.2,86.7,poverty_rate,4.200000000000003,-1.0,2.700000000000003,2.5
17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.02,68.4,63.5,63.2,60.4,poverty_rate,-8.000000000000007,-4.900000000000006,-0.29999999999999716,-2.8000000000000043
17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.01,89.7,90.5,90.9,90.7,poverty_rate,1.0,0.7999999999999972,0.4000000000000057,-0.20000000000000284
17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.02,87.8,89.1,87.3,87.8,poverty_rate,0.0,1.2999999999999972,-1.7999999999999972,0.5
17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,5,29.3,16.7,19.1,17.2,poverty_rate,-12.100000000000001,-12.600000000000001,2.400000000000002,-1.9000000000000021
17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,7,24.3,30.2,28.7,24.8,poverty_rate,0.5,5.899999999999999,-1.5,-3.8999999999999986
17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,8,8.5,12.7,11.8,12.5,poverty_rate,4.0,4.199999999999999,-0.8999999999999986,0.6999999999999993
17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,9.01,28.3,27.1,19.0,13.7,poverty_rate,-14.600000000000001,-1.1999999999999993,-8.100000000000001,-5.300000000000001
17019000902,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,9.02,10.6,8.6,9.2,7.8,poverty_rate,-2.8,-2.0,0.5999999999999996,-1.3999999999999995
17019001000,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,10,15.7,12.5,19.7,21.8,poverty_rate,6.100000000000001,-3.1999999999999993,7.199999999999999,2.1000000000000014
17019001100,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,11,5.3,4.7,4.8,5.6,poverty_rate,0.2999999999999998,-0.5999999999999996,0.09999999999999964,0.7999999999999998
17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,12.01,19.3,15.1,18.8,24.6,poverty_rate,5.300000000000001,-4.200000000000001,3.700000000000001,5.800000000000001
17019001203,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,12.03,3.3,3.2,1.9,3.3,poverty_rate,0.0,-0.09999999999999964,-1.3000000000000003,1.4
17019001204,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children; older age profile.,12.04,1.1,1.7,4.0,4.0,poverty_rate,2.9,0.5999999999999999,2.3,0.0
17019001205,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,12.05,7.8,10.5,11.2,10.3,poverty_rate,2.500000000000001,2.7,0.6999999999999993,-0.8999999999999986
17019001206,Champaign — Senior-heavy residential area,Champaign,61822.0,Older age profile.,12.06,2.2,5.1,4.7,3.9,poverty_rate,1.6999999999999997,2.8999999999999995,-0.39999999999999947,-0.8000000000000003
17019001301,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,13.01,9.3,9.0,7.0,5.0,poverty_rate,-4.300000000000001,-0.3000000000000007,-2.0,-2.0
17019001302,Savoy — Senior-heavy residential area,Savoy,61822.0,Older age profile.,13.02,6.6,4.2,5.2,7.2,poverty_rate,0.6000000000000005,-2.3999999999999995,1.0,2.0
17019001400,Champaign — Family-oriented residential area,Champaign,61874.0,Higher student concentration; more households with children.,14,20.1,15.7,15.4,11.8,poverty_rate,-8.3,-4.400000000000002,-0.29999999999999893,-3.5999999999999996
17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,53,49.6,47.2,44.3,42.9,poverty_rate,-6.700000000000003,-2.3999999999999986,-2.9000000000000057,-1.3999999999999986
17019005401,Urbana — Mixed residential area,Urbana,61802.0,Renter-heavy housing profile; more very-low-income households.,54.01,28.7,22.5,20.5,15.2,poverty_rate,-13.5,-6.199999999999999,-2.0,-5.300000000000001
17019005402,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,54.02,18.0,19.1,20.7,18.8,poverty_rate,0.8000000000000007,1.1000000000000014,1.5999999999999979,-1.8999999999999986
17019005500,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,55,12.3,12.2,21.7,18.6,poverty_rate,6.300000000000001,-0.10000000000000142,9.5,-3.099999999999998
17019005701,Urbana — Senior-heavy residential area,Urbana,61801.0,Older age profile.,57.01,14.7,17.2,19.3,13.8,poverty_rate,-0.8999999999999986,2.5,2.1000000000000014,-5.5
17019005702,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,57.02,19.6,5.1,2.0,1.1,poverty_rate,-18.5,-14.500000000000002,-3.0999999999999996,-0.8999999999999999
17019005800,Urbana — Higher economic stress area,Urbana,61801.0,Higher poverty rate; more very-low-income households.,58,27.0,30.8,36.2,30.6,poverty_rate,3.6000000000000014,3.8000000000000007,5.400000000000002,-5.600000000000001
17019006000,Urbana — Student-dense area,Urbana,61802.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,60,41.8,34.6,31.0,30.2,poverty_rate,-11.599999999999998,-7.199999999999996,-3.6000000000000014,-0.8000000000000007
17019010100,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,101,14.6,8.7,7.4,6.9,poverty_rate,-7.699999999999999,-5.9,-1.299999999999999,-0.5
