"Column Name","Label"
"S2401_C06_005M","Median earnings (dollars) for female!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations"
"S2401_C01_006E","Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations"
"S2401_C01_006M","Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations"
"S2401_C02_006E","Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations"
"S2401_C02_006M","Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations"
"S2401_C03_006E","Female!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations"
"S2401_C03_006M","Female!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations"
"S2401_C04_006E","Median earnings (dollars)!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations"
"S2401_C04_006M","Median earnings (dollars)!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations"
"S2401_C05_006E","Median earnings (dollars) for male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations"
"S2401_C05_006M","Median earnings (dollars) for male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations"
"S2401_C06_006E","Median earnings (dollars) for female!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations"
"S2401_C06_006M","Median earnings (dollars) for female!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations"
"S2401_C01_007E","Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations"
"S2401_C01_007M","Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations"
"S2401_C02_007E","Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations"
"S2401_C02_007M","Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations"
"S2401_C03_007E","Female!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations"
"S2401_C03_007M","Female!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations"
"S2401_C04_007E","Median earnings (dollars)!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations"
"S2401_C04_007M","Median earnings (dollars)!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations"
"S2401_C05_007E","Median earnings (dollars) for male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations"
"S2401_C05_007M","Median earnings (dollars) for male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations"
"S2401_C06_007E","Median earnings (dollars) for female!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations"
"S2401_C06_007M","Median earnings (dollars) for female!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations"
"S2401_C01_008E","Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations"
"S2401_C01_008M","Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations"
"S2401_C02_008E","Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations"
"S2401_C02_008M","Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations"
"S2401_C03_008E","Female!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations"
"S2401_C03_008M","Female!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations"
"S2401_C04_008E","Median earnings (dollars)!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations"
"S2401_C04_008M","Median earnings (dollars)!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations"
"S2401_C05_008E","Median earnings (dollars) for male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations"
"S2401_C05_008M","Median earnings (dollars) for male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations"
"S2401_C06_008E","Median earnings (dollars) for female!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations"
"S2401_C06_008M","Median earnings (dollars) for female!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations"
"S2401_C01_009E","Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations"
"S2401_C01_009M","Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations"
"S2401_C02_009E","Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations"
"S2401_C02_009M","Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations"
"S2401_C03_009E","Female!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations"
"S2401_C03_009M","Female!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations"
"S2401_C04_009E","Median earnings (dollars)!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations"
"S2401_C04_009M","Median earnings (dollars)!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations"
"S2401_C05_009E","Median earnings (dollars) for male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations"
"S2401_C05_009M","Median earnings (dollars) for male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations"
"S2401_C06_009E","Median earnings (dollars) for female!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations"
"S2401_C06_009M","Median earnings (dollars) for female!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations"
"S2401_C01_010E","Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations"
"S2401_C01_010M","Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations"
"S2401_C02_010E","Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations"
"S2401_C02_010M","Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations"
"S2401_C03_010E","Female!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations"
"S2401_C03_010M","Female!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations"
"S2401_C04_010E","Median earnings (dollars)!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations"
"S2401_C04_010M","Median earnings (dollars)!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations"
"S2401_C05_010E","Median earnings (dollars) for male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations"
"S2401_C05_010M","Median earnings (dollars) for male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations"
"S2401_C06_010E","Median earnings (dollars) for female!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations"
"S2401_C06_010M","Median earnings (dollars) for female!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations"
"S2401_C01_011E","Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations"
"S2401_C01_011M","Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations"
"S2401_C02_011E","Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations"
"S2401_C02_011M","Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations"
"S2401_C03_011E","Female!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations"
"S2401_C03_011M","Female!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations"
"S2401_C04_011E","Median earnings (dollars)!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations"
"S2401_C04_011M","Median earnings (dollars)!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations"
"S2401_C05_011E","Median earnings (dollars) for male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations"
"S2401_C05_011M","Median earnings (dollars) for male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations"
"S2401_C06_011E","Median earnings (dollars) for female!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations"
"S2401_C06_011M","Median earnings (dollars) for female!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations"
"S2401_C01_012E","Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations"
"S2401_C01_012M","Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations"
"S2401_C02_012E","Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations"
"S2401_C02_012M","Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations"
"S2401_C03_012E","Female!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations"
"S2401_C03_012M","Female!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations"
"S2401_C04_012E","Median earnings (dollars)!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations"
"S2401_C04_012M","Median earnings (dollars)!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations"
"S2401_C05_012E","Median earnings (dollars) for male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations"
"S2401_C05_012M","Median earnings (dollars) for male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations"
"S2401_C06_012E","Median earnings (dollars) for female!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations"
"S2401_C06_012M","Median earnings (dollars) for female!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations"
"S2401_C01_013E","Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations"
"S2401_C01_013M","Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations"
"S2401_C02_013E","Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations"
"S2401_C02_013M","Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations"
"S2401_C03_013E","Female!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations"
"S2401_C03_013M","Female!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations"
"S2401_C04_013E","Median earnings (dollars)!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations"
"S2401_C04_013M","Median earnings (dollars)!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations"
"S2401_C05_013E","Median earnings (dollars) for male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations"
"S2401_C05_013M","Median earnings (dollars) for male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations"
"S2401_C06_013E","Median earnings (dollars) for female!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations"
"S2401_C06_013M","Median earnings (dollars) for female!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations"
"S2401_C01_014E","Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations"
"S2401_C01_014M","Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations"
"S2401_C02_014E","Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations"
"S2401_C02_014M","Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations"
"S2401_C03_014E","Female!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations"
"S2401_C03_014M","Female!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations"
"S2401_C04_014E","Median earnings (dollars)!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations"
"S2401_C04_014M","Median earnings (dollars)!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations"
"S2401_C05_014E","Median earnings (dollars) for male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations"
"S2401_C05_014M","Median earnings (dollars) for male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations"
"S2401_C06_014E","Median earnings (dollars) for female!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations"
"S2401_C06_014M","Median earnings (dollars) for female!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations"
"S2401_C01_015E","Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations"
"S2401_C01_015M","Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations"
"S2401_C02_015E","Male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations"
"S2401_C02_015M","Male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations"
"S2401_C03_015E","Female!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations"
"S2401_C03_015M","Female!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations"
"S2401_C04_015E","Median earnings (dollars)!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations"
"S2401_C04_015M","Median earnings (dollars)!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations"
"S2401_C05_015E","Median earnings (dollars) for male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations"
"S2401_C05_015M","Median earnings (dollars) for male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations"
"S2401_C06_015E","Median earnings (dollars) for female!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations"
"S2401_C06_015M","Median earnings (dollars) for female!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations"
"S2401_C01_016E","Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C01_016M","Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C02_016E","Male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C02_016M","Male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C03_016E","Female!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C03_016M","Female!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C04_016E","Median earnings (dollars)!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C04_016M","Median earnings (dollars)!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C05_016E","Median earnings (dollars) for male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C05_016M","Median earnings (dollars) for male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C06_016E","Median earnings (dollars) for female!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C06_016M","Median earnings (dollars) for female!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C01_017E","Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians"
"S2401_C01_017M","Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians"
"S2401_C02_017E","Male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians"
"S2401_C02_017M","Male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians"
"S2401_C03_017E","Female!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians"
"S2401_C03_017M","Female!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians"
"S2401_C04_017E","Median earnings (dollars)!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians"
